Date,Country,Cumulative number of case(s),Number of deaths,Number recovered
2003-06-12,Germany,10.0,0.0,9.0
2003-06-12,India,3.0,0.0,3.0
2003-06-12,Indonesia,2.0,0.0,2.0
2003-06-12,Italy,9.0,0.0,9.0
2003-06-12,Kuwait,1.0,0.0,1.0
2003-06-12,Malaysia,5.0,2.0,3.0
2003-06-12,Mongolia,9.0,0.0,9.0
2003-06-12,New Zealand,1.0,0.0,1.0
2003-06-12,Philippines,14.0,2.0,12.0
2003-06-12,Republic of Ireland,1.0,0.0,1.0
2003-06-12,Republic of Korea,3.0,0.0,3.0
2003-06-12,Romania,1.0,0.0,1.0
2003-06-12,Russian Federation,1.0,0.0,0.0
2003-06-12,Singapore,206.0,31.0,169.0
2003-06-12,South Africa,1.0,1.0,0.0
2003-06-12,Spain,1.0,0.0,1.0
2003-06-12,Sweden,3.0,0.0,3.0
2003-06-12,Switzerland,1.0,0.0,1.0
2003-06-12,Thailand,9.0,2.0,6.0
2003-06-12,United Kingdom,4.0,0.0,4.0
2003-06-12,United States,70.0,0.0,36.0
2003-06-12,Viet Nam,63.0,5.0,58.0
2003-06-13,Brazil,3.0,0.0,2.0
2003-06-13,Canada,242.0,32.0,150.0
2003-06-13,China,5327.0,343.0,4530.0
2003-06-13,Hong Kong SAR, China,1755.0,293.0,1380.0
2003-06-13,Macao SAR, China,1.0,0.0,1.0
2003-06-13,Taiwan, China,693.0,81.0,385.0
2003-06-13,Colombia,1.0,0.0,1.0
2003-06-13,Finland,1.0,0.0,1.0
2003-06-13,France,7.0,0.0,6.0
2003-06-13,Germany,10.0,0.0,9.0
2003-06-13,India,3.0,0.0,3.0
2003-06-13,Indonesia,2.0,0.0,2.0
2003-06-13,Italy,9.0,0.0,9.0
2003-06-13,Kuwait,1.0,0.0,1.0
2003-06-13,Malaysia,5.0,2.0,3.0
2003-06-13,Mongolia,9.0,0.0,9.0
2003-06-13,New Zealand,1.0,0.0,1.0
2003-06-13,Philippines,14.0,2.0,12.0
2003-06-13,Republic of Ireland,1.0,0.0,1.0
2003-06-13,Republic of Korea,3.0,0.0,3.0
2003-06-13,Romania,1.0,0.0,1.0
2003-06-13,Russian Federation,1.0,0.0,0.0
2003-06-13,Singapore,206.0,31.0,169.0
2003-06-13,South Africa,1.0,1.0,0.0
2003-06-13,Spain,1.0,0.0,1.0
2003-06-13,Sweden,3.0,0.0,3.0
2003-06-13,Switzerland,1.0,0.0,1.0
2003-06-13,Thailand,9.0,2.0,6.0
2003-06-13,United Kingdom,4.0,0.0,4.0
2003-06-13,United States,71.0,0.0,36.0
2003-06-13,Viet Nam,63.0,5.0,58.0
2003-06-16,Brazil,3.0,0.0,2.0
2003-06-16,Canada,243.0,32.0,156.0
2003-06-16,China,5326.0,346.0,4656.0
2003-06-16,Hong Kong SAR, China,1755.0,295.0,1386.0
2003-06-16,Macao SAR, China,1.0,0.0,1.0
2003-06-16,Taiwan, China,698.0,83.0,443.0
2003-06-16,Colombia,1.0,0.0,1.0
2003-06-16,Finland,1.0,0.0,1.0
2003-06-16,France,7.0,0.0,6.0
2003-06-16,Germany,10.0,0.0,9.0
2003-06-16,India,3.0,0.0,3.0
2003-06-16,Indonesia,2.0,0.0,2.0
2003-06-16,Italy,9.0,0.0,9.0
2003-06-16,Kuwait,1.0,0.0,1.0
2003-06-16,Malaysia,5.0,2.0,3.0
2003-06-16,Mongolia,9.0,0.0,9.0
2003-06-16,New Zealand,1.0,0.0,1.0
2003-06-16,Philippines,14.0,2.0,12.0
2003-06-16,Republic of Ireland,1.0,0.0,1.0
2003-06-16,Republic of Korea,3.0,0.0,3.0
