Financial Institution Number,Institution Name,Institution Type,Charter Type,Headquarters,Failure Date,Insurance Fund,Certificate Number,Transaction Type,Total Deposits,Total Assets,Estimated Loss (2015)
NaN,THE UNION BANK,COMMERCIAL BANK,STATE,UHRICHSVILLE, OH,10/27/1936 ,FDIC,NaN,PAYOUT,1992.0,1906.0,NaN
NaN,BANK OF CAMBRIA,COMMERCIAL BANK,STATE,CAMBRIA, WI,12/1/1936 ,FDIC,NaN,ACQUISITION,317.0,NaN,NaN
NaN,CITIZENS STATE BANK,COMMERCIAL BANK,STATE,PALMYRA, IN,12/5/1936 ,FDIC,NaN,PAYOUT,297.0,350.0,NaN
NaN,SCOTTSBURG STATE BANK,COMMERCIAL BANK,STATE,SCOTTSBURG, IN,12/5/1936 ,FDIC,NaN,PAYOUT,491.0,563.0,NaN
NaN,THE UNION STATE BANK,COMMERCIAL BANK,STATE,CROTHERSVILLE, IN,12/7/1936 ,FDIC,NaN,PAYOUT,207.0,248.0,NaN
NaN,THE BREWSTER STATE BANK,COMMERCIAL BANK,STATE,BREWSTER, KS,12/7/1936 ,FDIC,NaN,ACQUISITION,75.0,NaN,NaN
NaN,THE FIRST STATE BANK OF LIGNITE,COMMERCIAL BANK,STATE,LIGNITE, ND,12/12/1936 ,FDIC,NaN,PAYOUT,46.0,83.0,NaN
NaN,THE FIRST NATIONAL BANK OF CENTERVILLE,COMMERCIAL BANK,STATE,CENTERVILLE, SD,12/18/1936 ,FDIC,NaN,PAYOUT,506.0,569.0,NaN
NaN,THE FIRST INTERNATIONAL BANK OF WILLISTON,COMMERCIAL BANK,STATE,WILLISTON, ND,12/19/1936 ,FDIC,NaN,ACQUISITION,763.0,NaN,NaN
NaN,FIRST INTERNATIONAL BANK,COMMERCIAL BANK,STATE,MINOT, ND,12/19/1936 ,FDIC,NaN,ACQUISITION,360.0,NaN,NaN
NaN,NORTHERN AND DAKOTA TRUST COMPANY,COMMERCIAL BANK,STATE,FARGO, ND,12/19/1936 ,FDIC,NaN,ACQUISITION,479.0,NaN,NaN
NaN,FIRST STATE BANK,COMMERCIAL BANK,STATE,COTEAU, ND,12/21/1936 ,FDIC,NaN,ACQUISITION,43.0,NaN,NaN
NaN,THE CUMMINGS STATE BANK,COMMERCIAL BANK,STATE,CUMMINGS, ND,12/21/1936 ,FDIC,NaN,ACQUISITION,30.0,NaN,NaN
NaN,BANK OF BERTHOLD,COMMERCIAL BANK,STATE,BERTHOLD, ND,12/21/1936 ,FDIC,NaN,ACQUISITION,84.0,NaN,NaN
NaN,FIRST STATE BANK OF MAX,COMMERCIAL BANK,STATE,MAX, ND,12/21/1936 ,FDIC,NaN,ACQUISITION,100.0,NaN,NaN
NaN,RESERVATION STATE BANK,COMMERCIAL BANK,STATE,MAKOTI, ND,12/21/1936 ,FDIC,NaN,ACQUISITION,78.0,NaN,NaN
NaN,FIRST STATE BANK OF POWERS LAKE,COMMERCIAL BANK,STATE,POWERS LAKE, ND,12/21/1936 ,FDIC,NaN,ACQUISITION,76.0,NaN,NaN
