Unnamed: 0,price,brand,model,year,title_status,mileage,color,vin,lot,state,country,condition
674.0,22600.0,chevrolet,van,2019.0,clean vehicle,13485.0,white,  1gcwgafgxk1242467,1.67787096E8,oklahoma, usa,21 hours left
675.0,22400.0,chevrolet,van,2019.0,clean vehicle,15524.0,white,  1gcwgafg5k1221297,1.67787099E8,oklahoma, usa,21 hours left
676.0,22700.0,chevrolet,van,2019.0,clean vehicle,8996.0,white,  1gcwgafg9k1240337,1.67787101E8,oklahoma, usa,21 hours left
677.0,13700.0,chevrolet,malibu,2019.0,clean vehicle,47282.0,silver,  1g1zd5st4kf126371,1.67787112E8,oklahoma, usa,21 hours left
678.0,37100.0,chevrolet,suburban,2019.0,clean vehicle,34470.0,black,  1gnskhkcxkr288236,1.67787113E8,oklahoma, usa,21 hours left
679.0,18500.0,chevrolet,colorado,2018.0,clean vehicle,87264.0,green,  1gcgtcen5j1157983,1.67787277E8,oregon, usa,34 minutes
680.0,18300.0,chevrolet,2500,2017.0,clean vehicle,114344.0,white,  1gc2kveg3hz159933,1.67787341E8,oregon, usa,34 minutes
681.0,19000.0,chevrolet,2500,2017.0,clean vehicle,111635.0,white,  1gc2kveg1hz262672,1.67787345E8,oregon, usa,34 minutes
682.0,18500.0,chevrolet,1500,2017.0,clean vehicle,103955.0,white,  3gcukrec0hg249327,1.67787357E8,oregon, usa,34 minutes
683.0,22500.0,chevrolet,door,2016.0,clean vehicle,66640.0,white,  3gcukrec5gg277008,1.67787423E8,oregon, usa,34 minutes
684.0,14500.0,chevrolet,door,2014.0,clean vehicle,122018.0,white,  3gcukrec6eg373324,1.67787612E8,oregon, usa,34 minutes
685.0,32800.0,chevrolet,tahoe,2018.0,clean vehicle,46915.0,gray,  1gnskbkc9jr370082,1.67787953E8,oklahoma, usa,21 hours left
686.0,12300.0,chevrolet,malibu,2018.0,clean vehicle,53599.0,black,  1g1zd5stxjf140841,1.67787955E8,oklahoma, usa,21 hours left
687.0,19600.0,chevrolet,1500,2018.0,clean vehicle,41672.0,gray,  1gcvkreh7jz295386,1.67787956E8,oklahoma, usa,21 hours left
688.0,13600.0,chevrolet,malibu,2018.0,clean vehicle,36047.0,white,  1g1zd5st5jf249837,1.67787964E8,oklahoma, usa,21 hours left
689.0,7200.0,chevrolet,spark,2018.0,clean vehicle,42561.0,red,  kl8cb6sa3jc459211,1.67787965E8,oklahoma, usa,21 hours left
690.0,19900.0,chevrolet,1500,2018.0,clean vehicle,40345.0,white,  1gcvkreh3jz272445,1.67787966E8,oklahoma, usa,21 hours left
