Year,Product,Origin,Destination / PADD,Mode of Transportation,Volume (m3),Volume (bbl),Value (CN$),Value (US$),Price (CN cents/L),Price (US cents/gallon)
1990,Propane,Ontario,PADD II,Pipeline,789897.2,4968295.40856,80250821.29,68668211.86475,10.159653,32.907652
1990,Propane,Ontario,PADD II,Railway,40037.1,251825.35158,4758475.76,4079290.18056,11.885165,38.568589
1990,Propane,Ontario,PADD II,Total,869948.1,5471799.55938,89608942.72,76696509.12488,10.300492,33.372904
1990,Propane,Ontario,PADD II,Truck,40013.8,251678.79924,4599645.67,3949007.07957,11.495148,37.358537
1990,Propane,Ontario,PADD IV,Railway,673.0,4233.0354,49600.1,42875.92931,7.37,24.116276
1990,Propane,Ontario,PADD IV,Total,673.0,4233.0354,49600.1,42875.92931,7.37,24.116276
1990,Propane,Ontario,PADD V,Railway,639.0,4019.1822,45369.0,38981.66008,7.1,23.092515
1990,Propane,Ontario,PADD V,Total,639.0,4019.1822,45369.0,38981.66008,7.1,23.092515
1990,Propane,Ontario,Other,Railway,346.0,2176.2708,25950.0,22126.26519,7.5,24.207156
1990,Propane,Ontario,Other,Total,346.0,2176.2708,25950.0,22126.26519,7.5,24.207156
1990,Propane,Ontario,Total,Pipeline,789897.2,4968295.40856,80250821.29,68668211.86475,10.159653,32.907652
1990,Propane,Ontario,Total,Railway,270687.4,1702569.60852,32544658.99,27878704.83459,12.022967,38.986686
1990,Propane,Ontario,Total,Total,1196056.7,7522957.43166,129749118.91,111065807.07662,10.848074,35.151217
1990,Propane,Ontario,Total,Truck,135472.1,852092.41458,16953638.63,14518890.37728,12.514487,40.569093
1990,Propane,Québec,PADD I,Railway,1586.0,9975.6228,233012.5,199871.65173,14.691834,47.704546
1990,Propane,Québec,PADD I,Total,13878.1,87290.47338,1838183.6,1572422.20224,13.24521,42.889494
1990,Propane,Québec,PADD I,Truck,12292.1,77314.85058,1605171.1,1372550.55051,13.058558,42.268227
1990,Propane,Québec,Total,Railway,1586.0,9975.6228,233012.5,199871.65173,14.691834,47.704546
1990,Propane,Québec,Total,Total,13878.1,87290.47338,1838183.6,1572422.20224,13.24521,42.889494
1990,Propane,Québec,Total,Truck,12292.1,77314.85058,1605171.1,1372550.55051,13.058558,42.268227
1990,Propane,Saskatchewan,PADD II,Pipeline,1809921.9,11384046.76662,186311830.19,159932155.79591,10.293915,33.44935
1990,Propane,Saskatchewan,PADD II,Railway,8214.8,51669.44904,1089395.8,937516.93318,13.261379,43.20101
1990,Propane,Saskatchewan,PADD II,Total,1831014.9,11516717.51802,188871821.09,162128327.41029,10.315143,33.518051
1990,Propane,Saskatchewan,PADD II,Truck,12878.2,81001.30236,1470595.1,1258654.6812,11.419259,36.996717
1990,Propane,Saskatchewan,PADD IV,Railway,344.0,2163.6912,23770.4,20547.90192,6.91,22.611053
1990,Propane,Saskatchewan,PADD IV,Total,1235.5,7771.0479,134062.08,115212.11189,10.850836,35.299385
1990,Propane,Saskatchewan,PADD IV,Truck,891.5,5607.3567,110291.68,94664.20997,12.371472,40.195387
1990,Propane,Saskatchewan,PADD V,Railway,2991.0,18812.7918,158523.0,136205.11146,5.3,17.238072
