Food-Group-Name, Food-Group-Code,Sex,Age,Number-of-Respondents,Percentage-of-Eaters,All-Person-Consumption-Intake-g-per-person-Mean,All-Person-Consumption-Intake-g-per-person-SE-Mean,All-Person-Consumption-Intake-g-per-person-P50,All-Person-Consumption-Intake-g-per-person-SE-P50,All-Person-Consumption-Intake-g-per-person-P90,All-Person-Consumption-Intake-g-per-person-SE-P90,All-Person-Consumption-Intake-g-per-person-P95,All-Person-Consumption-Intake-g-per-person-SE-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P95,Eaters-Only-Consumption-Intake-g-per-person-Mean,Eaters-Only-Consumption-Intake-g-per-person-SE-Mean,Eaters-Only-Consumption-Intake-g-per-person-P50,Eaters-Only-Consumption-Intake-g-per-person-SE-P50,Eaters-Only-Consumption-Intake-g-per-person-P90,Eaters-Only-Consumption-Intake-g-per-person-SE-P90,Eaters-Only-Consumption-Intake-g-per-person-P95,Eaters-Only-Consumption-Intake-g-per-person-SE-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P95
"CHEESE, LESS THAN 10% B.F. ",14B,Both,14 -18 Years,4565,3.1,0.72,±0.09,F,F,F,F,F,F,0.01,±0.00,F,F,F,F,F,F,23.15,±1.54,23.44,±1.43,40.61,±5.69,F,F,0.36,±0.02,0.32,±0.03,0.57,±0.03,F,F
"CHEESE, LESS THAN 10% B.F. ",14B,Both,19 - 30 Years,3821,2.6,0.82 E,±0.16,F,F,F,F,F,F,0.01 E,±0.00,F,F,F,F,F,F,31.77,±3.37,23.44,±1.40,56.5 E,±16.84,F,F,0.44,±0.05,0.31,±0.04,F,F,F,F
"CHEESE, LESS THAN 10% B.F. ",14B,Both,31 - 50 Years,5351,2.3,0.77 E,±0.19,F,F,F,F,F,F,0.01 E,±0.00,F,F,F,F,F,F,34.24,±5.39,23.44,±3.81,F,F,F,F,0.43,±0.07,0.25 E,±0.08,F,F,F,F
"CHEESE, LESS THAN 10% B.F. ",14B,Both,51 -70 Years,5751,1.5,0.4,±0.07,F,F,F,F,F,F,0.01 E,±0.00,F,F,F,F,F,F,27.16,±2.99,21,±1.47,F,F,F,F,0.37,±0.04,0.31,±0.05,F,F,F,F
"CHEESE, LESS THAN 10% B.F. ",14B,Both,71 + Years ,4130,1.4,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,41.07 E,±10.79,F,F,F,F,F,F,0.48 E,±0.09,0.6 E,±0.18,F,F,F,F
"CHEESE, LESS THAN 10% B.F. ",14B,Both,0 -18 years,14290,3.5,1.11,±0.12,F,F,F,F,F,F,0.05,±0.01,F,F,F,F,F,F,32.27,±2.33,23.44,±0.59,60,±9.21,100 E,±20.01,1.42,±0.17,0.55,±0.03,4.85 E,±0.86,6.19,±0.70
"CHEESE, LESS THAN 10% B.F. ",14B,Both,19 +  Years,19053,2,0.66,±0.09,F,F,F,F,F,F,0.01,±0.00,F,F,F,F,F,F,32.69,±2.77,23.44,±1.40,56.7,±7.74,79.98 E,±15.09,0.43,±0.03,0.31,±0.03,0.65,±0.06,0.97 E,±0.25
"CHEESE, LESS THAN 10% B.F. ",14B,Male,9 -13 Years,2080,3.8,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,36.51 E,±9.95,23.44,±1.95,F,F,F,F,F,F,0.5,±0.06,F,F,F,F
"CHEESE, LESS THAN 10% B.F. ",14B,Male,14 -18 Years,2288,3.1,0.82 E,±0.16,F,F,F,F,F,F,0.01 E,±0.00,F,F,F,F,F,F,26.45,±2.11,23.44,±0.65,46.87,±6.42,F,F,0.39,±0.03,0.36,±0.04,0.57,±0.07,F,F
"CHEESE, LESS THAN 10% B.F. ",14B,Male,19 - 30 Years,1804,1.9,0.64 E,±0.17,F,F,F,F,F,F,0.01 E,±0.00,F,F,F,F,F,F,33.09,±4.70,23.44,±3.69,F,F,F,F,0.39,±0.05,0.29,±0.04,F,F,F,F
"CHEESE, LESS THAN 10% B.F. ",14B,Male,31 - 50 Years,2596,2.6,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,29.39,±3.03,23.44 E,±4.31,F,F,F,F,0.35,±0.05,F,F,F,F,F,F
"CHEESE, LESS THAN 10% B.F. ",14B,Male,51 -70 Years,2550,1.3,0.31 E,±0.08,F,F,F,F,F,F,0 E,±0.00,F,F,F,F,F,F,24.83 E,±4.54,20.92 E,±4.07,F,F,F,F,0.31 E,±0.06,0.25 E,±0.05,F,F,F,F
"CHEESE, LESS THAN 10% B.F. ",14B,Male,71 + Years ,1520,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
"CHEESE, LESS THAN 10% B.F. ",14B,Male,19 +  Years,8470,2,0.64 E,±0.14,F,F,F,F,F,F,0.01 E,±0.00,F,F,F,F,F,F,31.22,±2.63,23.44,±3.28,58.59,±8.96,F,F,0.37,±0.03,0.27,±0.05,0.65,±0.05,F,F
