Date,Nb_Cas_Cumulatif,Nb_Nvx_Cas,Nb_Cas_Actifs,Nb_Deces_Cumulatif_Total,Nb_Deces_Cumulatif_CHCHSLD,Nb_Deces_Cumulatif_RPA,Nb_Deces_Cumulatif_DomInc,Nb_Deces_Cumulatif_Autre,Nb_Nvx_Deces_Total,Nb_Nvx_Deces_CHCHSLD,Nb_Nvx_Deces_RPA,Nb_Nvx_Deces_DomInc,Nb_Nvx_Deces_Autre
2021-04-07,320889,1642,12149,10750,5676,2287,2231,556,7,1,0,5,1
2021-04-08,322607,1718,12595,10762,5677,2288,2241,556,12,1,1,10,0
2021-04-09,324473,1866,13234,10766,5677,2289,2244,556,4,0,1,3,0
2021-04-10,326102,1629,13513,10773,5677,2291,2249,556,7,0,2,5,0
2021-04-11,327597,1495,13768,10784,5678,2292,2258,556,11,1,1,9,0
2021-04-12,329014,1417,13926,10790,5681,2293,2260,556,6,3,1,2,0
2021-04-13,330544,1530,14276,10803,5682,2293,2271,557,13,1,0,11,1
2021-04-14,332059,1515,14536,10812,5683,2293,2279,557,9,1,0,8,0
2021-04-15,333742,1683,14631,10819,5684,2294,2283,558,7,1,1,4,1
2021-04-16,335198,1456,14403,10834,5685,2297,2294,558,15,1,3,11,0
2021-04-17,336492,1294,14013,10847,5687,2302,2300,558,13,2,5,6,0
2021-04-18,337517,1025,13338,10857,5689,2303,2307,558,10,2,1,7,0
2021-04-19,338706,1189,12866,10867,5692,2305,2312,558,10,3,2,5,0
2021-04-20,339928,1222,12653,10874,5692,2305,2319,558,7,0,0,7,0
2021-04-21,341125,1197,12478,10878,5693,2305,2322,558,4,1,0,3,0
2021-04-22,342218,1093,12022,10892,5695,2309,2329,559,14,2,4,7,1
2021-04-23,343137,919,11562,10900,5697,2310,2333,560,8,2,1,4,1
2021-04-24,344334,1197,11335,10912,5698,2311,2342,561,12,1,1,9,1
2021-04-25,345226,892,10833,10922,5700,2313,2347,562,10,2,2,5,1
2021-04-26,346195,969,10548,10931,5701,2314,2353,563,9,1,1,6,1
2021-04-27,347275,1080,10459,10944,5701,2315,2364,564,13,0,1,11,1
2021-04-28,348343,1068,10479,10956,5702,2318,2372,564,12,1,3,8,0
2021-04-29,349457,1114,10280,10968,5702,2321,2380,565,12,0,3,8,1
2021-04-30,350629,1172,10243,10975,5702,2322,2386,565,7,0,1,6,0
2021-05-01,351548,919,10048,10983,5702,2322,2394,565,8,0,0,8,0
2021-05-02,352325,777,9769,10990,5703,2323,2399,565,7,1,1,5,0
2021-05-03,353174,849,9527,10994,5703,2323,2403,565,4,0,0,4,0
2021-05-04,354081,907,9476,11004,5705,2323,2411,565,10,2,0,8,0
2021-05-05,354975,894,9464,11007,5705,2324,2412,566,3,0,1,1,1
2021-05-06,356012,1037,9370,11016,5706,2325,2419,566,9,1,1,7,0
2021-05-07,357018,1006,9319,11024,5707,2326,2425,566,8,1,1,6,0
2021-05-08,357830,812,8976,11032,5707,2326,2432,567,8,0,0,7,1
2021-05-09,358539,709,8643,11038,5707,2326,2437,568,6,0,0,5,1
2021-05-10,359210,671,8287,11041,5707,2327,2439,568,3,0,1,2,0
2021-05-11,360042,832,8300,11046,5708,2327,2443,568,5,1,0,4,0
2021-05-12,360899,857,8376,11052,5708,2329,2447,568,6,0,2,4,0
2021-05-13,361788,889,8292,11057,5710,2332,2447,568,5,2,3,0,0
2021-05-14,362579,791,8152,11061,5710,2333,2450,568,4,0,1,3,0
2021-05-15,363237,658,7891,11068,5711,2334,2455,568,7,1,1,5,0
2021-05-16,363792,555,7576,11076,5711,2334,2462,569,8,0,0,7,1
2021-05-17,364367,575,7289,11087,5711,2335,2470,571,11,0,1,8,2
2021-05-18,364950,583,7122,11094,5711,2338,2474,571,7,0,3,4,0
2021-05-19,365749,799,7253,11101,5711,2340,2479,571,7,0,2,5,0
2021-05-20,366424,675,7091,11106,5711,2341,2483,571,5,0,1,4,0
2021-05-21,366978,554,6839,11112,5711,2342,2488,571,6,0,1,5,0
2021-05-22,367472,494,6498,11119,5712,2342,2494,571,7,1,0,6,0
2021-05-23,367818,346,6085,11127,5712,2343,2500,572,8,0,1,6,1
2021-05-24,368197,379,5731,11130,5713,2343,2502,572,3,1,0,2,0
2021-05-25,368596,399,5522,11134,5713,2343,2506,572,4,0,0,4,0
2021-05-26,369053,457,5379,11139,5713,2343,2511,572,5,0,0,5,0
2021-05-27,369465,412,5130,11142,5713,2343,2514,572,3,0,0,3,0
2021-05-28,369863,398,4846,11144,5713,2345,2514,572,2,0,2,0,0
2021-05-29,370162,299,4513,11150,5713,2346,2518,573,6,0,1,4,1
2021-05-30,370434,272,4250,11150,5713,2346,2518,573,0,0,0,0,0
2021-05-31,370682,248,3919,11154,5713,2347,2521,573,4,0,1,3,0
2021-06-01,370964,282,3771,11159,5713,2349,2524,573,5,0,2,3,0
2021-06-02,371259,295,3645,11163,5714,2349,2527,573,4,1,0,3,0
2021-06-03,371528,269,3489,11167,5714,2349,2531,573,4,0,0,4,0
2021-06-04,371760,232,3191,11170,5714,2351,2532,573,3,0,2,1,0
2021-06-05,371972,212,2953,11175,5714,2351,2537,573,5,0,0,5,0
2021-06-06,372124,152,2728,11179,5714,2351,2541,573,4,0,0,4,0
2021-06-07,372287,163,2545,11184,5714,2354,2543,573,5,0,3,2,0
2021-06-08,372483,196,2430,11185,5714,2354,2544,573,1,0,0,1,0
2021-06-09,372637,154,2325,11186,5714,2354,2545,573,1,0,0,1,0
2021-06-10,372852,215,2241,11187,5714,2354,2546,573,1,0,0,1,0
2021-06-11,373013,161,2101,11189,5714,2355,2547,573,2,0,1,1,0
2021-06-12,373144,131,1955,11190,5714,2355,2548,573,1,0,0,1,0
2021-06-13,373262,118,1851,11194,5714,2355,2551,574,4,0,0,3,1
2021-06-14,373372,110,1730,11195,5714,2355,2552,574,1,0,0,1,0
2021-06-15,373546,174,1702,11195,5714,2355,2552,574,0,0,0,0,0
2021-06-16,373696,150,1674,11200,5714,2356,2555,575,5,0,1,3,1
2021-06-17,373850,154,1649,11202,5714,2356,2557,575,2,0,0,2,0
2021-06-18,373979,129,1589,11202,5714,2356,2557,575,0,0,0,0,0
2021-06-19,374064,85,1478,11204,5714,2356,2559,575,2,0,0,2,0
2021-06-20,374158,94,1406,11206,5714,2357,2560,575,2,0,1,1,0
2021-06-21,374251,93,1335,11208,5714,2358,2561,575,2,0,1,1,0
2021-06-22,374379,128,1296,11209,5714,2358,2562,575,1,0,0,1,0
2021-06-23,374458,79,1260,11210,5714,2359,2562,575,1,0,1,0,0
2021-06-24,374537,79,1167,11211,5714,2359,2563,575,1,0,0,1,0
2021-06-25,374641,104,1138,11213,5714,2359,2565,575,2,0,0,2,0
2021-06-26,374721,80,1074,11214,5714,2359,2566,575,1,0,0,1,0
2021-06-27,374770,49,1014,11215,5714,2359,2567,575,1,0,0,1,0
2021-06-28,374866,96,975,11216,5715,2359,2567,575,1,1,0,0,0
2021-06-29,374967,101,975,11217,5715,2359,2568,575,1,0,0,1,0
2021-06-30,375041,74,951,11218,5716,2359,2568,575,1,1,0,0,0
2021-07-01,375117,76,916,11219,5716,2360,2568,575,1,0,1,0,0
2021-07-02,375183,66,878,11220,5716,2361,2568,575,1,0,1,0,0
2021-07-03,375242,59,850,11220,5716,2361,2568,575,0,0,0,0,0
2021-07-04,375283,41,809,11221,5716,2361,2569,575,1,0,0,1,0
2021-07-05,375360,77,805,11221,5716,2361,2569,575,0,0,0,0,0
2021-07-06,375444,84,817,11222,5716,2362,2569,575,1,0,1,0,0
2021-07-07,375513,69,813,11222,5716,2362,2569,575,0,0,0,0,0
2021-07-08,375583,70,814,11222,5716,2362,2569,575,0,0,0,0,0
2021-07-09,375654,71,785,11222,5716,2362,2569,575,0,0,0,0,0
2021-07-10,375714,60,780,11223,5716,2362,2570,575,1,0,0,1,0
2021-07-11,375768,54,758,11225,5716,2362,2572,575,2,0,0,2,0
2021-07-12,375828,60,744,11225,5716,2362,2572,575,0,0,0,0,0
2021-07-13,375907,79,764,11226,5716,2362,2573,575,1,0,0,1,0
2021-07-14,375982,75,773,11226,5716,2362,2573,575,0,0,0,0,0
2021-07-15,376078,96,769,11227,5716,2362,2574,575,1,0,0,1,0
2021-07-16,376150,72,762,11227,5716,2362,2574,575,0,0,0,0,0
2021-07-17,376223,73,761,11227,5716,2362,2574,575,0,0,0,0,0
2021-07-18,376289,66,765,11228,5716,2362,2575,575,1,0,0,1,0
2021-07-19,376367,78,764,11228,5716,2362,2575,575,0,0,0,0,0
2021-07-20,376473,106,812,11229,5716,2362,2576,575,1,0,0,1,0
2021-07-21,376575,102,853,11230,5716,2362,2577,575,1,0,0,1,0
2021-07-22,376701,126,903,11232,5716,2363,2578,575,2,0,1,1,0
2021-07-23,376815,114,956,11232,5716,2363,2578,575,0,0,0,0,0
2021-07-24,376897,82,938,11232,5716,2363,2578,575,0,0,0,0,0
2021-07-25,376966,69,929,11232,5716,2363,2578,575,0,0,0,0,0
2021-07-26,377075,109,951,11232,5716,2363,2578,575,0,0,0,0,0
2021-07-27,377211,136,1010,11232,5716,2363,2578,575,0,0,0,0,0
2021-07-28,377343,132,1050,11232,5716,2363,2578,575,0,0,0,0,0
2021-07-29,377445,102,1045,11232,5716,2363,2578,575,0,0,0,0,0
2021-07-30,377667,222,1152,11232,5716,2363,2578,575,0,0,0,0,0
2021-07-31,377816,149,1187,11232,5716,2363,2578,575,0,0,0,0,0
2021-08-01,377950,134,1205,11232,5716,2363,2578,575,0,0,0,0,0
2021-08-02,378143,193,1285,11232,5716,2363,2578,575,0,0,0,0,0
2021-08-03,378337,194,1388,11233,5716,2363,2579,575,1,0,0,1,0
2021-08-04,378603,266,1558,11233,5716,2363,2579,575,0,0,0,0,0
2021-08-05,378898,295,1735,11233,5716,2363,2579,575,0,0,0,0,0
2021-08-06,379167,269,1878,11233,5716,2363,2579,575,0,0,0,0,0
2021-08-07,379417,250,1983,11233,5716,2363,2579,575,0,0,0,0,0
2021-08-08,379654,237,2040,11233,5716,2363,2579,575,0,0,0,0,0
2021-08-09,379950,296,2158,11234,5716,2363,2580,575,1,0,0,1,0
2021-08-10,380308,358,2337,11234,5716,2363,2580,575,0,0,0,0,0
2021-08-11,380734,426,2615,11234,5716,2363,2580,575,0,0,0,0,0
2021-08-12,381160,426,2793,11234,5716,2363,2580,575,0,0,0,0,0
2021-08-13,381563,403,2916,11235,5716,2363,2581,575,1,0,0,1,0
2021-08-14,381933,370,2973,11235,5716,2363,2581,575,0,0,0,0,0
2021-08-15,382287,354,3036,11235,5716,2363,2581,575,0,0,0,0,0
2021-08-16,382666,379,3130,11236,5716,2364,2581,575,1,0,1,0,0
2021-08-17,383079,413,3249,11236,5716,2364,2581,575,0,0,0,0,0
2021-08-18,383574,495,3494,11237,5716,2364,2582,575,1,0,0,1,0
2021-08-19,384116,542,3714,11237,5716,2364,2582,575,0,0,0,0,0
2021-08-20,384643,527,3901,11237,5716,2364,2582,575,0,0,0,0,0
2021-08-21,385037,394,3901,11240,5717,2366,2582,575,3,1,2,0,0
2021-08-22,385389,352,3828,11240,5717,2366,2582,575,0,0,0,0,0
2021-08-23,385825,436,3908,11240,5717,2366,2582,575,0,0,0,0,0
2021-08-24,386400,575,4117,11241,5717,2366,2583,575,1,0,0,1,0
2021-08-25,387031,631,4454,11241,5717,2366,2583,575,0,0,0,0,0
2021-08-26,387671,640,4629,11241,5717,2366,2583,575,0,0,0,0,0
2021-08-27,388198,527,4695,11241,5717,2366,2583,575,0,0,0,0,0
2021-08-28,388717,519,4678,11241,5717,2366,2583,575,0,0,0,0,0
2021-08-29,389121,404,4557,11242,5717,2366,2584,575,1,0,0,1,0
