Airport Code,Year,Month,Domestic Flights,International Flights,Total Flights
LGA,2004,Jun,30198,1938,32136
LGA,2000,Apr,27014,1898,28912
LGA,2006,Dec,29843,1779,31622
JFK,1977,Mar,13843,6489,20332
JFK,1980,Oct,14249,6049,20298
JFK,1993,Dec,17199,8316,25515
SWF,2010,Dec,689,0,689
JFK,2008,Sep,22421,12045,34466
JFK,1993,Jun,18094,8820,26914
ACY,2012,Feb,756,2,758
EWR,1996,Apr,32033,3058,35091
JFK,1988,Dec,11637,7891,19528
LGA,2000,Nov,32759,1789,34548
EWR,2013,Oct,26869,7546,34415
JFK,2005,Jan,16531,9652,26183
LGA,1993,Jul,25756,1576,27332
JFK,1990,May,12103,8269,20372
JFK,1978,Jun,15108,7344,22452
JFK,2013,Aug,21921,15446,37367
JFK,2001,Sep,11583,8137,19720
JFK,2010,Jul,21825,14188,36013
JFK,1986,Apr,13153,6485,19638
SWF,2013,Oct,648,0,648
LGA,1980,Jul,22224,0,22224
JFK,2009,Mar,22840,11600,34440
JFK,1978,Oct,15262,6794,22056
EWR,1986,Jan,28281,308,28589
SWF,2014,Jan,570,0,570
JFK,1989,Sep,12186,8680,20866
EWR,1988,Jul,27232,980,28212
EWR,1994,Jun,32071,2720,34791
EWR,2001,Dec,25981,5025,31006
JFK,1992,Feb,13431,6981,20412
EWR,1992,Jul,30969,2630,33599
LGA,1986,Oct,27216,124,27340
EWR,2010,Jul,25786,9125,34911
LGA,2004,Apr,30604,1731,32335
JFK,2009,Jul,23820,13381,37201
JFK,1984,Aug,17173,7876,25049
LGA,2011,Mar,29806,1851,31657
EWR,1989,Jul,27097,1681,28778
LGA,2006,Jun,30018,1888,31906
LGA,1988,Aug,27227,1348,28575
LGA,2006,Sep,29955,1821,31776
SWF,2008,Feb,1371,0,1371
JFK,1982,Oct,15038,6135,21173
EWR,1977,Mar,11117,230,11347
EWR,2012,Aug,29700,8671,38371
LGA,2012,Jul,27491,2771,30262
LGA,2005,Nov,29685,1803,31488
JFK,1996,Nov,17955,8928,26883
EWR,1996,Jan,26849,2623,29472
JFK,1983,May,14977,6331,21308
JFK,1986,Jul,13178,7803,20981
EWR,2013,Apr,26287,8116,34403
LGA,1979,Feb,18260,0,18260
LGA,1997,Mar,26118,1947,28065
JFK,1993,Jul,18831,9751,28582
ACY,2013,Apr,770,3,773
LGA,1986,Jul,26545,124,26669
LGA,1977,Jul,21439,0,21439
LGA,1983,Jan,21711,0,21711
LGA,1983,Nov,23264,0,23264
EWR,1983,Jun,18856,248,19104
SWF,2014,Oct,632,0,632
LGA,1978,Aug,23241,0,23241
JFK,2014,May,21597,14355,35952
LGA,1990,Jan,26842,1683,28525
LGA,1995,Nov,24348,1874,26222
SWF,2009,May,656,0,656
EWR,1996,Nov,32563,3021,35584
JFK,2003,Jan,14303,9045,23348
LGA,2005,Apr,30486,2076,32562
JFK,2006,Mar,18419,10111,28530
ACY,2013,Feb,680,4,684
JFK,1991,Jan,11031,7615,18646
SWF,2006,Feb,773,2,775
SWF,2007,Mar,1318,0,1318
LGA,1982,Feb,18756,0,18756
JFK,1984,Jul,16791,7925,24716
EWR,2002,Oct,28185,5076,33261
LGA,1986,May,26962,125,27087
JFK,1991,Dec,13564,7471,21035
JFK,1997,Sep,17662,10233,27895
JFK,1993,Sep,17451,8784,26235
LGA,2002,Jun,27273,1701,28974
JFK,1998,Apr,16693,9674,26367
JFK,1995,Jul,18289,11142,29431
EWR,1986,Jun,30395,378,30773
JFK,1979,Oct,14677,6932,21609
EWR,1994,Jan,29571,2591,32162
SWF,2012,Mar,821,0,821
JFK,1990,Oct,12198,8215,20413
EWR,2009,Oct,25704,7209,32913
EWR,2009,Aug,26470,8623,35093
LGA,1979,Nov,21439,0,21439
JFK,2009,May,23604,12467,36071
JFK,1996,Sep,19070,10104,29174
EWR,2009,Sep,24485,7119,31604
LGA,2006,Nov,29626,1802,31428
EWR,2014,Jul,26272,8966,35238
JFK,2010,Nov,20500,11338,31838
JFK,1990,Mar,12669,8101,20770
JFK,2008,Jun,23388,12933,36321
JFK,1982,Feb,13207,4809,18016
JFK,2007,Aug,25815,13187,39002
EWR,2005,Jan,26305,5908,32213
SWF,2012,Apr,768,0,768
JFK,1979,Jun,14392,7163,21555
LGA,1980,Jun,21747,0,21747
EWR,2010,Sep,23832,7553,31385
