Geographic ID,Region,County,Route,Road,Milepoint,Latitude,Longitude,Location 1
14098,4,GENESEE,NY19,Lake St,81.7139,42.98138053,-77.99213884,"(42.98138053, -77.99213884)"
39979,10,NASSAU,NY106,Newbridge Rd,1.9286,40.7185953,-73.54503891,"(40.7185953, -73.54503891)"
5006,2,ONEIDA,NY12,State Route 12,67.2598,42.92895445,-75.38345771,"(42.92895445, -75.38345771)"
30964,8,DUTCHESS,US44,Church St,31.4088,41.69818346,-73.91667684,"(41.69818346, -73.91667684)"
3856,1,WARREN,US9,State Route 9,193.3919,43.33378066,-73.67848727,"(43.33378066, -73.67848727)"
7694,3,ONONDAGA,US11,N Main St,94.9154,43.14172097,-76.12758637,"(43.14172097, -76.12758637)"
22244,5, , , ,0.0,42.93452832,-78.71758345,"(42.93452832, -78.71758345)"
5199,2,ONEIDA,NY412,COLUMBIAlege St,0.679,43.04814514,-75.38264436,"(43.04814514, -75.38264436)"
10231,4,MONROE,NY65,Ontario St,4.1258,42.94708667,-77.58554227,"(42.94708667, -77.58554227)"
31657,9,BROOME,NY17C,Main St,37.9467,42.11580883,-75.95673566,"(42.11580883, -75.95673566)"
17010,5, , , ,0.0,42.98090603,-78.8926166,"(42.98090603, -78.8926166)"
20422,5, , , ,0.0,42.07881802,-78.4297767,"(42.07881802, -78.4297767)"
19437,5, , , ,0.0,42.09153845,-79.235445,"(42.09153845, -79.235445)"
7321,3,TOMPKINS,NY13,W Main St,40.7337,42.49012463,-76.30927746,"(42.49012463, -76.30927746)"
36607,10,NASSAU,NY25A,Northern Blvd,12.7633,40.77591837,-73.72941714,"(40.77591837, -73.72941714)"
20040,5,CHAUTAUQUA,NY394,E 4th St,28.4259,42.09840911,-79.23479226,"(42.09840911, -79.23479226)"
7981,3,TOMPKINS,NY13,S Meadow St,27.5373,42.43933445,-76.50824358,"(42.43933445, -76.50824358)"
38453,10,SUFFOLK,NY25,W Main St,44.3811,40.85649893,-73.20368714,"(40.85649893, -73.20368714)"
32935,10,NASSAU,NY27,Sunrise Hwy,31.1656,40.6790608,-73.43333998,"(40.6790608, -73.43333998)"
26824,8,ROCKLAND,NY59,Lafayette Ave,2.8021,41.11262068,-74.13117419,"(41.11262068, -74.13117419)"
13179,4,MONROE,NY31F,W Church St,4.1345,43.09846901,-77.44191967,"(43.09846901, -77.44191967)"
13764,4,MONROE,NY252,JEFFERSONferson Rd,8.0357,43.08727995,-77.62005167,"(43.08727995, -77.62005167)"
19188,5,CHAUTAUQUA,US20,W Main St,10.7136,42.31903927,-79.58242007,"(42.31903927, -79.58242007)"
1745,1,ALBANY,NY143,Main St,18.1545,42.47273623,-73.80463113,"(42.47273623, -73.80463113)"
2754,1,ALBANY,NY443,DELAWAREaware Ave,29.2423,42.6222525,-73.8324938,"(42.6222525, -73.8324938)"
32873,10,NASSAU,NY27,E Sunrise Hwy,23.5369,40.65742629,-73.57478224,"(40.65742629, -73.57478224)"
24879,7,ST LAWRENCE,NY56,Pierrepont Ave,32.276,44.66642981,-74.98064351,"(44.66642981, -74.98064351)"
23327,6,CHEMUNG,NY352,W Water St,15.0621,42.07769112,-76.85120978,"(42.07769112, -76.85120978)"
8568,3,ONONDAGA,930M,New Court Ave,0.6281,43.0777029,-76.10694166,"(43.0777029, -76.10694166)"
23124,6,ALLEGANY,NY275,E Notch Rd,1.806,42.08973643,-78.15169731,"(42.08973643, -78.15169731)"
2324,1,SARATOGA,NY67,State Hwy 67,51.6588,42.97033513,-73.79815901,"(42.97033513, -73.79815901)"
9243,4,MONROE,NY250,N Main St,5.0438,43.10752694,-77.44192756,"(43.10752694, -77.44192756)"
22784,6,STEUBEN,NY63,E Naples St,0.0,42.56774218,-77.58960467,"(42.56774218, -77.58960467)"
6560,3,OSWEGO,NY3,E Broadway,11.9544,43.32014464,-76.40872156,"(43.32014464, -76.40872156)"
28974,8,WESTCHESTER,NY133,Millwood Rd,7.9435,41.20836838,-73.73979766,"(41.20836838, -73.73979766)"
468,1,SCHENECTADY,NY5,Mohawk Ave,353.5743,42.8291569,-73.9729178,"(42.8291569, -73.9729178)"
36850,10,NASSAU,NY24,Fulton Ave,7.0132,40.70647498,-73.63214538,"(40.70647498, -73.63214538)"
35236,10,SUFFOLK,NY112,Medford Ave,1.1798,40.78314184,-73.00874448,"(40.78314184, -73.00874448)"
15757,5, , , ,0.0,42.9343553,-78.69706745,"(42.9343553, -78.69706745)"
19139,5, , , ,0.0,42.3283647,-79.56859569,"(42.3283647, -79.56859569)"
13261,4,MONROE,NY250,North Ave,12.6027,43.21542276,-77.43001988,"(43.21542276, -77.43001988)"
6363,3,ONONDAGA,NY92,Fayette St,9.1637,43.00390465,-75.98202908,"(43.00390465, -75.98202908)"
23638,6,STEUBEN,NY415,E High St,1.6355,42.1563232,-77.0836871,"(42.1563232, -77.0836871)"
14197,5,ERIE,NY5,Main St,81.293,42.96621832,-78.71551018,"(42.96621832, -78.71551018)"
12065,4,GENESEE,NY98,S Main St,78.0734,43.08113827,-78.18640737,"(43.08113827, -78.18640737)"
