OBJECTID,ZCTA5CE10,GEOID10,CohortCount,GradCnt,GradRate,Shape__Area,Shape__Length
200.0,48043.0,2648043.0,73.0,33.0,0.4520548,1.17910012125488E8,61114.3660835173
201.0,49849.0,2649849.0,129.0,119.0,0.9224806,8.32793186685352E9,981159.063046505
202.0,48131.0,2648131.0,133.0,123.0,0.924812,1.40810076389453E9,234947.880026892
203.0,49437.0,2649437.0,83.0,76.0,0.9156626,2.21605687187207E9,350767.784296835
204.0,49412.0,2649412.0,184.0,149.0,0.8097826,3.0903942003208E9,353346.387357239
205.0,48309.0,2648309.0,405.0,374.0,0.9234568,4.31294759439941E8,95157.0806904893
206.0,48301.0,2648301.0,0.0,NaN,NaN,2.11432282009277E8,77180.2061974189
207.0,48356.0,2648356.0,61.0,27.0,0.442623,4.34084721098145E8,92361.9113861366
208.0,48360.0,2648360.0,565.0,548.0,0.9699115,3.55137564010254E8,105966.83573802
209.0,48328.0,2648328.0,407.0,330.0,0.8108108,3.23686930187988E8,120841.476342788
210.0,49417.0,2649417.0,498.0,433.0,0.8694779,1.52520380292676E9,255608.591721113
211.0,49424.0,2649424.0,543.0,507.0,0.9337016,1.79659355448438E9,313729.931423698
212.0,48638.0,2648638.0,11.0,8.0,0.7272727,1.88695954822266E8,65921.5860966481
213.0,48023.0,2648023.0,469.0,443.0,0.9445629,4.77818240361328E8,107934.129517636
214.0,49032.0,2649032.0,0.0,NaN,NaN,1.04272848984143E9,238623.707652202
215.0,48427.0,2648427.0,43.0,39.0,0.9069768,2.73308854494629E9,351733.944030535
216.0,48103.0,2648103.0,786.0,681.0,0.8664122,1.82720261173828E9,297684.532174041
217.0,48104.0,2648104.0,213.0,176.0,0.8262911,2.23669173624023E8,118277.203427436
218.0,48205.0,2648205.0,211.0,151.0,0.7156398,1.77924795137695E8,68397.233078354
219.0,48214.0,2648214.0,157.0,48.0,0.3057325,1.56919451628418E8,58873.4045731157
220.0,48146.0,2648146.0,334.0,279.0,0.8353294,1.63644902303467E8,55477.5895294715
221.0,48101.0,2648101.0,301.0,258.0,0.8571429,1.9702194911792E8,79081.6132287102
222.0,48193.0,2648193.0,219.0,205.0,0.9360731,2.02929961276367E8,93924.2489242778
223.0,48223.0,2648223.0,95.0,76.0,0.8,1.68757060687012E8,65999.4604661677
224.0,48180.0,2648180.0,634.0,460.0,0.725552,6.5885302437207E8,104934.35418698
225.0,48185.0,2648185.0,426.0,386.0,0.9061033,3.39422800149414E8,102006.617676821
226.0,48208.0,2648208.0,351.0,174.0,0.4957265,8.81562612155762E7,51598.8197379479
227.0,49423.0,2649423.0,393.0,306.0,0.778626,2.20894237525586E9,301498.512878179
228.0,49090.0,2649090.0,182.0,160.0,0.8791209,2.2604954763584E9,287716.101022661
229.0,49776.0,2649776.0,28.0,22.0,0.7857143,3.49632678058594E9,416521.434124956
230.0,49622.0,2649622.0,30.0,30.0,1.0,1.37643541929688E9,217623.543094496
231.0,48732.0,2648732.0,220.0,147.0,0.6681818,8.63876485879883E8,158582.529603358
232.0,48642.0,2648642.0,336.0,321.0,0.9553571,3.20353557092871E9,414268.905485329
233.0,49120.0,2649120.0,366.0,291.0,0.795082,3.34314508568042E9,372914.669789548
234.0,49099.0,2649099.0,51.0,46.0,0.9019608,1.72310160064697E9,266560.958598949
235.0,49045.0,2649045.0,68.0,53.0,0.7794118,2.49049621856104E9,416617.875321441
236.0,49042.0,2649042.0,19.0,3.0,0.1578947,1.55765606241455E9,260583.849592563
237.0,49721.0,2649721.0,133.0,131.0,0.9849624,8.25119326360938E9,723841.470548002
238.0,49749.0,2649749.0,80.0,71.0,0.8875,2.42316024218945E9,502708.422919083
239.0,49701.0,2649701.0,13.0,13.0,1.0,5.25592071867188E8,161545.275868498
240.0,48617.0,2648617.0,93.0,85.0,0.9139785,3.89615594671875E9,417945.586909061
241.0,48823.0,2648823.0,247.0,215.0,0.8704454,6.31140630276855E8,248433.264465349
242.0,48808.0,2648808.0,90.0,84.0,0.9333333,7.55489229891602E8,206781.005263261
243.0,49640.0,2649640.0,NaN,NaN,NaN,1.86543759828027E9,254340.200834543
244.0,49125.0,2649125.0,NaN,NaN,NaN,4.09254197262207E8,127000.134699154
