OBJECTID,GlobalID,GEO_ID,TotalPopulation,TotalInPoverty,PercentInPoverty,County_Tri
629,b7e8069e-dfcc-4417-9eef-5dd92031cdb2,48226,4640,1164,25.0862068965517,Wayne
661,ee010b20-1461-494d-804d-4402456c58d1,48462,13590,1140,8.38852097130243,Oakland
699,cdfa62de-f4fb-434c-91f5-332653d87207,48066,47055,8191,17.4072893422591,Macomb
700,de1258c9-ef3c-4726-8f0e-6822681fa81f,48310,43307,7880,18.1956727549819,Macomb
701,081ab308-e180-4891-9631-5ead0c457f3c,48092,26622,3526,13.2446848471189,Macomb
703,5514e625-6924-42a8-bd1c-bfe7e838e581,48051,16208,1637,10.0999506416584,Macomb
714,294a2090-8f54-429c-9ca3-8658e2652fd4,48164,9087,679,7.47221305161219,Wayne
719,c43990e2-ec34-4c6b-bfd0-0bb0f068b2fa,48370,1868,67,3.58672376873662,Oakland
720,17319f69-4b64-42a0-b152-c2825182542d,48307,40859,3358,8.2185075503561,Oakland
721,90ef96a5-cd13-4b8e-961b-dd13ce4b8e95,48382,22052,1180,5.35098857246508,Oakland
722,9997ace5-56b1-4364-8b0a-6c17f9381b6f,48336,26039,2599,9.98118207304428,Oakland
723,d3caed99-ceac-42c2-8824-018660b1ba6a,48334,18193,1911,10.5040400153905,Oakland
724,2c8b0487-e3a9-4011-b67e-43323ffd8066,48030,16474,4731,28.7179798470317,Oakland
725,50e8713d-87fe-4dcd-bb36-12d841d63821,48324,16840,913,5.42161520190024,Oakland
726,aca77606-07c8-4043-9baa-f6d7c44e3c4a,48362,15626,1137,7.27633431460387,Oakland
727,681f728d-dd97-434e-9f45-b7621674094f,48350,7110,432,6.07594936708861,Oakland
728,c0bda9bf-0ac8-416f-98c0-ff34efb17c0d,48084,14573,714,4.899471625609,Oakland
729,adec491e-a5e1-48da-802d-418a8f4c3f13,48072,15111,1106,7.31917146449606,Oakland
730,01c77add-ea12-4a45-850f-c17e3f8a607b,48009,20326,654,3.21755387188822,Oakland
746,b978e35e-b766-4329-94a2-4b93e0799d7f,48168,21771,471,2.16342841394516,Wayne
747,56b57919-0696-4532-875b-d0d68e9347f9,48170,39420,1933,4.90360223236936,Wayne
748,5340172b-fe5e-43e8-a3cf-b773c49af166,48224,43958,16749,38.1022794485645,Wayne
749,a9760ec2-5608-47d2-b4df-9bbcd59ebeed,48209,33428,13245,39.6224721790116,Wayne
750,4f848afe-c064-421e-95b7-c1c97f6ff723,48212,36504,18346,50.2575060267368,Wayne
751,41dd6bbb-c905-4350-aa18-4886b9917824,48239,35540,5486,15.4361283061339,Wayne
822,dfe67947-7fb5-4cc3-9d94-cb6e9dec6570,48093,22920,3336,14.5549738219895,Macomb
823,97d26850-f17d-4c06-b4eb-345fb5634c23,48042,28183,927,3.28921690380726,Macomb
824,548d2b01-811b-453f-9989-6756eba1776b,48080,22246,2372,10.6625910276005,Macomb
825,dd83b3af-8e9c-453d-b28b-e1b1c278096e,48095,5115,223,4.35972629521017,Macomb
826,cb9582d2-2bfe-4d01-ad84-abf3d1b40378,48306,27827,742,2.66647500628886,Oakland
839,c8de0b8a-872e-4870-b9b4-eed24cee9165,48071,29782,5945,19.96172184541,Oakland
840,6203455a-73f1-490e-842f-c2c7f740c7ae,48375,22173,1158,5.22256798809363,Oakland
841,455d6589-4c9a-4747-a3b8-1952bfde3e28,48067,25315,1844,7.28421884258345,Oakland
842,44718152-5866-43e2-9dca-3b0821c82e13,48034,13937,2362,16.9476931907871,Oakland
843,cd561868-d816-4f88-b956-469d4b1fd210,48033,15930,2682,16.8361581920904,Oakland
844,c764f5e1-6ac3-40a0-a7ff-0b033471ec2a,48075,20620,3264,15.8292919495635,Oakland
845,bad72f14-f8ac-4e61-8b36-4ffd64d7ba4d,48085,24283,1127,4.64110694724705,Oakland
846,2d3f634c-509e-4743-a4e8-83f0cd7d2fb6,48322,32125,2773,8.63190661478599,Oakland
847,763b5613-52ca-4c78-8ff5-d329ddc97275,48069,2538,87,3.42789598108747,Oakland
867,4bc02ad8-063b-4b69-b763-9f3bf72b40e7,48206,19097,8576,44.9075771063518,Wayne
868,faa07b87-3ede-4a5f-ade6-5c2049e7b201,48135,27244,3000,11.011598884158,Wayne
869,cc305627-5d5a-4e03-bd79-6e128429ca2d,48150,26719,1536,5.74871814064898,Wayne
