Site,Date Range of Specimen Collection,Round,Catchment FIPS Code Description,Catchment Area Description,Catchment population,n [0-17 Years Prevalence],Rate (%) [0-17 Years Prevalence],Lower CI [0-17 Years Prevalence],Upper CI [0-17 Years Prevalence],CI Flag [0-17 Years Prevalence],n [18-49 Years Prevalence],Rate (%) [18-49 Years Prevalence],Lower CI [18-49 Years Prevalence],Upper CI [18-49 Years Prevalence],CI Flag [18-49 Years Prevalence],n [50-64 Years Prevalence],Rate (%) [50-64 Years Prevalence],Lower CI [50-64 Years Prevalence],Upper CI [50-64 Years Prevalence],CI Flag [50-64 Years Prevalence],n [65+ Years Prevalence],Rate (%) [65+ Years Prevalence],Lower CI [65+ Years Prevalence],Upper CI [65+ Years Prevalence],CI Flag [65+ Years Prevalence],n [Male Prevalence],Rate (%) [Male Prevalence],Lower CI [Male Prevalence],Upper CI [Male Prevalence],CI Flag [Male Prevalence],n [Female Prevalence],Rate (%) [Female Prevalence],Lower CI [Female Prevalence],Upper CI [Female Prevalence],CI Flag [Female Prevalence],n [Cumulative Prevalence],Rate (%) [Cumulative Prevalence],Lower CI [Cumulative Prevalence],Upper CI [Cumulative Prevalence],CI Flag [Cumulative Prevalence],Estimated cumulative infections count,Estimated cumulative infections lower CI 7,Estimated cumulative infections upper CI 7,All age-sex strata had at least one positive,Site Large CI Flag
MO,"Apr 19 - Apr 28, 2021",19,Statewide,Statewide,6090062,140,31.5,20.97,40.54,0.0,400,29.2,23.91,34.82,0.0,435,23.5,18.48,28.9,0.0,336,23.6,18.01,29.48,0.0,515,29.6,24.45,34.83,0.0,796,25.8,21.87,30.16,0.0,1311,27.7,24.53,30.83,0.0,1686947.0,1493892.0,1877566.0,True,False
MS,"Apr 19 - Apr 30, 2021",19,Statewide,Statewide,2988762,3,777.0,,,,575,28.5,24.28,32.45,0.0,470,25.9,21.45,30.25,0.0,414,19.8,15.61,23.86,0.0,512,25.2,20.62,29.47,0.0,950,28.7,25.23,32.27,0.0,1462,27.0,24.06,29.84,0.0,806966.0,719096.0,891847.0,True,False
MT,"Apr 17 -  May 1, 2021",19,Statewide,Statewide,1041732,25,777.0,,,,264,12.0,8.03,16.34,0.0,163,12.6,7.67,18.2,0.0,163,8.8,4.54,13.51,0.0,242,11.1,7.23,16.44,0.0,373,8.7,5.33,12.74,0.0,615,9.9,7.24,13.2,0.0,103131.0,75421.0,137509.0,True,False
NC,"Apr 19 - Apr 28, 2021",19,Statewide,Statewide,10155624,326,23.3,18.48,28.43,0.0,324,26.8,21.82,31.78,0.0,331,17.0,13.1,21.06,0.0,322,13.0,9.54,16.91,0.0,542,21.4,17.44,25.54,0.0,761,22.5,18.99,25.62,0.0,1303,21.9,19.19,24.62,0.0,2224082.0,1948864.0,2500315.0,True,False
ND,"Apr 19 - Apr 30, 2021",19,Statewide,Statewide,752201,0,666.0,,,,8,777.0,,,,7,777.0,,,,9,777.0,,,,9,777.0,,,,15,777.0,,,,24,777.0,,,,,,,False,
NE,"Apr 16 -  May 1, 2021",19,Statewide,Statewide,1904760,75,27.6,15.33,39.4,0.0,659,14.4,11.5,17.29,0.0,308,16.3,12.26,20.75,0.0,264,16.2,10.98,21.49,0.0,520,22.2,16.75,28.31,0.0,786,14.4,10.89,18.6,0.0,1306,18.3,15.0,21.68,0.0,348571.0,285714.0,412952.0,True,False
NH,"Apr 19 - Apr 28, 2021",19,Statewide,Statewide,1343622,58,777.0,,,,468,9.0,6.25,11.92,0.0,453,9.7,6.62,12.8,0.0,328,4.2,2.15,6.78,0.0,573,10.9,6.41,15.93,0.0,734,8.4,5.54,11.32,0.0,1307,9.6,7.1,12.36,0.0,128988.0,95397.0,166072.0,True,False
NJ,"Apr 15 - Apr 29, 2021",19,Statewide,Statewide,8881845,110,35.6,25.67,44.68,0.0,244,32.9,26.56,39.33,0.0,239,23.6,18.28,29.11,0.0,259,12.3,8.47,16.61,0.0,338,26.7,20.97,32.5,0.0,514,29.9,25.63,34.34,0.0,852,28.4,24.78,31.98,0.0,2522444.0,2200921.0,2840414.0,True,False
NM,"Apr 16 -  May 1, 2021",19,Statewide,Statewide,2092434,188,18.1,12.25,24.49,0.0,370,13.9,9.82,17.88,0.0,370,15.4,11.36,19.4,0.0,370,10.0,6.9,13.42,0.0,521,12.8,9.48,16.51,0.0,777,16.2,13.09,19.34,0.0,1298,14.5,12.32,17.02,0.0,303403.0,257788.0,356132.0,True,False
NV,"Apr 19 - Apr 26, 2021",19,Statewide,Statewide,2922849,78,25.9,14.79,37.09,0.0,417,31.3,26.3,36.72,0.0,388,23.4,19.24,27.91,0.0,418,10.8,7.62,14.01,0.0,539,25.7,20.72,31.52,0.0,762,25.2,21.1,29.85,0.0,1301,25.5,22.17,29.19,0.0,745326.0,647996.0,853180.0,True,False
