Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations
Washington,05/24/2021,109980.0,109980.0
Federal Entities,05/24/2021,218790.0,218790.0
Connecticut,05/17/2021,54990.0,54990.0
Maine,05/17/2021,21060.0,21060.0
Massachusetts,05/17/2021,105300.0,105300.0
New Hampshire,05/17/2021,21060.0,21060.0
Rhode Island,05/17/2021,16380.0,16380.0
Vermont,05/17/2021,10530.0,10530.0
New Jersey,05/17/2021,132210.0,132210.0
New York,05/17/2021,168480.0,168480.0
New York City,05/17/2021,128700.0,128700.0
Puerto Rico,05/17/2021,52650.0,52650.0
U.S. Virgin Islands,05/17/2021,2340.0,2340.0
Delaware,05/17/2021,15210.0,15210.0
District of Columbia,05/17/2021,11700.0,11700.0
Maryland,05/17/2021,90090.0,90090.0
Pennsylvania,05/17/2021,170820.0,170820.0
Philadelphia,05/17/2021,24570.0,24570.0
Virginia,05/17/2021,126360.0,126360.0
West Virginia,05/17/2021,28080.0,28080.0
Alabama,05/17/2021,72540.0,72540.0
Florida,05/17/2021,314730.0,314730.0
Georgia,05/17/2021,149760.0,149760.0
Kentucky,05/17/2021,66690.0,66690.0
Mississippi,05/17/2021,44460.0,44460.0
North Carolina,05/17/2021,150930.0,150930.0
South Carolina,05/17/2021,74880.0,74880.0
Tennessee,05/17/2021,99450.0,99450.0
Chicago,05/17/2021,40950.0,40950.0
Illinois,05/17/2021,149760.0,149760.0
Indiana,05/17/2021,97110.0,97110.0
Michigan,05/17/2021,148590.0,148590.0
Minnesota,05/17/2021,81900.0,81900.0
Ohio,05/17/2021,173160.0,173160.0
Wisconsin,05/17/2021,86580.0,86580.0
Arkansas,05/17/2021,44460.0,44460.0
Louisiana,05/17/2021,69030.0,69030.0
New Mexico,05/17/2021,31590.0,31590.0
Oklahoma,05/17/2021,57330.0,57330.0
Texas,05/17/2021,394290.0,394290.0
Iowa,05/17/2021,46800.0,46800.0
Kansas,05/17/2021,42120.0,42120.0
Missouri,05/17/2021,90090.0,90090.0
Nebraska,05/17/2021,28080.0,28080.0
Colorado,05/17/2021,81900.0,81900.0
Montana,05/17/2021,16380.0,16380.0
North Dakota,05/17/2021,11700.0,11700.0
South Dakota,05/17/2021,12870.0,12870.0
Utah,05/17/2021,40950.0,40950.0
Wyoming,05/17/2021,9360.0,9360.0
Arizona,05/17/2021,102960.0,102960.0
California,05/17/2021,575640.0,575640.0
Hawaii,05/17/2021,22230.0,22230.0
Nevada,05/17/2021,43290.0,43290.0
American Samoa,05/17/2021,0.0,0.0
Guam,05/17/2021,0.0,0.0
Marshall Islands,05/17/2021,0.0,0.0
Micronesia,05/17/2021,0.0,0.0
Mariana Islands,05/17/2021,0.0,0.0
Palau,05/17/2021,0.0,0.0
Alaska,05/17/2021,16380.0,16380.0
Idaho,05/17/2021,24570.0,24570.0
Oregon,05/17/2021,62010.0,62010.0
Washington,05/17/2021,109980.0,109980.0
Federal Entities,05/17/2021,218790.0,218790.0
Connecticut,05/10/2021,54990.0,54990.0
Maine,05/10/2021,21060.0,21060.0
Massachusetts,05/10/2021,105300.0,105300.0
New Hampshire,05/10/2021,21060.0,21060.0
Rhode Island,05/10/2021,16380.0,16380.0
Vermont,05/10/2021,10530.0,10530.0
New Jersey,05/10/2021,132210.0,132210.0
New York,05/10/2021,168480.0,168480.0
New York City,05/10/2021,128700.0,128700.0
Puerto Rico,05/10/2021,52650.0,52650.0
U.S. Virgin Islands,05/10/2021,2340.0,2340.0
Delaware,05/10/2021,15210.0,15210.0
District of Columbia,05/10/2021,11700.0,11700.0
Maryland,05/10/2021,90090.0,90090.0
Pennsylvania,05/10/2021,170820.0,170820.0
Philadelphia,05/10/2021,24570.0,24570.0
Virginia,05/10/2021,126360.0,126360.0
West Virginia,05/10/2021,28080.0,28080.0
Alabama,05/10/2021,72540.0,72540.0
Florida,05/10/2021,314730.0,314730.0
Georgia,05/10/2021,149760.0,149760.0
Kentucky,05/10/2021,66690.0,66690.0
Mississippi,05/10/2021,44460.0,44460.0
North Carolina,05/10/2021,150930.0,150930.0
South Carolina,05/10/2021,74880.0,74880.0
Tennessee,05/10/2021,99450.0,99450.0
Chicago,05/10/2021,40950.0,40950.0
Illinois,05/10/2021,149760.0,149760.0
Indiana,05/10/2021,97110.0,97110.0
Michigan,05/10/2021,148590.0,148590.0
Minnesota,05/10/2021,81900.0,81900.0
Ohio,05/10/2021,173160.0,173160.0
Wisconsin,05/10/2021,86580.0,86580.0
Arkansas,05/10/2021,44460.0,44460.0
Louisiana,05/10/2021,69030.0,69030.0
New Mexico,05/10/2021,31590.0,31590.0
Oklahoma,05/10/2021,57330.0,57330.0
Texas,05/10/2021,394290.0,394290.0
Iowa,05/10/2021,46800.0,46800.0
Kansas,05/10/2021,42120.0,42120.0
Missouri,05/10/2021,90090.0,90090.0
Nebraska,05/10/2021,28080.0,28080.0
Colorado,05/10/2021,81900.0,81900.0
Montana,05/10/2021,16380.0,16380.0
North Dakota,05/10/2021,11700.0,11700.0
South Dakota,05/10/2021,12870.0,12870.0
Utah,05/10/2021,40950.0,40950.0
Wyoming,05/10/2021,9360.0,9360.0
Arizona,05/10/2021,102960.0,102960.0
California,05/10/2021,575640.0,575640.0
Hawaii,05/10/2021,22230.0,22230.0
Nevada,05/10/2021,43290.0,43290.0
American Samoa,05/10/2021,0.0,0.0
Guam,05/10/2021,0.0,0.0
Marshall Islands,05/10/2021,0.0,0.0
Micronesia,05/10/2021,0.0,0.0
Mariana Islands,05/10/2021,0.0,0.0
Palau,05/10/2021,0.0,0.0
Alaska,05/10/2021,16380.0,16380.0
Idaho,05/10/2021,24570.0,24570.0
Oregon,05/10/2021,62010.0,62010.0
Washington,05/10/2021,109980.0,109980.0
Federal Entities,05/10/2021,218790.0,218790.0
Connecticut,05/03/2021,54990.0,54990.0
Maine,05/03/2021,21060.0,21060.0
Massachusetts,05/03/2021,105300.0,105300.0
New Hampshire,05/03/2021,21060.0,21060.0
Rhode Island,05/03/2021,16380.0,16380.0
Vermont,05/03/2021,10530.0,10530.0
New Jersey,05/03/2021,132210.0,132210.0
New York,05/03/2021,168480.0,168480.0
New York City,05/03/2021,128700.0,128700.0
Puerto Rico,05/03/2021,52650.0,52650.0
U.S. Virgin Islands,05/03/2021,2340.0,2340.0
Delaware,05/03/2021,15210.0,15210.0
District of Columbia,05/03/2021,11700.0,11700.0
Maryland,05/03/2021,90090.0,90090.0
Pennsylvania,05/03/2021,170820.0,170820.0
Philadelphia,05/03/2021,24570.0,24570.0
Virginia,05/03/2021,126360.0,126360.0
West Virginia,05/03/2021,28080.0,28080.0
Alabama,05/03/2021,72540.0,72540.0
Florida,05/03/2021,314730.0,314730.0
Georgia,05/03/2021,149760.0,149760.0
Kentucky,05/03/2021,66690.0,66690.0
Mississippi,05/03/2021,44460.0,44460.0
North Carolina,05/03/2021,150930.0,150930.0
South Carolina,05/03/2021,74880.0,74880.0
Tennessee,05/03/2021,99450.0,99450.0
Chicago,05/03/2021,40950.0,40950.0
Illinois,05/03/2021,149760.0,149760.0
Indiana,05/03/2021,97110.0,97110.0
Michigan,05/03/2021,148590.0,148590.0
Minnesota,05/03/2021,81900.0,81900.0
Ohio,05/03/2021,173160.0,173160.0
Wisconsin,05/03/2021,86580.0,86580.0
Arkansas,05/03/2021,44460.0,44460.0
Louisiana,05/03/2021,69030.0,69030.0
New Mexico,05/03/2021,31590.0,31590.0
Oklahoma,05/03/2021,57330.0,57330.0
Texas,05/03/2021,394290.0,394290.0
Iowa,05/03/2021,46800.0,46800.0
Kansas,05/03/2021,42120.0,42120.0
Missouri,05/03/2021,90090.0,90090.0
Nebraska,05/03/2021,28080.0,28080.0
Colorado,05/03/2021,81900.0,81900.0
Montana,05/03/2021,16380.0,16380.0
North Dakota,05/03/2021,11700.0,11700.0
South Dakota,05/03/2021,12870.0,12870.0
Utah,05/03/2021,40950.0,40950.0
Wyoming,05/03/2021,9360.0,9360.0
Arizona,05/03/2021,102960.0,102960.0
California,05/03/2021,575640.0,575640.0
Hawaii,05/03/2021,22230.0,22230.0
Nevada,05/03/2021,43290.0,43290.0
American Samoa,05/03/2021,0.0,0.0
Guam,05/03/2021,0.0,0.0
Marshall Islands,05/03/2021,0.0,0.0
Micronesia,05/03/2021,0.0,0.0
Mariana Islands,05/03/2021,0.0,0.0
Palau,05/03/2021,0.0,0.0
Alaska,05/03/2021,18720.0,18720.0
Idaho,05/03/2021,24570.0,24570.0
Oregon,05/03/2021,62010.0,62010.0
Washington,05/03/2021,109980.0,109980.0
Federal Entities,05/03/2021,218790.0,218790.0
Connecticut,04/26/2021,54990.0,54990.0
Maine,04/26/2021,21060.0,21060.0
Massachusetts,04/26/2021,105300.0,105300.0
New Hampshire,04/26/2021,21060.0,21060.0
Rhode Island,04/26/2021,16380.0,16380.0
Vermont,04/26/2021,10530.0,10530.0
New Jersey,04/26/2021,132210.0,132210.0
New York,04/26/2021,168480.0,168480.0
New York City,04/26/2021,128700.0,128700.0
Puerto Rico,04/26/2021,52650.0,52650.0
U.S. Virgin Islands,04/26/2021,2340.0,2340.0
Delaware,04/26/2021,15210.0,15210.0
District of Columbia,04/26/2021,11700.0,11700.0
Maryland,04/26/2021,90090.0,90090.0
Pennsylvania,04/26/2021,170820.0,170820.0
Philadelphia,04/26/2021,24570.0,24570.0
Virginia,04/26/2021,126360.0,126360.0
West Virginia,04/26/2021,28080.0,28080.0
Alabama,04/26/2021,72540.0,72540.0
Florida,04/26/2021,314730.0,314730.0
Georgia,04/26/2021,149760.0,149760.0
Kentucky,04/26/2021,66690.0,66690.0
Mississippi,04/26/2021,44460.0,44460.0
North Carolina,04/26/2021,150930.0,150930.0
South Carolina,04/26/2021,74880.0,74880.0
Tennessee,04/26/2021,99450.0,99450.0
Chicago,04/26/2021,40950.0,40950.0
Illinois,04/26/2021,149760.0,149760.0
Indiana,04/26/2021,97110.0,97110.0
Michigan,04/26/2021,148590.0,148590.0
Minnesota,04/26/2021,81900.0,81900.0
Ohio,04/26/2021,173160.0,173160.0
Wisconsin,04/26/2021,86580.0,86580.0
Arkansas,04/26/2021,44460.0,44460.0
Louisiana,04/26/2021,69030.0,69030.0
New Mexico,04/26/2021,31590.0,31590.0
Oklahoma,04/26/2021,57330.0,57330.0
Texas,04/26/2021,394290.0,394290.0
Iowa,04/26/2021,46800.0,46800.0
Kansas,04/26/2021,42120.0,42120.0
Missouri,04/26/2021,90090.0,90090.0
Nebraska,04/26/2021,28080.0,28080.0
Colorado,04/26/2021,81900.0,81900.0
Montana,04/26/2021,16380.0,16380.0
North Dakota,04/26/2021,11700.0,11700.0
South Dakota,04/26/2021,12870.0,12870.0
Utah,04/26/2021,40950.0,40950.0
Wyoming,04/26/2021,9360.0,9360.0
Arizona,04/26/2021,102960.0,102960.0
California,04/26/2021,575640.0,575640.0
Hawaii,04/26/2021,22230.0,22230.0
Nevada,04/26/2021,43290.0,43290.0
American Samoa,04/26/2021,0.0,0.0
Guam,04/26/2021,0.0,0.0
Marshall Islands,04/26/2021,0.0,0.0
Micronesia,04/26/2021,0.0,0.0
Mariana Islands,04/26/2021,0.0,0.0
Palau,04/26/2021,0.0,0.0
Alaska,04/26/2021,0.0,0.0
Idaho,04/26/2021,24570.0,24570.0
Oregon,04/26/2021,62010.0,62010.0
Washington,04/26/2021,109980.0,109980.0
Federal Entities,04/26/2021,218790.0,218790.0
Connecticut,04/19/2021,54990.0,54990.0
Maine,04/19/2021,21060.0,21060.0
Massachusetts,04/19/2021,105300.0,105300.0
New Hampshire,04/19/2021,21060.0,21060.0
Rhode Island,04/19/2021,16380.0,16380.0
Vermont,04/19/2021,10530.0,10530.0
New Jersey,04/19/2021,132210.0,132210.0
New York,04/19/2021,168480.0,168480.0
New York City,04/19/2021,128700.0,128700.0
Puerto Rico,04/19/2021,52650.0,52650.0
U.S. Virgin Islands,04/19/2021,2340.0,2340.0
Delaware,04/19/2021,15210.0,15210.0
District of Columbia,04/19/2021,11700.0,11700.0
Maryland,04/19/2021,90090.0,90090.0
Pennsylvania,04/19/2021,170820.0,170820.0
Philadelphia,04/19/2021,24570.0,24570.0
Virginia,04/19/2021,126360.0,126360.0
West Virginia,04/19/2021,28080.0,28080.0
Alabama,04/19/2021,72540.0,72540.0
Florida,04/19/2021,314730.0,314730.0
Georgia,04/19/2021,149760.0,149760.0
Kentucky,04/19/2021,66690.0,66690.0
Mississippi,04/19/2021,44460.0,44460.0
North Carolina,04/19/2021,150930.0,150930.0
South Carolina,04/19/2021,74880.0,74880.0
Tennessee,04/19/2021,99450.0,99450.0
Chicago,04/19/2021,40950.0,40950.0
Illinois,04/19/2021,149760.0,149760.0
Indiana,04/19/2021,97110.0,97110.0
Michigan,04/19/2021,148590.0,148590.0
Minnesota,04/19/2021,81900.0,81900.0
Ohio,04/19/2021,173160.0,173160.0
Wisconsin,04/19/2021,86580.0,86580.0
Arkansas,04/19/2021,44460.0,44460.0
Louisiana,04/19/2021,69030.0,69030.0
New Mexico,04/19/2021,31590.0,31590.0
Oklahoma,04/19/2021,57330.0,57330.0
Texas,04/19/2021,394290.0,394290.0
Iowa,04/19/2021,46800.0,46800.0
Kansas,04/19/2021,42120.0,42120.0
Missouri,04/19/2021,90090.0,90090.0
Nebraska,04/19/2021,28080.0,28080.0
Colorado,04/19/2021,81900.0,81900.0
Montana,04/19/2021,16380.0,16380.0
