Société ,ID projet,ID Concours,Intitulé du projet,Année d'autorisation,Pays de réalisation,Région,EE/OMR,Produit Financier,Type d'intervention : ONG/PrPP/projets,Engagement brut (€),Montant Adaptation (€),Secteur Adaptation,Montant Atténuation (€),Secteur Atténuation
AFD,CRE1850,CRE185001,Financement partiel des dépenses d'investissements 2020 du budget principal de la CASUD,2020.0,REUNION,OCN,OM,Financements des entreprises et collectivités (bonifiés),Projet,5000000.0,50000.0,"Résilience des villes, des batiments et des infrastructures",50000.0,"Autre (déchets, assainissement, éducation, renforcement de capacités)"
AFD,CRE1850,CRE185002,Financement partiel des dépenses d'investissements 2020 du budget principal de la CASUD,2020.0,REUNION,OCN,OM,Financements des entreprises et collectivités (bonifiés),Projet,1000000.0,10000.0,"Résilience des villes, des batiments et des infrastructures",10000.0,"Autre (déchets, assainissement, éducation, renforcement de capacités)"
AFD,CSD1016,CSD101601,Projet d'appui à la filière gomme arabique soudanaise,2020.0,SOUDAN,AFR,EE,Crédits et subventions délégués,Projet,9252336.0,4626168.0,"Agriculture durable, préservation de l'eau, des sols et de la biodiversité",0.0,
AFD,CTR1075,CTR107504,"Facilité pour les Réfugiés en Turquie II - Financement d'infrastructures d'eau, d'assainissement et de déchets solides dans le sud-est",2020.0,TURQUIE,ORE,EE,Crédits et subventions délégués,Projet,55779308.0,18407171.64,Gestion de la ressource en eau,20638343.96,"Autre (déchets, assainissement, éducation, renforcement de capacités)"
AFD,CTR1091,CTR109101,Financement d'infrastructures de réseaux d'eau potable d'IZSU,2020.0,TURQUIE,ORE,EE,Financements des entreprises et collectivités (non bonifiés),Projet,49800000.0,49800000.0,Gestion de la ressource en eau,0.0,
AFD,CTZ1075,CTZ107501,Phase 5 du projet de Bus Rapid Transit (BRT) de Dar Es Salaam. _x000D_,2020.0,TANZANIE,AFR,EE,Prêts aux Etats (bonifiés),Projet,178000000.0,0.0,,178000000.0,Transports collectifs et mobilité
AFD,CUZ1017,CUZ101703,"Projet de développement des systèmes d'assainissement urbain en Ouzbékistan dans les villes de Karmana, Kitob, et Chakhrisabz.",2020.0,OUZBEKISTAN,ORE,EE,Crédits et subventions délégués,Projet,850000.0,416500.0,Gestion de la ressource en eau,416500.0,"Autre (déchets, assainissement, éducation, renforcement de capacités)"
AFD,CUZ1018,CUZ101801,Projet de financement inclusif et de développement climato intelligent dans le secteur de l'élevage.,2020.0,OUZBEKISTAN,ORE,EE,Prêts aux Etats (bonifiés),Projet,100000000.0,30000000.0,"intermédiation financière (eau, agriculture, infrastructure)",40000000.0,"Intermédiation financière (ENR, Efficacité energétique, agriculture)"
AFD,CYT1152,CYT115202,Hôtel de l'aéroport de Pamandzi,2020.0,MAYOTTE,OCN,OM,Financements des entreprises et collectivités (non bonifiés),Projet,755000.0,90600.0,"Résilience des villes, des batiments et des infrastructures",90600.0,Programmes d'efficacité énergétique
AFD,CYT1192,CYT119202,Financement du budget partiel d'investissement de la commune de Mamoudzou et préfinancements d'opérations d'investissement,2020.0,MAYOTTE,OCN,OM,Financements des entreprises et collectivités (non bonifiés),Projet,2195095.0,219509.5,"Résilience des villes, des batiments et des infrastructures",153656.65,Programmes d'efficacité énergétique
