ID projet,Titre ,Secteur CICID,Agence,Bénéficaire,Pays,Région,Latitude,Longitude,Lien vers fiche de performance,Commentaires,Autorisation de publication,point_geographique
CVN1125-02,Financement des programmes prioritaires d'infrastructures et d'équipements urbains des villes de Da Nang et Can Tho,Infrastructures et développement urbain,AGENCE D'HANOI,REPUBLIQUE SOCIALISTE DU VIETNAM,VIET-NAM,Asie,21.0,105.8432883,https://www.afd.fr/sites/afd/files/2019-04-04-47-38/CVN1125-02-evaluation-summary-vietnam-financial-intermediaries.pdf,,OUI,"21.0,105.8432883"
CZA1101,Financement partiel du budget d'investissement de la ville du Cap,Infrastructures et développement urbain,AGENCE DE JOHANNESBOURG,City of Cape Town,AFRIQUE DU SUD,Afrique Sub-saharienne,-26.07467,28.03023,https://www.afd.fr/sites/afd/files/2019-04-10-31-38/CZA1101-1125-evaluation-summary-south-africa-urban-development.pdf,,OUI,"-26.07467,28.03023"
CZA1114,Financement de la politique de transformation spatiale de Johannesbourg,Infrastructures et développement urbain,AGENCE DE JOHANNESBOURG,Ville de Johannesburg,AFRIQUE DU SUD,Afrique Sub-saharienne,-26.07467,28.03023,https://www.afd.fr/sites/afd/files/2019-04-09-54-42/CZA1114-evaluation-summary-south-africa-urban-development.pdf,,-,"-26.07467,28.03023"
CZA6012,Ferme éolienne de SERE (100MW) ESKOM - Afrique du Sud,Infrastructures et développement urbain,AGENCE DE JOHANNESBOURG,ESKOM,AFRIQUE DU SUD,Afrique Sub-saharienne,-26.07467,28.03023,https://www.afd.fr/sites/afd/files/2019-04-09-56-11/CZA6012-evaluation-summary-south-africa-wind-power.pdf,,OUI,"-26.07467,28.03023"
CZZ1369,Poursuite du soutien à l'ABN projet GIRE,Eau et assainissement,AGENCE DE NIAMEY,AUTORITE DU BASSIN DU NIGER,MULTI-PAYS,Afrique Sub-saharienne,13.512668,2.0,https://www.afd.fr/sites/afd/files/2019-04-09-57-17/CZZ1369-resume-evaluation-multi-pays-bassin-transfrontalier.pdf,,-,"13.512668,2.0"
CZZ1570-1847,MAD de l'OIE d'une expertise technique pour l'amélioration de la gouvernance vétérinaire,Agriculture et sécurité alimentaire,SIEGE PARIS - OPERATIONS SIEGE,Organisation mondiale de la santé animale,MULTI-PAYS,SIEGE PARIS - OPERATIONS SIEGE,48.8442306,2.3784529,https://www.afd.fr/sites/afd/files/2019-04-09-59-26/CZZ1570-1847-multi-pays-agriculture-securite-alimentaire.pdf,,-,"48.8442306,2.3784529"
CZZ1579,Ecole et langue nationale en Afrique,Education,SIEGE PARIS - OPERATIONS SIEGE,ORGANISATION INTERNATIONALE DE LA FRANCOPHONIE,MULTI-PAYS,Afrique Sub-saharienne,48.8442306,2.3784529,https://www.afd.fr/sites/afd/files/2019-04-05-23-04/CZZ1579-evaluation-initiative-elan-afrique.pdf,,OUI,"48.8442306,2.3784529"
CPS1076-CPS1077,SPEED (phase II),Environnement et ressources naturelles,AGENCE DE JERUSALEM,TERRITOIRES AUTONOMES PALESTINIENS,TERRITOIRES AUTONOMES PALESTINIENS,Méditerranée,31.0,35.0,https://www.afd.fr/en/ressources/evaluation-summary-sustainable-energy-efficiency-development-palestine-speed-project,,OUI,"31.0,35.0"
CML1350,LdC BNDA 2014,Secteur productif,AGENCE DE BAMAKO,BNDA MALI,MALI,Afrique Sub-saharienne,12.65295,-7.986482,https://www.afd.fr/fr/ressources/resume-evaluation-appuis-afd-banque-nationale-de-developpement-agricole-bnda-mali,,OUI,"12.65295,-7.986482"
CML1422,Ligne de crédit BNDA,Secteur productif,AGENCE DE BAMAKO,BNDA MALI,MALI,Afrique Sub-saharienne,12.65295,-7.986482,https://www.afd.fr/fr/ressources/resume-evaluation-appuis-afd-banque-nationale-de-developpement-agricole-bnda-mali,,OUI,"12.65295,-7.986482"
CMR1201,I.SAH PECOBAT,"Education, formation, emploi",AGENCE DE NOUAKCHOTT,OIT,MAURITANIE,Afrique Sub-saharienne,18.084061,-15.97842,https://www.afd.fr/fr/ressources/resume-evaluation-evaluation-mi-parcours-projet-pecobat-mauritanie,,OUI,"18.084061,-15.97842"
CMX1018,BioMex,Environnement et ressources naturelles,AGENCE DE MEXICO,MEXIQUE,MEXIQUE,Amériques,19.4270499,-99.1275711,https://www.afd.fr/es/ressources/resumen-evaluacion-prestamos-presupuestarios-politica-publica-conservacion-biodiversidad-bioconnect-biomex,,OUI,"19.4270499,-99.1275711"
CMX1021,Protect biodiversité,Environnement et ressources naturelles,AGENCE DE MEXICO,SEMARNAT,MEXIQUE,Amériques,19.4270499,-99.1275711,https://www.afd.fr/fr/ressources/resume-evaluation-interventions-aires-protegees-afd-et-ffem-conservation-et-developpement,,OUI,"19.4270499,-99.1275711"
CSN1366,santé maternelle inf,Santé et lutte contre le sida,AGENCE DE DAKAR,SENEGAL,SENEGAL,Afrique Sub-saharienne,14.6633857,-17.4396603,https://www.afd.fr/fr/ressources/resume-evaluation-grappe-projets-muskoka-senegal-benin-centrafrique,,OUI,"14.6633857,-17.4396603"
CZZ1625,BOADsecteurprivé2010,Secteur productif,SIEGE PARIS - OPERATIONS SIEGE,BOAD,MULTI-PAYS,Afrique Sub-saharienne,6.1267204,1.2169797,https://www.afd.fr/fr/ressources/resume-evaluation-grappe-projets-banque-ouest-africaine-de-developpement-boad,,OUI,"6.1267204,1.2169797"
CZZ2045,BOAD Consolidation,Secteur productif,AGENCE DE LOME,BOAD,MULTI-PAYS,Afrique Sub-saharienne,6.1267204,1.2169797,https://www.afd.fr/fr/ressources/resume-evaluation-grappe-projets-banque-ouest-africaine-de-developpement-boad,,OUI,"6.1267204,1.2169797"
CCF1164,PARC (Projet d'appui au renforcement des capacités),Hors secteurs CICID,AGENCE DE BANGUI,REPUBLIQUE CENTRAFRICAINE,REPUBLIQUE CENTRAFRICAINE,Afrique Sub-saharienne,4.361698,18.555975,https://www.afd.fr/fr/ressources/resume-devaluation-programme-dappui-au-renforcement-des-capacites-des-maitrises-douvrage-en-rca-parc-zingo,,OUI,"4.361698,18.555975"
CHT1044 et 3005,"Evaluation Programme sectoriel irrigation : irrigation et entreprenariat rural dans les régions Ouest, Artibonite et Plateau central",Agriculture et sécurité alimentaire,AGENCE DE PORT-AU-PRINCE,REPUBLIQUE D'HAITI,HAITI,Amérique Latine et Caraïbes,18.5420538,-72.3362929,https://www.afd.fr/sites/afd/files/2019-12-03-56-00/resume-evaluation--programme-sectoriel-irrigation-haiti-CHT1044-3005.pdf,,,"18.5420538,-72.3362929"
CHT1072,CPEJ,Education,AGENCE DE PORT-AU-PRINCE,REPUBLIQUE D'HAITI,HAITI,Amérique Latine et Caraïbes,18.5420538,-72.3362929,https://www.afd.fr/fr/ressources/resume-devaluation-competences-pour-lemploi-des-jeunes-haiti,,OUI,"18.5420538,-72.3362929"
CBR1042,Politique de transports collectifs de l'Etat de Rio de Janeiro,Infrastructures et développement urbain,AGENCE DE BRASILIA,ETAT DE RIO DE JANEIRO,BRESIL,Amérique Latine et Caraïbes,-23.5586901,-46.6566512,https://www.afd.fr/sites/afd/files/2019-04-04-36-41/CBR1042-resume-evaluation-bresil-transport-urbain.pdf,,OUI,"-23.5586901,-46.6566512"
CCI1366,Projet de renforcement du système de santé,Santé et lutte contre le sida,AGENCE D'ABIDJAN,REPUBLIQUE DE COTE D'IVOIRE,COTE D'IVOIRE,Afrique Sub-saharienne,5.3573542,-3.9658004,https://ec.europa.eu/echo/sites/echo-site/files/2._health_evaluation_annexes.pdf,page 59 à page 118,OUI,"5.3573542,-3.9658004"
CCM6014,Programme d'appui à la maitrise d'ouvrage des administrations du secteur rural,Agriculture et sécurité alimentaire,AGENCE DE YAOUNDE,REPUBLIQUE DU CAMEROUN,CAMEROUN,Afrique Sub-saharienne,3.873659,11.0,https://www.afd.fr/sites/afd/files/2019-12-10-34-03/resume-evaluation-programme-appui-maitrise-ouvrage-administrations-secteur-rural-amo-CCM6014.pdf,,OUI,"3.873659,11.0"
CCO1027,Prêt souverain en appui à la réforme de la politique de protection sociale de l'Etat Colombien,Santé et lutte contre le sida,AGENCE DE BOGATA,REPUBLIQUE DE COLOMBIE,COLOMBIE,Amérique Latine et Caraïbes,4.6772654,-74.0462634,https://www.afd.fr/sites/afd/files/2019-07-03-43-11/CCO1027-resumen-evalucacion-colombia-salud.pdf,,-,"4.6772654,-74.0462634"
CID3004,réhabilitation des infrastructures de drainage de Banda Aceh,Eau et assainissement,AGENCE DE JAKARTA,Republic of Indonesia,INDONESIE,Asie,-6.21569,106.83406,https://www.afd.fr/sites/afd/files/2019-04-04-53-23/CID3004-evaluation-summary-indonesia-sanitation.pdf,,OUI,"-6.21569,106.83406"
CLB3000,Projet AEP et assainissement au Liban Nord,Eau et assainissement,AGENCE DE BEYROUTH,REPUBLIQUE LIBANAISE,LIBAN,Méditerranée,33.8886289,35.0,https://www.afd.fr/sites/afd/files/2020-01-04-23-52/resume-evaluation-projection-adduction-eau-potable-assainissement-liban-nord-CLB3000.pdf,,OUI,"33.8886289,35.0"
CLA3010,Programme Patrimoine et développement urbain Luang Prabang,Infrastructures et développement urbain,AGENCE DE VENTIANE,REPUBLIQUE DEMOCRATIQUE POPULAIRE LAOS,LAOS,Asie,17.9653695,102.6130238,https://www.afd.fr/sites/afd/files/2019-04-09-36-54/CLA3010-evaluation-summary-lao-pdr-urban-development.pdf,,OUI,"17.9653695,102.6130238"
CMA1195,Tramway Casablanca,Infrastructures et développement urbain,AGENCE DE RABAT,CASA TRANSPORT,MAROC,Méditerranée,34.015049,-6.83272,https://www.tresor.economie.gouv.fr/Articles/2018/02/27/financement-du-tramway-de-casablanca,,OUI,"34.015049,-6.83272"
CNE1164,Fonds Commun santé 3,Santé et lutte contre le sida,AGENCE DE NIAMEY,REPUBLIQUE DU NIGER,NIGER,Afrique Sub-saharienne,13.512668,2.0,https://www.afd.fr/fr/ressources/resume-devaluation-fonds-commun-sante-fcs-niger,,OUI,"13.512668,2.0"
CCD3006,Alimentation en eau potable de communes de la banlieue de Kinshasa et de communes du Bas-Congo,Eau et assainissement,AGENCE DE KINSHASA,REPUBLIQUE DEMOCRATIQUE DU CONGO,REPUBLIQUE DEMOCRATIQUE DU CONGO,Afrique Sub-saharienne,-4.320836,15.29866,https://www.afd.fr/sites/afd/files/2019-04-09-26-02/CCD3006-resume-evaluation-rdc-eau-et-assainissement.pdf,,OUI,"-4.320836,15.29866"
CCD1049,Evaluation d’une grappe de projets d’investissements hospitaliers privés à but non lucratif - PROMEKIN,Santé et lutte contre le sida,AGENCE DE KINSHASA,REPUBLIQUE DEMOCRATIQUE DU CONGO,REPUBLIQUE DEMOCRATIQUE DU CONGO,Afrique Sub-saharienne,-4.320836,15.29866,https://www.afd.fr/sites/afd/files/2020-01-03-24-47/resume-evaluation-promekin-rdc-CCD1049.pdf,,OUI,"-4.320836,15.29866"
CTN3003,Programme de partenariat tuniso-français pour la formation professionnelle,Education,AGENCE DE TUNIS,REPUBLIQUE TUNISIENNE,TUNISIE,Méditerranée,36.0,10.16596,,,NON,"36.0,10.16596"
