CommoditiesGroup,Declaration,DeclarationYear,DeclarationQuarter,DeclarationMonth,DeclarationDay,CountryOfOrigin,ArrivalAtEntryPoint,Commodities,CommonNames,DocumentaryCheck,DocumentaryCheckResults,IdentityCheck,IdentityCheckResults,PhysicalCheck,PhysicalCheckResults,CommodityLaboratoryTest,CommodityLaboratoryTestResults,NetWeightKg,GrossWeightKg,NotAcceptable,NotAcceptableMeasureSelection,ReasonForRefusal,Decision,Year,Quarter,Month,Day
"Coffee, tea, mate and spices",2020-12-02,2020,Q4,12,2,India,2020-11-03,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,8500,8595,No,-,-,2020-12-02,2020,Q4,12,2
"Coffee, tea, mate and spices",2020-12-03,2020,Q4,12,3,China,2020-11-28,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,No,-,No,-,No,-,107,117,No,-,-,2020-12-03,2020,Q4,12,3
"Coffee, tea, mate and spices",2020-12-02,2020,Q4,12,2,India,2020-12-03,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,25000,25250,No,-,-,2020-12-22,2020,Q4,12,22
"Coffee, tea, mate and spices",2020-12-07,2020,Q4,12,7,India,2020-12-05,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,17000,17170,No,-,-,2020-12-07,2020,Q4,12,7
"Coffee, tea, mate and spices",2020-12-02,2020,Q4,12,2,India,2020-12-05,904220019,Other,No,-,No,-,No,-,No,-,2000,2020,No,-,-,,2020,Q4,12,2
"Coffee, tea, mate and spices",2020-12-03,2020,Q4,12,3,China,2020-12-01,9024000,Other black tea (fermented) and other partly fermented tea,Yes,Satisfactory,No,-,No,-,No,-,8000,8150,No,-,-,2020-12-07,2020,Q4,12,7
"Coffee, tea, mate and spices",2020-12-03,2020,Q4,12,3,China,2020-12-03,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,535,611,No,-,-,2020-12-08,2020,Q4,12,8
"Coffee, tea, mate and spices",2020-12-03,2020,Q4,12,3,China,2020-12-03,9023000,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3|kg",Yes,Satisfactory,No,-,No,-,No,-,59,66,No,-,-,2020-12-08,2020,Q4,12,8
"Coffee, tea, mate and spices",2020-12-03,2020,Q4,12,3,China,2020-12-03,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,No,-,No,-,No,-,176,200,No,-,-,2020-12-08,2020,Q4,12,8
"Coffee, tea, mate and spices",2020-12-03,2020,Q4,12,3,India,2020-12-01,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,9000,9072,No,-,-,2020-12-14,2020,Q4,12,14
