DfENumber,SchoolName,Year,NetCapacity
8162431,Badger Hill Primary,2007,150
8162386,Bishopthorpe Infant,2007,170
8164227,Burnholme Community College,2007,600
8162024,Burton Green Primary,2007,209
8164003,Canon Lee,2007,905
8162003,Carr Infant,2007,175
8162002,Carr Junior,2007,240
8162018,Clifton Green Primary,2007,360
8162253,Clifton Without Junior,2007,317
8162013,Copmanthorpe Primary,2007,360
8162006,Derwent Infant,2007,120
8162005,Derwent Junior,2007,150
8162007,Dringhouses Primary,2007,315
8163151,Dunnington CE Primary,2007,210
8163152,Elvington CE Primary,2007,140
8163400,English Martyrs' RC Primary,2007,210
8162008,Fishergate Primary,2007,210
8164153,Fulford Secondary,2007,1277
8162009,Haxby Road Primary,2007,270
8162241,Headlands Primary,2007,232
8162001,Hempland Primary,2007,420
8163302,Heworth CE Primary,2007,128
8162028,Hob Moor Community Primary,2007,270
8162180,Huntington Primary,2007,420
8164063,Huntington Secondary,2007,1487
8164508,Joseph Rowntree,2007,1321
8162011,Knavesmire Primary,2007,262
8162428,Lakeside Primary,2007,420
8163158,Lord Deramore's Primary,2007,210
8164602,Manor CE Secondary,2007,639
8164229,Millthorpe Secondary,2007,1056
8163159,Naburn CE Primary,2007,83
8163901,New Earswick Primary,2007,210
8162176,Osbaldwick Primary,2007,210
8163404,Our Lady's RC Primary,2007,210
8162012,Park Grove Primary,2007,266
8162029,Poppleton Ousebank Primary,2007,420
8162014,Poppleton Road Primary,2007,390
8162058,Ralph Butterfield Primary,2007,315
8162201,Rawcliffe Infant & Nursery,2007,240
8163212,Robert Wilkinson Primary,2007,564
8162349,Rufforth Primary,2007,60
8162016,Scarcroft Primary,2007,315
8162169,Skelton Primary,2007,140
8163401,St Aelred's RC Primary,2007,237
8163002,St Barnabas' CE Primary,2007,150
8163402,St George's RC Primary,2007,188
8163305,St Lawrence's CE Primary,2007,210
8163222,St Mary's CE Primary,2007,105
8163156,St Oswald's CE Primary,2007,294
8163003,St Paul's CE Primary,2007,175
8163403,St Wilfrid's RC Primary,2007,267
8162227,Stockton on the Forest Primary,2007,89
8162429,Tang Hall Primary,2007,210
8162017,Westfield Primary,2007,663
8163380,Wheldrake with Thorganby CE Primary,2007,210
8162240,Wigginton Primary,2007,280
8162027,Woodthorpe Primary,2007,450
8162015,Yearsley Grove Primary,2007,308
8164703,York High,2007,991
8162000,Acomb Primary,2008,243
8164702,All Saints' RC,2008,1207
8164500,Archbishop Holgate's CE,2008,810
8163229,Archbishop of York's CE Junior,2008,240
8162431,Badger Hill Primary,2008,150
8162386,Bishopthorpe Infant,2008,170
8164227,Burnholme Community College,2008,600
8162024,Burton Green Primary,2008,209
8164003,Canon Lee,2008,905
8162003,Carr Infant,2008,175
8162002,Carr Junior,2008,240
8162018,Clifton Green Primary,2008,360
8162253,Clifton Without Junior,2008,317
8162013,Copmanthorpe Primary,2008,360
8162006,Derwent Infant,2008,120
8162005,Derwent Junior,2008,150
8162007,Dringhouses Primary,2008,315
8163151,Dunnington CE Primary,2008,210
8163152,Elvington CE Primary,2008,140
8163400,English Martyrs' RC Primary,2008,210
8162008,Fishergate Primary,2008,210
8164153,Fulford Secondary,2008,1277
8162009,Haxby Road Primary,2008,270
8162241,Headlands Primary,2008,232
8162001,Hempland Primary,2008,420
8163302,Heworth CE Primary,2008,128
8162028,Hob Moor Community Primary,2008,270
8162180,Huntington Primary,2008,420
8164063,Huntington Secondary,2008,1487
8164508,Joseph Rowntree,2008,1321
8162011,Knavesmire Primary,2008,210
8162428,Lakeside Primary,2008,420
8163158,Lord Deramore's Primary,2008,210
8164602,Manor CE Secondary,2008,900
8164229,Millthorpe Secondary,2008,1056
8163159,Naburn CE Primary,2008,83
8163901,New Earswick Primary,2008,210
8162176,Osbaldwick Primary,2008,210
8163404,Our Lady's RC Primary,2008,210
8162012,Park Grove Primary,2008,266
8162029,Poppleton Ousebank Primary,2008,420
8162014,Poppleton Road Primary,2008,390
8162058,Ralph Butterfield Primary,2008,315
8162201,Rawcliffe Infant & Nursery,2008,240
8163212,Robert Wilkinson Primary,2008,564
8162349,Rufforth Primary,2008,60
8162016,Scarcroft Primary,2008,315
8162169,Skelton Primary,2008,140
