Number and types of applications by all account customers,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
Metrics, ,,,,,,,,,,,
Calendar Month,Jul-21,,,,,,,,,,,
Account Customer,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
Total,4309,8714,8706,330434,174517,1946,39715,25,22368,973204,220892,1784830
15K LIMITED,0,0,0,0,0,0,0,0,0,1,0,1
174 LAW,0,0,0,1,0,0,0,0,0,0,0,1
192.COM LTD,0,0,0,0,0,0,0,0,0,470,0,470
1PLUS1 LOANS LIMITED,0,0,0,0,0,0,0,0,0,38,0,38
1PM (UK) LIMITED,0,0,0,1,0,0,0,0,0,36,0,37
1ST CHOICE PROPERTY SOLUTIONSLTD,0,0,0,0,0,0,0,0,0,2,1,3
1ST CREDIT LTD,0,0,0,30,0,0,0,0,0,890,4,924
1ST LOCATE,0,0,0,0,0,0,0,0,0,2765,0,2765
1ST STOP FINANCIAL,0,0,0,5,0,0,0,0,0,0,0,5
2020 HOME LOANS LIMITED,0,0,0,0,0,0,0,0,0,0,2,2
3 J'S SURVEYORS & VALUERS LIMITED,0,0,0,0,0,0,0,0,0,1,0,1
360 LAW SERVICES LIMITED,0,0,0,4,1,0,0,0,0,0,0,5
365 BUSINESS FINANCE LTD,0,0,0,0,0,0,0,0,0,8,0,8
3HR CORPORATE SOLICITORS LIMITED,0,0,0,15,7,0,0,0,0,2,1,25
3I REAL ESTATES LIMITED,0,0,0,0,0,0,0,0,0,1,1,2
3K LAW LIMITED,0,0,0,0,0,0,0,0,0,8,0,8
4M PROPERTIES GROUP LTD,0,0,0,0,0,0,0,0,0,2,0,2
4MOMENTUM LIMITED,0,0,0,0,0,0,0,0,0,7,0,7
4SYTE LTD,0,0,0,0,0,0,0,0,0,3,0,3
7 LEGAL AND FINANCE LIMITED,0,0,0,0,1,0,3,0,1,4,1,10
828 LAW,0,0,1,8,13,0,3,0,2,12,5,44
A & J MUCKLOW GROUP PLC,0,0,0,0,0,0,0,0,0,3,0,3
A & L GOODBODY NORTHERN IRELAND,0,0,0,1,0,0,0,0,0,25,18,44
A & M ENERGY SOLUTIONS LTD,0,0,0,0,0,0,0,0,0,9,0,9
A & N MEDIA FINANCE SERVICES LTD,0,0,0,0,0,0,0,0,0,3,0,3
A & N MEDIA FINANCE SERVICES LTD,0,0,0,0,0,0,0,0,0,5,0,5
A & P MARNEY LTD,0,0,0,0,0,0,0,0,0,17,1,18
A & P SOLICITORS LIMITED,0,0,0,2,1,0,0,0,0,2,0,5
A D FIRTH & CO,0,0,0,0,2,0,0,0,1,5,1,9
A D S BUILDING SERVICES,0,0,0,0,0,0,0,0,0,28,0,28
A E P ZALESKI,0,0,0,0,0,0,0,0,0,10,6,16
A F BARKER & CO,0,3,2,20,31,0,8,0,1,39,14,118
A FUTURE INVESTMENTS (KENT) LIMITE,0,0,0,0,0,0,0,0,0,0,3,3
A H BUTLER,0,0,0,0,0,0,0,0,0,1,0,1
A J CARELESS LIMITED,1,1,0,15,3,0,0,0,0,27,12,59
A K GULATI & CO,0,0,0,1,0,1,0,0,0,8,2,12
A KAY PIETRON & PALUCH,0,0,0,0,2,0,0,0,0,3,0,5
A M DAVIES,0,0,0,2,0,0,0,0,0,10,0,12
A P BASSETT SOLICITORS,0,0,0,7,1,0,2,0,0,15,6,31
A P MALAM,0,0,0,12,5,0,2,0,0,17,6,42
A R BROWN & CO,1,2,1,21,2,0,0,0,0,62,23,112
A R T WILLS,0,0,0,2,0,0,0,0,0,11,0,13
A S CROXSON,0,0,0,0,0,0,0,0,0,4,1,5
A S EXCELLENCE SOLICITORS LTD,0,0,0,0,0,0,0,0,0,3,0,3
A S K LEGAL,0,2,0,30,57,0,6,0,1,58,35,189
A S SOLICITORS,0,0,0,2,0,0,0,0,0,7,1,10
A SHADE GREENER (BOILERS) LLP,0,0,0,38,0,0,0,0,0,38,0,76
A SHADE GREENER LTD,0,0,0,0,0,0,0,0,0,13,0,13
A SHADE GREENER MAINTENANCE LTD,0,7,0,62,0,0,0,0,0,510,40,619
A V RILLO & CO,4,3,4,176,315,0,20,0,8,565,190,1285
A YOUNG CHARTERED SURV/LAND AGENT,0,0,0,0,0,0,0,0,0,1,1,2
A-Z LAW SOLICITORS,0,0,0,0,0,0,0,0,0,7,2,9
A.C.S.L. LTD,0,0,0,33,0,0,0,0,0,1,1,35
A.P. BERKELEY LTD,0,0,0,1,11,0,0,0,0,11,2,25
A.S MATTHEWS LTD (OFFICE ACCOUNT),0,1,0,4,5,0,0,0,1,33,8,52
A.S.H (UK) PROCESS SERVERS LIMITED,0,0,0,0,0,0,0,0,0,2,0,2
A.T.M. LAW,0,2,1,4,0,0,0,0,0,4,3,14
A.VINCENT SOLICITORS LTD,0,0,0,0,0,0,0,0,0,3,2,5
A&R SOLICITORS LTD,0,0,0,1,0,0,0,0,0,0,0,1
A&T LEGAL LTD,0,0,0,2,0,0,0,0,0,0,0,2
A2 SOLICITORS LLP,0,1,0,13,8,0,0,0,0,40,27,89
A2DOMINION HOUSING,0,1,0,5,1,0,0,0,0,201,145,353
AA PROJECTS LTD,0,0,0,0,0,0,0,0,0,14,0,14
AA SOLICITORS LTD,1,0,0,2,0,0,0,0,0,0,0,3
AAH PHARMACEUTICALS LTD,0,0,0,25,0,0,0,0,0,16,0,41
AAH PLANNING CONSULTANTS LTD,0,0,0,0,0,0,0,0,0,69,5,74
AARDVARK LEGAL SERVICES LIMITED,0,0,0,1,0,0,0,0,0,13,4,18
AARON & PARTNERS,4,0,8,62,10,1,5,0,13,192,66,361
AB CORPORATE LLP,0,0,0,0,4,0,0,0,0,13,0,17
AB FAMILY LAW,0,0,0,2,0,0,0,0,0,7,0,9
ABACUS ASSOCIATES FINANCIAL SERVICES,0,0,0,11,0,0,0,0,0,0,0,11
ABACUS FUNDING LIMITED,0,0,0,0,0,0,0,0,0,6,0,6
ABACUS SOLICITORS,0,0,0,42,105,1,15,0,21,113,42,339
ABACUS WILLS AND TRUSTS,0,0,0,5,0,0,0,0,0,10,0,15
ABBEY COURT SOLICITORS,0,0,0,4,3,0,0,0,0,15,6,28
ABBEY LAW,0,0,0,5,0,0,0,0,0,16,1,22
ABBEY LEGAL LIMITED,0,0,0,3,0,0,0,0,0,1,0,4
ABBEY NATIONAL PLC,0,0,0,7312,0,0,0,0,0,0,0,7312
ABBEY ROAD ESTATES LTD,0,0,0,0,0,0,0,0,0,13,1,14
ABBEY SOLICITORS,0,0,0,1,0,0,0,0,1,3,0,5
ABBEYMOVE LIMITED,0,0,0,0,0,0,0,0,0,34,25,59
ABBEYSTONE MANAGEMENT LIMITED,0,0,0,0,0,0,0,0,0,5,0,5
ABBOTT & CO,0,0,0,1,0,0,0,0,0,4,2,7
ABBOTT LAW LLP,0,0,1,1,0,0,0,0,0,13,5,20
ABBOTT SOLICITORS LLP,0,0,0,3,2,0,0,0,0,14,4,23
ABBOTTS INSOLVENCY LIMITED,0,0,0,0,0,0,0,0,0,30,0,30
ABC III LTD,0,0,0,0,0,0,0,0,0,21,2,23
ABC WORCESTER LTD,1,0,0,20,36,0,4,0,3,63,38,165
ABDULLAH SOLICITORS,0,0,0,2,1,0,0,0,0,4,0,7
ABEL HOMES LIMITED,0,0,0,0,0,0,0,0,0,17,1,18
Abels,0,3,4,33,13,0,8,0,1,60,29,151
ABENSONS & CO,2,5,4,109,71,1,4,0,5,242,77,520
ABERAVON LAWYERS LIMITED TRADING AS KEVIN LANE,2,0,1,26,42,1,1,0,1,52,21,147
ABERDEIN CONSIDINE & COMPANY,0,1,0,571,865,7,1,0,1,1236,307,2989
ABLE INVESTIG. & ENFORCE. SRVS LTD,0,0,0,0,0,0,0,0,0,5,0,5
ABLE UK LTD,0,0,0,0,0,0,0,0,0,3,0,3
ABLING GROUP LIMITED,0,0,0,0,0,0,0,0,0,2,1,3
ABLITTS,0,0,0,1,1,0,0,0,0,5,1,8
ABOUDI BRADLEY & CO,0,0,0,4,5,0,0,0,0,27,12,48
ABPP DEVELOPMENTS LIMITED,0,0,0,0,0,0,0,0,0,2,0,2
ABRAHAMS DRESDEN LLP,0,5,0,15,21,0,6,0,2,67,29,145
ABRAHAMSON & ASSOCIATES SOLICITORS,0,0,0,0,0,0,0,0,0,1,1,2
ABS LAWYERS LIMITED,1,0,0,0,0,0,0,0,0,0,0,1
ABS SOLICITORS LLP,1,0,0,7,1,0,0,0,0,7,5,21
ABSOLUTE CONVEYANCING LIMITED,1,0,2,37,5,0,0,0,0,2,2,49
ABSOLUTE SOLICITORS,0,0,0,0,0,0,0,0,0,4,1,5
ACAD MAPPING LIMITED,0,0,0,0,0,0,0,0,0,3,0,3
ACASTER LLP,0,0,0,0,0,0,0,0,0,4,1,5
ACBS ACCOUNTING,0,0,0,0,0,0,0,0,0,4,0,4
ACCENT GROUP LTD,0,0,0,0,0,0,0,0,1,146,47,194
ACCENT NENE LIMITED,0,0,0,0,0,0,0,0,0,10,6,16
ACCEPTED MONEY LTD,0,0,0,0,0,0,0,0,0,35,0,35
ACCESS 4 FINANCE LTD,0,0,0,0,0,0,0,0,0,31,0,31
ACCESS COMMERCIAL FINANCE LTD,0,0,0,0,0,0,0,0,0,43,0,43
ACCESS LAW LLP,0,0,1,5,0,0,0,0,0,0,0,6
ACCESS SELF STORAGE LTD,0,0,0,0,0,0,0,0,0,21,0,21
ACCLAIMED FAMILY LAW LIMITED,0,0,0,6,0,0,0,0,0,20,0,26
ACCOR UK BUSIN & LEIS HOTELS LTD,0,0,0,0,0,0,0,0,0,2,1,3
ACCORD ESTATES LIMITED,0,0,0,0,0,0,0,0,0,3,0,3
ACCORD HOUSING ASSOCIATION LTD,0,0,0,0,0,0,0,0,0,5,3,8
ACCORD LEGAL SERVICES LTD,0,0,0,35,0,0,0,0,0,336,3,374
ACCORD MORTGAGES LIMITED,0,0,0,1513,0,0,0,0,0,69,3,1585
ACCOUNTANCY SOLUTIONS (UK) LIMITED,0,0,1,3,0,0,0,0,0,0,0,4
ACCOUNTING FOR ENERGY,0,0,0,0,0,0,0,0,0,5,5,10
ACCULEGAL SOLICITORS,0,0,0,1,2,0,0,0,0,2,2,7
ACCURA PARTNERS LLP,0,0,0,1,0,0,0,0,0,18,0,19
ACENDEN LIMITED,0,0,0,1246,0,0,0,0,0,0,9,1255
ACER PRIME LAW LIMITED,0,0,0,0,0,0,0,0,0,32,0,32
ACER PRIME LAW LIMITED,0,0,0,43,0,0,0,0,0,5,0,48
ACER SOLICITORS,0,0,0,5,4,0,0,0,0,8,2,19
ACHILLEA & CO,0,0,0,4,0,0,0,0,0,18,4,26
ACIS GROUP LIMITED,0,0,0,0,0,0,1,0,0,28,22,51
ACKERS SOLICITORS,0,0,0,3,5,0,0,0,4,33,24,69
ACKLAM BOND NOOR,0,0,0,11,0,0,0,0,0,1,0,12
ACKLAND & CO,0,1,0,9,6,0,2,0,1,12,7,38
ACKROYD LEGAL LIMITED,0,0,0,7,11,0,2,0,0,18,7,45
ACKROYD LEGAL LIMITED,0,0,0,1,6,0,0,0,0,6,4,17
ACKROYD LEGAL LIMITED,0,14,0,31,15,0,2,0,0,24,8,94
ACONVEYANCING LIMITED,2,2,3,67,109,0,7,0,0,166,97,453
ACORN HOMES (GB) LIMITED,0,0,0,0,0,0,0,0,0,22,1,23
ACORN LIMITED,0,0,0,0,0,0,0,0,0,1059,17,1076
ACORN PROPERTY,0,0,0,0,0,0,0,0,0,2,0,2
ACORN RURAL PROP (CONSULTANTS) LLP,0,0,0,0,0,0,0,0,0,6,1,7
ACORN SOLICITORS,1,1,1,61,29,0,4,0,1,100,45,243
ACQUIRELAND,0,0,0,0,0,0,0,0,0,16,5,21
ACRE CAPITAL REAL ESTATE LLP,0,0,0,0,0,0,0,0,0,58,4,62
ACRE PLATFORMS LIMITED,0,0,0,0,0,0,0,0,0,6,0,6
ACROMAS INSURANCE SERVICES LIMITED,0,0,0,0,0,0,0,0,0,9,0,9
ACS SOLICITORS,0,0,2,34,37,0,2,0,0,60,25,160
ACT LEGAL LTD,0,0,0,6,0,0,0,0,0,24,1,31
ACTION FOR CHILDREN,0,1,0,1,0,0,0,0,0,13,8,23
ACTION PROPERTY MANAGEMENT LIMITED,0,0,0,0,0,0,0,0,0,0,1,1
ACTIVTRADES PLC,0,0,0,6,0,0,0,0,0,0,0,6
ACTONS,0,1,3,33,7,2,2,0,5,57,22,132
ACUITY LEGAL,0,4,1,61,20,0,9,0,3,62,16,176
ACUMEN BUSINESS LAW,0,2,1,11,2,0,0,0,1,3,2,22
ACUTE CONVEYANCING LTD,0,0,6,1,1,0,0,0,0,14,3,25
AD HOC PROPERTY MANAGEMENT LTD,0,0,0,0,0,0,0,0,0,16,0,16
ADAIR PAXTON LLP,0,0,0,0,0,0,0,0,0,0,10,10
ADAM BERNARD SOLICITORS LTD,0,0,0,2,0,0,0,0,0,1,1,4
ADAM CHURCH LTD,0,0,0,0,0,0,0,0,0,26,2,28
ADAM DOUGLAS & SON,2,1,10,36,24,0,6,0,1,79,49,208
ADAM LEDGER PROPERTY LAWYERS LTD,0,0,1,40,40,0,2,0,0,76,35,194
ADAM LEGAL SERVICES LTD,0,0,0,2,1,0,0,0,0,2,0,5
ADAM SOFI SOLICITORS,0,0,0,1,1,0,0,0,0,9,3,14
ADAM SOLICITORS,0,0,0,6,4,0,3,0,0,12,2,27
ADAM TIMOTHY SMITH-ROBERTS,0,0,0,0,0,0,0,0,0,1,0,1
ADAMS & REMERS,2,5,1,63,59,0,3,0,14,291,105,543
ADAMS BURROWS,0,3,1,25,3,0,1,0,0,59,21,113
ADAMS DELMAR,0,0,0,12,0,0,0,0,0,0,0,12
ADAMS ESTATES LTD,0,0,0,0,0,0,0,0,0,3,0,3
ADAMS GROUP REAL ESTATE LIMITED,0,0,0,0,0,0,0,0,0,1,0,1
ADAMS HARRISON,0,0,3,33,24,1,4,0,4,111,62,242
ADAMS HENDRY CONSULTING LTD,0,0,0,0,0,0,0,0,0,4,1,5
ADAMS HETHERINGTON,0,0,0,20,18,0,0,0,1,31,7,77
ADAMS KAYE LTD,0,0,0,75,30,0,7,0,3,120,97,332
ADAMS PICKARD LIMITED TRADING AS B,0,0,0,16,0,0,0,0,0,0,0,16
ADAMSHAH SOLICITORS,0,0,0,0,0,0,0,0,0,2,0,2
ADANS SOLICITORS & ADVOCATES,0,0,0,2,0,0,0,0,0,2,0,4
ADAPTIVE MONEY LIMITED,0,0,0,0,0,0,0,0,0,3,0,3
ADCOCKS,0,2,0,16,0,0,3,0,0,18,2,41
ADCROFT HILTON LIMITED,0,0,0,1,0,0,0,0,0,0,0,1
ADD CAPITAL FINANCE LIMITED,0,0,0,0,0,0,0,0,0,4,0,4
ADDERSTONE GROUP LTD,0,0,0,0,4,0,0,0,2,56,16,78
ADDIES SOLICITORS,0,0,1,21,54,0,2,0,3,66,49,196
ADDIS TOWN PLANNING LTD,0,0,0,0,0,0,0,0,0,1,0,1
ADDISON & KHAN SOLICITORS,0,1,0,2,1,0,0,0,0,3,1,8
ADDISON LAW SOLICITORS,2,0,1,15,7,0,2,0,1,45,11,84
ADDLESHAW GODDARD,2,12,4,686,330,13,49,0,215,1712,605,3628
ADDLESTONE KEANE,0,1,1,20,2,0,0,0,1,7,3,35
ADDO PROPERTY SOLUTIONS,0,0,0,0,0,0,0,0,0,3,0,3
ADELAIDE JONES & CO LTD,0,0,0,0,0,0,0,0,0,7,5,12
ADH LAW,0,0,0,0,0,0,0,0,0,1,0,1
ADIE PEPPERDINE LLP,0,0,4,73,37,0,7,0,4,121,38,284
ADIL RAOOF,0,0,0,0,0,0,0,0,0,22,1,23
ADJUVO CONSULTING LTD,0,0,0,0,0,0,0,0,0,4,0,4
ADK LAW LIMITED,2,0,1,54,72,0,5,0,2,134,76,346
ADLAMS,2,0,0,18,5,0,0,0,1,35,22,83
ADLER FAMILY LAW  SOLS,0,0,0,1,0,0,0,0,0,6,0,7
ADLINGTON LAW LIMITED,0,0,0,20,1,0,0,0,0,86,11,118
ADMINISTRATION GATEWAY LIMITED,0,0,0,0,0,0,0,0,0,1659,249,1908
ADMIRAL LEASING,0,0,0,0,0,0,0,0,0,26,0,26
ADMIRAL TAVERNS LIMITED,0,0,0,0,0,0,0,0,0,10,1,11
ADONAI BEULAH SOLICITORS LIMITED,0,1,0,11,0,0,0,0,0,6,2,20
ADRA (TAI) CYFYNGEDIG,0,0,0,0,1,0,0,0,0,5,5,11
ADRIAN GRAZEBROOK,0,0,0,0,0,0,0,0,0,1,0,1
ADRIAN J KNIGHT LIMITED,0,0,0,1,0,0,0,0,0,0,0,1
ADRIAN L BROMILEY,0,0,0,2,0,0,0,0,0,61,9,72
ADRIAN STABLES SOLICITORS,0,1,1,10,4,0,0,0,1,31,19,67
ADS REAL ESTATE ADVISORS LLP,0,0,0,0,0,0,0,0,0,4,11,15
ADSAN CARR LTD,0,0,0,7,0,0,0,0,0,0,0,7
ADVANCE HOUSING AND SUPPORT LTD,0,0,0,0,0,0,0,0,0,2,6,8
ADVANCE RESIDENTIAL MANAGEMENT LIM,0,0,0,0,0,0,0,0,0,2,0,2
ADVANCED SALES (UK) LIMITED,0,0,0,0,0,0,0,0,1,2,0,3
ADVANTAGE FINANCE LTD,0,0,0,21,34,0,0,0,0,57,0,112
ADVANTAGE LAW LIMITED,1,2,3,1,4,0,1,0,0,15,3,30
ADVANTAGE PROPERTY LAWYERS,10,2,6,322,286,0,24,0,9,315,231,1205
ADVANTAGE WILLS LTD,0,0,1,5,3,0,0,0,0,25,16,50
ADVANTEDGE COMMERCIAL FINANCE LTD,0,0,0,0,0,0,0,0,0,4,0,4
ADVOCATE FINANCE LTD,0,0,0,0,0,0,0,0,0,1,0,1
AE COM PROFESSIONAL SERVICES LLP,0,0,0,0,0,0,0,0,0,33,0,33
AEGIS LEGAL SOLICITORS,0,0,0,0,0,0,0,0,0,2,0,2
AFFINION PARTNERSHIP LTD,0,0,0,0,0,0,0,0,0,6,0,6
AFFINITY SEVEN LAW SOLICITORS LTD,1,3,0,13,25,0,3,0,0,21,18,84
AFFINITY SUTTON HOMES LTD,0,0,0,0,0,0,0,0,0,291,217,508
AFFINITY WATER LTD,0,0,0,7,0,0,0,0,0,55,15,77
AFFIRMATIVE FINANCE LIMITED,0,0,0,0,0,0,0,0,0,33,2,35
AFFORDABLE JUSTICE LIMITED,0,0,0,0,0,0,0,0,0,1,0,1
AFG LAW LIMITED,5,0,3,75,0,0,6,0,0,25,10,124
AFP HEALTH & SAFETY CONSULT LTD,0,0,0,0,0,0,0,0,0,12,0,12
AG & G LIMITED,0,0,0,0,0,0,0,0,0,7,23,30
AGE PARTNERSHIP LIMITED,0,0,0,1,0,0,0,0,0,206,2,209
AGENCE GROUP LLP,0,0,0,0,0,0,0,0,0,8,6,14
AGENT AND HOMES LIMITED,0,0,0,0,0,0,0,0,0,114,0,114
AGENT SOFTWARE LIMITED,0,0,0,0,0,0,0,0,0,10552,0,10552
AGENTOS PROPTECH GROUP LTD,0,0,0,0,0,0,0,0,0,160,0,160
AGGREGATE INDUSTRIES UK LIMITED,0,0,1,4,1,0,3,0,2,73,14,98
AGH SOLICITORS,0,0,0,24,30,2,1,0,0,43,18,118
AGK PARTNERSHIP LTD,0,0,0,0,0,0,0,0,0,17,0,17
AGRI ADVISOR LEGAL LLP,2,0,0,27,10,0,4,0,2,66,16,127
AH BROOKS & CO,2,0,9,58,34,0,4,0,2,62,19,190
AH LAW LTD,0,1,0,0,0,0,0,0,0,0,0,1
AH PAGE,0,4,1,41,13,0,1,0,1,67,17,145
AHC SOLICITORS LIMITED,0,0,0,0,0,0,0,0,0,2,0,2
AHLI UNITED BANK (UK) PLC,0,0,0,0,0,0,0,0,0,65,2,67
AHMAD & WILLIAMS SOLICITORS,0,0,0,8,7,0,0,0,1,8,2,26
AI-LAW,0,11,0,9,0,0,0,0,0,30,10,60
AIB GROUP (UK) PLC,0,0,0,56,0,0,0,0,0,40,7,103
AIM LEGAL LIMITED,0,1,0,1,9,0,0,0,0,59,23,93
AINSWORTH LORD ESTATES LTD,0,0,0,0,0,0,0,0,0,12,0,12
AITCH ESTATES LIMITED,0,0,0,0,0,0,0,0,0,25,5,30
AITCHISONS RAFFERTY LTD,0,0,0,0,0,0,0,0,0,151,4,155
AJ ANGELO SOLICITORS,0,0,0,2,0,0,0,0,0,4,0,6
AJ LEGAL CONSULTANTS LTD,0,0,0,3,2,0,1,0,0,12,5,23
AJ LUTLEY,1,0,0,0,0,0,0,0,0,2,1,4
AJ REUBENS SOLICITORS LIMITED,0,1,0,1,0,0,0,0,0,3,1,6
AJP SURVEYPRS LTD,0,0,0,0,0,0,0,0,0,6,0,6
AK LAW (LONDON) LIMITED,0,9,1,27,9,0,2,0,3,88,23,162
AKA SALES & LETTINGS,0,0,0,0,0,0,0,0,0,12,0,12
AKAL SOLICITORS,0,0,0,0,0,0,0,0,0,1,0,1
AKBAR RASOOL,0,0,1,2,0,0,0,0,0,4,4,11
AKHIGBE & AKHIGBE SOLICITORS,0,0,0,0,0,0,0,0,0,2,0,2
AKIN GUMP LLP,0,0,0,0,0,0,0,0,0,2,1,3
AKIN PALMER,0,0,0,14,4,0,0,0,0,10,2,30
AKIN PALMER LLP,0,0,0,0,0,0,0,0,0,3,0,3
AKL SOLICITORS,0,1,0,14,24,0,1,0,0,22,9,71
AKYOL LAW LTD,0,0,1,7,4,0,0,0,0,10,5,27
AL HUGHES & CO,0,0,0,7,2,0,1,0,0,14,8,32
AL VARILONE SOLICITOR,0,0,0,0,0,0,0,0,0,4,1,5
ALACO LIMITED,0,0,0,0,0,0,0,0,0,3,0,3
ALAN HALL,0,1,0,4,4,0,2,0,0,10,1,22
ALAN SAMUELS & CO,0,18,1,5,2,0,29,0,0,29,14,98
ALAN SIMONS & COMPANY,1,1,0,19,11,0,1,0,1,42,16,92
ALAN SIMPSON & CO,0,0,1,12,0,0,0,0,0,14,8,35
ALAN TAYLOR & COMPANY,0,0,0,11,6,0,0,0,0,8,4,29
Alan Turner & co,0,0,1,18,5,0,0,0,1,31,13,69
ALASDAIR MORRISON & PARTNERS,0,0,0,0,0,0,0,0,0,2,0,2
ALASTAIR RUDD,0,0,0,0,0,0,0,0,0,2,0,2
ALBAN GOULD BAKER & CO,0,0,0,8,8,0,0,0,0,26,7,49
ALBANWISE LIMITED,0,0,0,0,0,0,0,0,0,15,0,15
ALBEMARLE HOMES LIMITED,0,0,0,0,0,0,0,0,0,3,0,3
ALBERT GOODMAN,0,0,0,0,0,0,0,0,0,2,0,2
ALBEX RPM LTD,0,0,0,0,0,0,0,0,0,2,0,2
ALBINSON NAPIER,1,0,1,8,6,0,1,0,1,37,10,65
ALCESTER TOWN COUNCIL,0,0,0,0,0,0,0,0,0,1,0,1
ALCHEMY MONEY LTD,0,0,0,0,0,0,0,0,0,14,0,14
ALCOCK GRIMDITCH & RIGLEY,1,0,0,53,42,0,2,0,5,64,27,194
ALDER KING LLP,0,0,0,0,0,0,0,0,0,15,2,17
ALDER KING LLP,0,0,0,0,0,0,0,0,0,0,3,3
ALDER KING LLP,0,0,0,0,0,0,0,0,0,50,1,51
ALDER KING LLP,0,0,0,0,0,0,0,0,0,7,0,7
ALDER KING LLP,0,0,0,0,0,0,0,0,0,6,3,9
ALDERMORE BANK PLC,0,0,0,397,0,0,0,0,0,840,0,1237
ALDERSON LAW LLP,1,2,8,49,43,2,6,0,7,104,44,266
ALDRIDGE BROWNLEE,1,9,0,68,15,0,3,0,4,66,21,187
ALDWYCK HOUSING GROUP,0,0,0,0,0,0,0,0,0,99,90,189
ALEN-BUCKLEY & CO,0,4,1,30,30,0,2,0,1,54,14,136
ALETTA SHAW LLP,0,3,0,15,13,0,2,0,0,37,22,92
ALEX CUNNINGHAM,0,0,0,0,0,0,0,0,0,2,0,2
ALEX DE SILVA & CO LTD,0,0,0,0,0,0,0,0,0,1,0,1
ALEXANDER & CO (DERBY),0,3,1,23,0,0,0,0,0,3,2,32
ALEXANDER & CO PROPERTY SERVICES,0,0,0,0,0,0,0,0,0,217,10,227
ALEXANDER FAULKNER PARTNERSHIP LTD,0,0,0,0,0,0,0,0,0,84,79,163
ALEXANDER GARDNER,0,0,0,0,0,0,0,0,0,10,0,10
ALEXANDER GRACE LAW LIMITED,7,4,7,443,5,2,1,0,7,42,31,549
ALEXANDER JAMES AUTOMOTIVE,0,0,0,0,0,0,0,0,0,8,0,8
ALEXANDER JLO,0,28,3,51,48,0,87,0,0,88,48,353
ALEXANDER LAWSON SURVEYORS LTD,0,0,0,0,0,0,0,0,0,7,0,7
ALEXANDER LYONS LIMITED,0,0,0,0,0,0,0,0,0,43,0,43
ALEXANDER NEIL SOLICITORS,0,0,0,6,3,0,0,0,0,2,1,12
ALEXANDER ROSE SOLICITORS LIMITED,0,0,0,0,0,0,0,0,0,1,0,1
ALEXANDER SHAW SOLICITORS LIMITED,0,0,0,0,0,0,0,0,0,3,1,4
ALEXANDER SHAW SOLICITORS LIMITED,0,0,0,4,0,0,0,0,0,14,2,20
ALEXANDERS,0,0,0,0,0,0,0,0,0,1,0,1
ALEXANDERS LTD,0,0,0,0,0,0,0,0,0,9,0,9
ALEXANDRA MATTHEWS CONSULTANTS LTD,0,0,0,0,0,0,0,0,0,60,0,60
ALFA SOLICITORS,0,0,0,4,9,0,0,0,0,1,0,14
ALFRED JAMES & CO,0,0,0,11,6,0,0,0,1,23,4,45
ALFRED LEDGER & SONS,0,0,0,13,6,0,1,0,0,15,5,40
ALFRED NEWTON & CO,0,1,0,87,29,0,3,0,2,78,41,241
ALISON FIELDEN & CO,0,0,0,7,9,0,2,0,0,34,11,63
ALISON JANE MCVAY SOLICITORS,1,0,0,0,0,0,0,0,0,5,5,11
ALISTER PILLING SOLICITORS,0,1,0,3,2,0,0,0,0,18,3,27
ALKA JASOOJA,0,0,1,2,1,0,0,0,0,15,6,25
ALKANE ENERGY UK LIMITED,0,0,0,0,0,0,0,0,0,35,0,35
ALKER BALL HEALDS,5,1,4,67,41,0,9,0,6,165,50,348
ALL SAINTS PROPERTY GROUP LTD,0,0,0,0,0,0,0,0,0,7,0,7
ALLAN JANES,0,0,0,19,13,0,0,0,8,64,31,135
ALLAN JAY PAINE & CO,0,0,0,20,7,0,2,0,1,53,34,117
ALLARD BAILEY FAMILY LAW LTD,0,0,0,1,0,0,0,0,0,2,0,3
ALLCHURCH PROPERTY LAWYERS LIMITED,0,5,0,32,0,0,0,0,0,0,0,37
ALLEN & OVERY LLP,0,1,0,13,15,0,1,0,1,244,77,352
ALLEN LANGOTH SOLICITORS,0,1,0,2,0,0,0,0,0,3,1,7
ALLENS CADGE & GILBERT SOLICITORS,1,0,0,14,8,0,2,0,1,26,14,66
ALLENS CONVEYANCING,1,3,0,16,5,0,1,0,0,42,18,86
ALLERDALE BOROUGH COUNCIL,0,0,0,0,0,0,0,0,0,53,5,58
ALLERTON & GLADSTONE LTD,0,0,0,5,6,0,1,0,0,14,5,31
ALLETSONS (BRIDGWATER),2,0,2,60,56,0,5,0,6,82,45,258
ALLGUARD SERVICES LTD,0,0,0,0,0,0,0,0,0,12,0,12
ALLIANCE & LEICESTER,0,0,0,1,0,0,0,0,0,20,4,25
ALLIANCE & LEICESTER PLC,0,0,0,0,0,0,0,0,0,3,0,3
ALLIANCE & LEICESTER PLC,0,0,0,2,0,0,0,0,0,0,0,2
ALLIANCE MANAGING AGENTS LTD,0,0,0,0,0,0,0,0,0,1,0,1
ALLIANCE SOLICITORS LTD,0,0,0,0,2,0,0,0,0,0,0,2
