CODE,TREE,LOCALITY,SPECIES,LATITUDE,LONGITUDE,ALTITUDE,COUNTRY,ORIGIN,STAND,EXTRACTION #,HAPLOTYPE,Colour
P4-140,3.0,Ebhor Gorge,Quercus robur,51.229,-2.688,152.0,England,autochthonus,Forest,EBH3,9,Orange
P4-140,4.0,Ebhor Gorge,Quercus robur,51.229,-2.688,152.0,England,autochthonus,Forest,EBH4,9,Orange
P4-140,5.0,Ebhor Gorge,Quercus robur,51.229,-2.688,152.0,England,autochthonus,Forest,EBH5,9,Orange
P4-141,1.0,Flisteridge Woods,Quercus robur,51.622,-2.007,107.0,England,autochthonus,Forest,FLG1,9,Orange
P4-141,2.0,Flisteridge Woods,Quercus robur,51.622,-2.007,107.0,England,autochthonus,Forest,FLG2,9,Orange
P4-141,3.0,Flisteridge Woods,Quercus robur,51.622,-2.007,107.0,England,autochthonus,Forest,FLG3,-,-
P4-141,4.0,Flisteridge Woods,Quercus robur,51.622,-2.007,107.0,England,autochthonus,Forest,FLG4,9,Orange
P4-141,5.0,Flisteridge Woods,Quercus robur,51.622,-2.007,107.0,England,autochthonus,Forest,FLG6,9,Orange
P4-142,1.0,Dodleaze,Quercus robur,51.353,-2.32,76.0,England,autochthonus,Forest,DZE1,9,Orange
P4-142,2.0,Dodleaze,Quercus robur,51.353,-2.32,76.0,England,autochthonus,Forest,DZE2,9,Orange
P4-142,3.0,Dodleaze,Intermediate,51.353,-2.32,76.0,England,autochthonus,Forest,DZE3,9,Orange
P4-142,4.0,Dodleaze,Quercus robur,51.353,-2.32,76.0,England,autochthonus,Forest,DZE4,9,Orange
P4-142,5.0,Dodleaze,Quercus robur,51.353,-2.32,76.0,England,autochthonus,Forest,DZE5,9,Orange
P4-143,1.0,Great Ground Coppice,Quercus robur,51.07,-2.181,122.0,England,autochthonus,Forest,GUN10,10,White
P4-143,2.0,Great Ground Coppice,Quercus robur,51.07,-2.181,122.0,England,autochthonus,Forest,GUN9,10,White
P4-143,3.0,Great Ground Coppice,Quercus robur,51.07,-2.181,122.0,England,autochthonus,Forest,GUN8,8,Yellow
P4-143,4.0,Great Ground Coppice,Intermediate,51.07,-2.181,122.0,England,autochthonus,Forest,GUN4,10,White
P4-143,5.0,Great Ground Coppice,Quercus robur,51.07,-2.181,122.0,England,autochthonus,Forest,GUN7,8,Yellow
P4-144,1.0,Loose Hanger Copse,Quercus robur,50.974,-1.694,76.0,England,autochthonus,Forest,LOH1,10,White
P4-144,2.0,Loose Hanger Copse,Quercus robur,50.974,-1.694,76.0,England,autochthonus,Forest,LOH2,10,White
P4-144,3.0,Loose Hanger Copse,Quercus robur,50.974,-1.694,76.0,England,autochthonus,Forest,LOH3,10,White
P4-144,4.0,Loose Hanger Copse,Quercus robur,50.974,-1.694,76.0,England,autochthonus,Forest,LOH4,10,White
P4-144,5.0,Loose Hanger Copse,Quercus robur,50.974,-1.694,76.0,England,autochthonus,Forest,LOH5,10,White
P4-145,1.0,Langley,Quercus robur,50.978,-1.687,61.0,England,autochthonus,Forest,LLY1,10,White
P4-145,2.0,Langley,Quercus robur,50.978,-1.687,61.0,England,autochthonus,Forest,LLY2,10,White
P4-145,3.0,Langley,Quercus robur,50.978,-1.687,61.0,England,autochthonus,Forest,LLY3,10,White
P4-145,4.0,Langley,Quercus robur,50.978,-1.687,61.0,England,autochthonus,Forest,LLY4,10,White
P4-145,5.0,Langley,Quercus robur,50.978,-1.687,61.0,England,autochthonus,Forest,LLY5,10,White
P4-146,1.0,Great Ridge Wood,Quercus robur,51.123,-2.1,213.0,England,autochthonus,Forest,GRD1,8,Yellow
P4-146,2.0,Great Ridge Wood,Quercus robur,51.123,-2.1,213.0,England,autochthonus,Forest,GRD8,8,Yellow
P4-146,3.0,Great Ridge Wood,Quercus robur,51.123,-2.1,213.0,England,autochthonus,Forest,GRD10,10,White
P4-146,4.0,Great Ridge Wood,Quercus robur,51.123,-2.1,213.0,England,autochthonus,Forest,GRD4,8,Yellow
P4-146,5.0,Great Ridge Wood,Quercus robur,51.123,-2.1,213.0,England,autochthonus,Forest,GRD7,10,White
P4-147,1.0,Blackmoor,Quercus robur,51.086,-0.886,91.0,England,autochthonus,Forest,BOO1,9,Orange
P4-147,2.0,Blackmoor,Quercus robur,51.086,-0.886,91.0,England,autochthonus,Forest,BOO2,9,Orange
P4-147,3.0,Blackmoor,Quercus robur,51.086,-0.886,91.0,England,autochthonus,Forest,BOO3,9,Orange
P4-147,4.0,Blackmoor,Quercus robur/Intermediate,51.086,-0.886,91.0,England,autochthonus,Forest,BOO4,9,Orange
P4-147,5.0,Blackmoor,Quercus robur,51.086,-0.886,91.0,England,autochthonus,Forest,BOO5,9,Orange
P4-148,1.0,Whitborne Glebe,Quercus petraea,52.216,-2.405,91.0,England,autochthonus,Forest,WHG1,8,Yellow
P4-148,2.0,Whitborne Glebe,Quercus petraea,52.216,-2.405,91.0,England,autochthonus,Forest,WHG6,8,Yellow
P4-148,3.0,Whitborne Glebe,Quercus petraea,52.216,-2.405,91.0,England,autochthonus,Forest,WHG3,8,Yellow
P4-148,4.0,Whitborne Glebe,Quercus robur/Intermediate,52.216,-2.405,91.0,England,autochthonus,Forest,WHG4,8,Yellow
P4-148,5.0,Whitborne Glebe,Quercus petraea,52.216,-2.405,91.0,England,autochthonus,Forest,WHG5,8,Yellow
P4-149,1.0,Wernwood,Quercus robur,52.087,-2.975,76.0,England,autochthonus,Forest,WERN,9,Orange
P4-150,1.0,Eardisley,Intermediate,52.135,-3.008,109.0,England,autochthonus,Isolated,ESY1,8,Yellow
P4-151,1.0,Moccas Park,Quercus petraea,52.077,-2.963,229.0,England,autochthonus,Forest,MCC1,10,White
P4-151,2.0,Moccas Park,Quercus robur,52.077,-2.963,229.0,England,autochthonus,Forest,MCC2,10,White
P4-151,3.0,Moccas Park,Quercus robur,52.077,-2.963,229.0,England,autochthonus,Forest,MCC8,10,White
P4-151,4.0,Moccas Park,Quercus robur,52.077,-2.963,229.0,England,autochthonus,Forest,MCC5,8,Yellow
P4-151,5.0,Moccas Park,Quercus robur,52.077,-2.963,229.0,England,autochthonus,Forest,MCC9,8,Yellow
P4-152,1.0,Croft Castle,Quercus robur,52.28,-2.821,168.0,England,autochthonus,Forest,CFT6,10,White
P4-152,2.0,Croft Castle,Quercus robur,52.28,-2.821,168.0,England,autochthonus,Forest,CFT1,10,White
P4-152,3.0,Croft Castle,Quercus petraea,52.28,-2.821,168.0,England,autochthonus,Forest,CFT2,10,White
P4-152,4.0,Croft Castle,Quercus robur,52.28,-2.821,168.0,England,autochthonus,Forest,CFT4,8,Yellow
P4-152,5.0,Croft Castle,Quercus petraea,52.28,-2.821,168.0,England,autochthonus,Forest,CFT5,10,White
P4-153,1.0,Wellington Wood,Quercus petraea,52.136,-2.76,152.0,England,autochthonus,Forest,WLL2,8,Yellow
P4-153,2.0,Wellington Wood,Quercus petraea,52.136,-2.76,152.0,England,autochthonus,Forest,WLL3,8,Yellow
P4-153,3.0,Wellington Wood,Quercus petraea,52.136,-2.76,152.0,England,autochthonus,Forest,WLL4,8,Yellow
P4-153,4.0,Wellington Wood,Quercus petraea,52.136,-2.76,152.0,England,autochthonus,Forest,WLL7,8,Yellow
P4-153,5.0,Wellington Wood,Quercus petraea,52.136,-2.76,152.0,England,autochthonus,Forest,WLL9,8,Yellow
P4-154,1.0,Dinmore Hill Woods,Quercus petraea,52.155,-2.716,152.0,England,autochthonus,Forest,DHL1,10,White
P4-154,2.0,Dinmore Hill Woods,Quercus petraea,52.155,-2.716,152.0,England,autochthonus,Forest,DHL3,10,White
P4-154,3.0,Dinmore Hill Woods,Quercus petraea,52.155,-2.716,152.0,England,autochthonus,Forest,DHL4,10,White
P4-154,4.0,Dinmore Hill Woods,Quercus petraea,52.155,-2.716,152.0,England,autochthonus,Forest,DHL5,8,Yellow
P4-154,5.0,Dinmore Hill Woods,Quercus petraea,52.155,-2.716,152.0,England,autochthonus,Forest,DHL7,10,White
P4-155,1.0,Helmeth Hill,Quercus petraea,52.541,-2.781,305.0,England,autochthonus,Forest,HTH1,8,Yellow
P4-155,2.0,Helmeth Hill,Quercus robur,52.541,-2.781,305.0,England,autochthonus,Forest,HTH2,8,Yellow
P4-155,3.0,Helmeth Hill,Quercus petraea,52.541,-2.781,305.0,England,autochthonus,Forest,HTH3,8,Yellow
P4-155,4.0,Helmeth Hill,Intermediate,52.541,-2.781,305.0,England,autochthonus,Forest,HTH4,8,Yellow
P4-155,5.0,Helmeth Hill,Quercus robur,52.541,-2.781,305.0,England,autochthonus,Forest,HTH5,8,Yellow
P4-156,1.0,Wolverton Wood,Quercus petraea,52.478,-2.78,244.0,England,autochthonus,Forest,WVN1,10,White
P4-156,2.0,Wolverton Wood,Quercus petraea,52.478,-2.78,244.0,England,autochthonus,Forest,WVN2,10,White
P4-156,3.0,Wolverton Wood,Quercus petraea,52.478,-2.78,244.0,England,autochthonus,Forest,WVN3,10,White
P4-156,4.0,Wolverton Wood,Quercus petraea,52.478,-2.78,244.0,England,autochthonus,Forest,WVN4,8,Yellow
P4-156,5.0,Wolverton Wood,Quercus petraea,52.478,-2.78,244.0,England,autochthonus,Forest,WVN6,10,White
P4-157,1.0,Chaddesley,Quercus petraea,52.355,-2.132,122.0,England,autochthonus,Forest,CDS1,9,Orange
P4-157,2.0,Chaddesley,Quercus petraea,52.355,-2.132,122.0,England,autochthonus,Forest,CDS2,9,Orange
P4-157,3.0,Chaddesley,Quercus robur,52.355,-2.132,122.0,England,autochthonus,Forest,CDS3,9,Orange
P4-157,4.0,Chaddesley,Quercus petraea,52.355,-2.132,122.0,England,autochthonus,Forest,CDS4,9,Orange
P4-157,5.0,Chaddesley,Quercus petraea,52.355,-2.132,122.0,England,autochthonus,Forest,CDS5,9,Orange
P4-158,1.0,Pepper Wood,Quercus petraea,52.373,-2.103,152.0,England,autochthonus,Forest,PPP3,8,Yellow
P4-158,2.0,Pepper Wood,Quercus petraea,52.373,-2.103,152.0,England,autochthonus,Forest,PPP2,8,Yellow
P4-158,3.0,Pepper Wood,Quercus petraea,52.373,-2.103,152.0,England,autochthonus,Forest,PPP1,8,Yellow
P4-158,4.0,Pepper Wood,Quercus petraea,52.373,-2.103,152.0,England,autochthonus,Forest,PPP4,8,Yellow
P4-158,5.0,Pepper Wood,Quercus robur,52.373,-2.103,152.0,England,autochthonus,Forest,PPP5,8,Yellow
P4-159,1.0,Nunnery Wood,Quercus petraea,52.188,-2.18,61.0,England,autochthonus,Forest,NNN1,10,White
P4-159,2.0,Nunnery Wood,Quercus robur,52.188,-2.18,61.0,England,autochthonus,Forest,NNN2,10,White
P4-159,3.0,Nunnery Wood,Intermediate,52.188,-2.18,61.0,England,autochthonus,Forest,NNN3,10,White
P4-159,4.0,Nunnery Wood,Quercus robur/Intermediate,52.188,-2.18,61.0,England,autochthonus,Forest,NNN4,10,White
P4-159,5.0,Nunnery Wood,Quercus robur,52.188,-2.18,61.0,England,autochthonus,Forest,NNN5,10,White
P4-160,1.0,Collyweston Great wood,Quercus petraea,52.597,-0.523,76.0,England,autochthonus,Forest,CLL7,14,Red
P4-160,2.0,Collyweston Great wood,Quercus petraea/Intermediate,52.597,-0.523,76.0,England,autochthonus,Forest,CLL2,14,Red
P4-160,3.0,Collyweston Great wood,Quercus robur,52.597,-0.523,76.0,England,autochthonus,Forest,CLL6,8,Yellow
P4-160,4.0,Collyweston Great wood,Intermediate,52.597,-0.523,76.0,England,autochthonus,Forest,CLL8,9,Orange
P4-160,5.0,Collyweston Great wood,Quercus robur,52.597,-0.523,76.0,England,autochthonus,Forest,CLL9,8,Yellow
P4-161,1.0,Sherwood Forest,Quercus robur/Intermediate,53.204,-1.07,76.0,England,autochthonus,Forest,SOO1,9,Orange
P4-161,2.0,Sherwood Forest,Quercus petraea,53.204,-1.07,76.0,England,autochthonus,Forest,SOO2,9,Orange
P4-161,3.0,Sherwood Forest,Quercus robur/Intermediate,53.204,-1.07,76.0,England,autochthonus,Forest,SOO3,9,Orange
P4-161,4.0,Sherwood Forest,Quercus robur/Intermediate,53.204,-1.07,76.0,England,autochthonus,Forest,SOO4,9,Orange
P4-161,5.0,Sherwood Forest,Quercus robur/Intermediate,53.204,-1.07,76.0,England,autochthonus,Forest,SOO5,9,Orange
P4-162,1.0,Ryton Wood,Intermediate,52.344,-1.442,91.0,England,autochthonus,Forest,RYO1,9,Orange
P4-162,2.0,Ryton Wood,Quercus robur,52.344,-1.442,91.0,England,autochthonus,Forest,RYO2,9,Orange
P4-162,3.0,Ryton Wood,Quercus robur,52.344,-1.442,91.0,England,autochthonus,Forest,RYO3,9,Orange
P4-162,4.0,Ryton Wood,Quercus robur,52.344,-1.442,91.0,England,autochthonus,Forest,RYO4,9,Orange
P4-162,5.0,Ryton Wood,Quercus robur,52.344,-1.442,91.0,England,autochthonus,Forest,RYO5,9,Orange
P4-163,1.0,Piles Coppice,Quercus petraea,52.389,-1.442,76.0,England,autochthonus,Forest,PCP1,8,Yellow
P4-163,2.0,Piles Coppice,Quercus robur,52.389,-1.442,76.0,England,autochthonus,Forest,PCP2,9,Orange
P4-163,3.0,Piles Coppice,Quercus robur,52.389,-1.442,76.0,England,autochthonus,Forest,PCP3,8,Yellow
P4-163,4.0,Piles Coppice,Quercus robur,52.389,-1.442,76.0,England,autochthonus,Forest,PCP4,8,Yellow
P4-163,5.0,Piles Coppice,Quercus petraea,52.389,-1.442,76.0,England,autochthonus,Forest,PCP5,9,Orange
P4-164,1.0,Morralee Wood,Quercus robur/Intermediate,54.961,-2.312,152.0,England,autochthonus,Forest,MRR1,10,White
P4-164,2.0,Morralee Wood,Quercus robur/Intermediate,54.961,-2.312,152.0,England,autochthonus,Forest,MRR2,10,White
P4-164,3.0,Morralee Wood,Intermediate,54.961,-2.312,152.0,England,autochthonus,Forest,MRR3,10,White
P4-164,4.0,Morralee Wood,Quercus petraea,54.961,-2.312,152.0,England,autochthonus,Forest,MRR4,10,White
P4-164,5.0,Morralee Wood,Quercus petraea,54.961,-2.312,152.0,England,autochthonus,Forest,MRR5,10,White
