Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Turkeys,Conditions,Pericarditis,2020-12,Wales,2348.0,40668.0,2.0,5.774
Turkeys,Conditions,Perihepatitis/Peritonitis,2020-10,England,14.0,776338.0,13.0,0.002
Turkeys,Conditions,Perihepatitis/Peritonitis,2020-10,England,390.0,776338.0,13.0,0.05
Turkeys,Conditions,Perihepatitis/Peritonitis,2020-11,England,1469.0,2458105.0,20.0,0.06
Turkeys,Conditions,Perihepatitis/Peritonitis,2020-11,England,9.0,2458105.0,20.0,0.0
Turkeys,Conditions,Perihepatitis/Peritonitis,2020-12,England,8.0,1948336.0,21.0,0.0
Turkeys,Conditions,Perihepatitis/Peritonitis,2020-12,England,849.0,1948336.0,21.0,0.044
Turkeys,Conditions,Perihepatitis/Peritonitis,2020-10,Wales,2.0,5334.0,2.0,0.037
Turkeys,Conditions,Perihepatitis/Peritonitis,2020-11,Wales,9.0,106911.0,2.0,0.008
Turkeys,Conditions,Perihepatitis/Peritonitis,2020-11,Wales,362.0,106911.0,2.0,0.339
Turkeys,Conditions,Perihepatitis/Peritonitis,2020-12,Wales,31.0,40668.0,2.0,0.076
Turkeys,Conditions,Respiratory Disease (air sacculitis),2020-10,England,186.0,776338.0,13.0,0.024
Turkeys,Conditions,Respiratory Disease (air sacculitis),2020-11,England,232.0,2458105.0,20.0,0.009
Turkeys,Conditions,Respiratory Disease (air sacculitis),2020-12,England,207.0,1948336.0,21.0,0.011
Turkeys,Conditions,Salpingitis,2020-10,England,57.0,776338.0,13.0,0.007
Turkeys,Conditions,Salpingitis,2020-11,England,186.0,2458105.0,20.0,0.008
Turkeys,Conditions,Salpingitis,2020-12,England,485.0,1948336.0,21.0,0.025
Turkeys,Conditions,Salpingitis,2020-10,Wales,9.0,5334.0,2.0,0.169
Turkeys,Conditions,Salpingitis,2020-12,Wales,1.0,40668.0,2.0,0.002
Turkeys,Conditions,Tumours/Nodules,2020-10,England,12.0,776338.0,13.0,0.002
Turkeys,Conditions,Tumours/Nodules,2020-11,England,5.0,2458105.0,20.0,0.0
Turkeys,Conditions,Tumours/Nodules,2020-12,England,7.0,1948336.0,21.0,0.0
