met type,date,mean/sum,min,max,%complete,comments
Air Temperature,12/02/2010,1.7,0.8,3.8,100,
Air Temperature,13/02/2010,1.19,-1.2,4.2,100,
Air Temperature,14/02/2010,0.1,-2.7,2.2,100,
Air Temperature,15/02/2010,1.93,0.6,3.2,100,
Air Temperature,16/02/2010,0.04,-1.3,1.8,100,
Air Temperature,17/02/2010,-0.88,-2.2,1.3,100,
Air Temperature,18/02/2010,-1.27,-3.8,1.2,100,
Air Temperature,19/02/2010,-0.65,-2.2,1.3,100,
Air Temperature,20/02/2010,-1.81,-5.8,2.4,100,
Air Temperature,21/02/2010,-2.77,-6.7,0.9,100,
Air Temperature,22/02/2010,-1.73,-4.8,2.2,100,
Air Temperature,23/02/2010,-1.35,-4.7,2.0,100,
Air Temperature,24/02/2010,0.29,-0.5,1.2,100,
Air Temperature,25/02/2010,1.57,0.2,2.8,100,
Air Temperature,26/02/2010,1.6,0.2,2.8,100,
Air Temperature,27/02/2010,0.43,-0.1,1.3,100,
Air Temperature,28/02/2010,0.18,-1.3,1.9,100,
Air Temperature,01/03/2010,-0.98,-4.7,3.5,100,
Air Temperature,02/03/2010,-1.2,-5.9,4.7,100,
Air Temperature,03/03/2010,-1.47,-5.2,3.6,100,
Air Temperature,04/03/2010,-0.02,-3.6,6.0,100,
Air Temperature,05/03/2010,0.45,-5.1,6.8,100,
Air Temperature,06/03/2010,2.87,0.1,5.6,100,
Air Temperature,07/03/2010,0.53,-3.1,5.0,100,
Air Temperature,08/03/2010,0.64,-4.4,6.4,100,
Air Temperature,09/03/2010,1.83,-3.2,6.3,100,
Air Temperature,10/03/2010,-0.08,-5.5,7.3,100,
Air Temperature,11/03/2010,1.37,-4.3,6.0,100,
Air Temperature,12/03/2010,3.26,-0.3,5.4,100,
Air Temperature,13/03/2010,2.73,-2.8,9.5,100,
Air Temperature,14/03/2010,5.42,1.8,10.3,100,
Air Temperature,15/03/2010,5.0,3.4,7.6,100,
Air Temperature,16/03/2010,3.74,0.2,7.3,100,
Air Temperature,17/03/2010,5.63,-0.2,9.0,100,
Air Temperature,18/03/2010,8.79,6.4,11.8,100,
Air Temperature,19/03/2010,6.65,3.5,8.6,100,
Air Temperature,20/03/2010,3.51,-1.4,6.8,100,
Air Temperature,21/03/2010,3.79,-0.4,7.8,100,
