met type,date,mean/sum,min,max,%complete,comments
Air Temperature,22/03/2010,7.88,6.1,10.2,100,
Air Temperature,23/03/2010,7.98,5.6,10.0,100,
Air Temperature,24/03/2010,8.99,8.4,9.4,100,
Air Temperature,25/03/2010,8.48,4.7,10.6,100,
Air Temperature,26/03/2010,7.25,5.8,8.5,100,
Air Temperature,27/03/2010,6.93,5.6,8.3,100,
Air Temperature,28/03/2010,6.41,4.6,9.7,100,
Air Temperature,29/03/2010,7.47,4.3,9.4,100,
Air Temperature,30/03/2010,4.98,1.7,8.1,100,
Air Temperature,31/03/2010,1.62,1.3,2.3,100,
Air Temperature,01/04/2010,3.59,1.9,5.9,100,
Air Temperature,02/04/2010,6.09,3.8,8.4,100,
Air Temperature,03/04/2010,6.03,3.9,8.6,100,
Air Temperature,04/04/2010,5.97,4.5,8.3,100,
Air Temperature,05/04/2010,8.44,5.9,10.1,100,
Air Temperature,06/04/2010,8.77,6.3,12.0,100,
Air Temperature,07/04/2010,6.68,3.4,9.5,100,
Air Temperature,08/04/2010,8.11,4.0,13.3,100,
Air Temperature,09/04/2010,9.89,5.9,14.7,100,
Air Temperature,10/04/2010,12.15,8.7,16.5,100,
Air Temperature,11/04/2010,8.88,4.9,12.3,100,
Air Temperature,12/04/2010,6.53,2.5,11.7,100,
Air Temperature,13/04/2010,6.92,2.8,11.7,100,
Air Temperature,14/04/2010,5.7,2.8,9.9,100,
Air Temperature,15/04/2010,6.0,1.5,11.0,100,
Air Temperature,16/04/2010,6.8,2.7,10.8,100,
Air Temperature,17/04/2010,9.28,4.7,16.0,100,
Air Temperature,18/04/2010,8.6,4.6,13.2,100,
Air Temperature,19/04/2010,7.15,4.2,11.0,100,
Air Temperature,20/04/2010,4.52,2.1,7.6,100,
Air Temperature,21/04/2010,4.06,0.2,9.0,100,
Air Temperature,22/04/2010,6.24,1.8,12.0,100,
Air Temperature,23/04/2010,8.95,4.3,14.3,100,
Air Temperature,24/04/2010,10.95,6.1,16.9,100,
Air Temperature,25/04/2010,9.16,8.1,10.3,100,
Air Temperature,26/04/2010,9.45,7.7,12.7,100,
Air Temperature,27/04/2010,10.48,6.2,14.7,100,
Air Temperature,28/04/2010,12.4,8.9,16.8,100,
Air Temperature,29/04/2010,8.24,5.6,10.4,100,
Air Temperature,30/04/2010,7.19,5.9,9.1,100,
Air Temperature,01/05/2010,6.83,4.9,10.0,100,
Air Temperature,02/05/2010,5.05,3.0,7.0,100,
Air Temperature,03/05/2010,4.64,0.0,8.8,100,
Air Temperature,04/05/2010,5.91,1.4,9.3,100,
Air Temperature,05/05/2010,6.76,3.9,8.8,100,
Air Temperature,06/05/2010,8.2,6.4,11.3,100,
Air Temperature,07/05/2010,5.7,3.2,9.2,100,
Air Temperature,08/05/2010,5.05,3.5,6.8,100,
Air Temperature,09/05/2010,6.64,2.2,10.7,100,
Air Temperature,10/05/2010,6.0,4.2,8.8,100,
Air Temperature,11/05/2010,4.26,0.7,6.5,100,
Air Temperature,12/05/2010,3.52,0.2,6.9,100,
Air Temperature,13/05/2010,5.69,1.8,9.8,100,
Air Temperature,14/05/2010,5.16,3.3,7.4,100,
Air Temperature,15/05/2010,7.09,3.8,10.9,100,
Air Temperature,16/05/2010,7.28,4.4,10.6,100,
Air Temperature,17/05/2010,8.01,4.4,11.7,100,
Air Temperature,18/05/2010,10.15,5.2,15.5,100,
Air Temperature,19/05/2010,9.48,7.3,11.5,100,
Air Temperature,20/05/2010,13.67,10.4,18.3,100,
Air Temperature,21/05/2010,17.17,13.1,21.0,100,
Air Temperature,22/05/2010,18.09,13.5,22.1,100,
Air Temperature,23/05/2010,18.53,14.1,23.6,100,
Air Temperature,24/05/2010,16.4,10.3,21.2,100,
Air Temperature,25/05/2010,12.19,8.1,16.7,100,
Air Temperature,26/05/2010,9.2,6.5,12.5,100,
Air Temperature,27/05/2010,7.18,3.6,10.1,100,
Air Temperature,28/05/2010,8.45,6.1,11.2,100,
Air Temperature,29/05/2010,9.33,7.4,11.8,100,
Air Temperature,30/05/2010,10.01,7.9,11.8,100,
Air Temperature,31/05/2010,12.65,7.5,20.6,100,
Air Temperature,01/06/2010,10.53,9.1,11.8,100,
Air Temperature,02/06/2010,17.3,8.4,27.7,100,
Air Temperature,03/06/2010,18.84,13.0,24.8,100,
Air Temperature,04/06/2010,18.05,10.7,25.2,100,
Air Temperature,05/06/2010,15.78,11.5,23.0,100,
Air Temperature,06/06/2010,11.91,10.3,14.6,100,
Air Temperature,07/06/2010,11.14,9.6,13.2,100,
Air Temperature,08/06/2010,12.85,10.6,16.5,100,
Air Temperature,09/06/2010,13.2,11.9,15.9,100,
Air Temperature,10/06/2010,12.37,10.3,14.0,100,
Air Temperature,11/06/2010,15.96,10.5,23.6,100,
Air Temperature,12/06/2010,14.97,10.2,23.0,100,
Air Temperature,13/06/2010,13.1,10.0,19.8,100,
Air Temperature,14/06/2010,12.08,9.7,15.0,100,
Air Temperature,15/06/2010,12.53,8.4,17.1,100,
Air Temperature,16/06/2010,15.63,8.9,22.2,100,
Air Temperature,17/06/2010,16.81,10.1,23.1,100,
Air Temperature,18/06/2010,15.5,11.7,21.3,100,
Air Temperature,19/06/2010,11.12,8.0,15.1,100,
Air Temperature,20/06/2010,12.31,7.1,16.4,100,
Air Temperature,21/06/2010,15.25,10.0,21.1,100,
Air Temperature,22/06/2010,14.25,9.3,19.1,100,
Air Temperature,23/06/2010,14.21,9.9,18.7,100,
Air Temperature,24/06/2010,14.38,10.2,18.1,100,
Air Temperature,25/06/2010,15.16,9.7,20.6,100,
Air Temperature,26/06/2010,17.74,13.3,22.3,100,
Air Temperature,27/06/2010,15.8,12.2,19.7,100,
Air Temperature,28/06/2010,14.23,11.9,19.2,100,
