period,status,sex,age,population
2011-09-30,F,female,45-49,165160.0
2011-09-30,F,female,5-9,142040.0
2011-09-30,F,female,50-54,155000.0
2011-09-30,F,female,55-59,133340.0
2011-09-30,F,female,60-64,121550.0
2011-09-30,F,female,65-69,93410.0
2011-09-30,F,female,65+,317200.0
2011-09-30,F,female,70-74,75870.0
2011-09-30,F,female,75-79,55870.0
2011-09-30,F,female,80-84,45710.0
2011-09-30,F,female,85-89,29890.0
2011-09-30,F,female,90+,16460.0
2011-09-30,F,female,median,38.04
2011-09-30,F,female,total,2244650.0
2011-12-31,F,female,0-14,443400.0
2011-12-31,F,female,0-4,154300.0
2011-12-31,F,female,10-14,146880.0
2011-12-31,F,female,15-19,153540.0
2011-12-31,F,female,15-39,741200.0
2011-12-31,F,female,20-24,154280.0
2011-12-31,F,female,25-29,141420.0
2011-12-31,F,female,30-34,140160.0
2011-12-31,F,female,35-39,151780.0
2011-12-31,F,female,40-44,166600.0
2011-12-31,F,female,40-64,743300.0
2011-12-31,F,female,45-49,164920.0
2011-12-31,F,female,5-9,142190.0
2011-12-31,F,female,50-54,155860.0
2011-12-31,F,female,55-59,134380.0
2011-12-31,F,female,60-64,121550.0
2011-12-31,F,female,65-69,95080.0
2011-12-31,F,female,65+,320400.0
2011-12-31,F,female,70-74,76800.0
2011-12-31,F,female,75-79,56250.0
2011-12-31,F,female,80-84,45720.0
2011-12-31,F,female,85-89,29910.0
2011-12-31,F,female,90+,16660.0
2011-12-31,F,female,median,38.13
2011-12-31,F,female,total,2248290.0
2012-03-31,F,female,0-14,443600.0
2012-03-31,F,female,0-4,154080.0
2012-03-31,F,female,10-14,146660.0
2012-03-31,F,female,15-19,153110.0
2012-03-31,F,female,15-39,740100.0
2012-03-31,F,female,20-24,154810.0
2012-03-31,F,female,25-29,141180.0
2012-03-31,F,female,30-34,140360.0
2012-03-31,F,female,35-39,150610.0
2012-03-31,F,female,40-44,166530.0
2012-03-31,F,female,40-64,744600.0
2012-03-31,F,female,45-49,164410.0
2012-03-31,F,female,5-9,142830.0
2012-03-31,F,female,50-54,156850.0
2012-03-31,F,female,55-59,135240.0
2012-03-31,F,female,60-64,121550.0
2012-03-31,F,female,65-69,96590.0
2012-03-31,F,female,65+,323600.0
2012-03-31,F,female,70-74,77730.0
2012-03-31,F,female,75-79,56570.0
2012-03-31,F,female,80-84,45700.0
2012-03-31,F,female,85-89,30060.0
2012-03-31,F,female,90+,16930.0
2012-03-31,F,female,median,38.2
2012-03-31,F,female,total,2251800.0
2012-06-30,F,female,0-14,443300.0
2012-06-30,F,female,0-4,153640.0
2012-06-30,F,female,10-14,146110.0
2012-06-30,F,female,15-19,153000.0
2012-06-30,F,female,15-39,737300.0
2012-06-30,F,female,20-24,154300.0
2012-06-30,F,female,25-29,140570.0
2012-06-30,F,female,30-34,140280.0
2012-06-30,F,female,35-39,149150.0
2012-06-30,F,female,40-44,166740.0
2012-06-30,F,female,40-64,746400.0
2012-06-30,F,female,45-49,163590.0
2012-06-30,F,female,5-9,143580.0
2012-06-30,F,female,50-54,158090.0
2012-06-30,F,female,55-59,136040.0
2012-06-30,F,female,60-64,121900.0
2012-06-30,F,female,65-69,97740.0
2012-06-30,F,female,65+,326100.0
2012-06-30,F,female,70-74,78530.0
2012-06-30,F,female,75-79,56910.0
2012-06-30,F,female,80-84,45760.0
2012-06-30,F,female,85-89,30080.0
2012-06-30,F,female,90+,17040.0
2012-06-30,F,female,median,38.29
2012-06-30,F,female,total,2253060.0
2012-09-30,F,female,0-14,443300.0
2012-09-30,F,female,0-4,153320.0
2012-09-30,F,female,10-14,145790.0
2012-09-30,F,female,15-19,153030.0
2012-09-30,F,female,15-39,737100.0
2012-09-30,F,female,20-24,154810.0
2012-09-30,F,female,25-29,140970.0
2012-09-30,F,female,30-34,140360.0
2012-09-30,F,female,35-39,147970.0
2012-09-30,F,female,40-44,166940.0
2012-09-30,F,female,40-64,748200.0
2012-09-30,F,female,45-49,163140.0
2012-09-30,F,female,5-9,144170.0
2012-09-30,F,female,50-54,158910.0
2012-09-30,F,female,55-59,137050.0
2012-09-30,F,female,60-64,122150.0
2012-09-30,F,female,65-69,99460.0
2012-09-30,F,female,65+,328500.0
2012-09-30,F,female,70-74,79100.0
2012-09-30,F,female,75-79,57210.0
2012-09-30,F,female,80-84,45710.0
2012-09-30,F,female,85-89,30020.0
2012-09-30,F,female,90+,17030.0
2012-09-30,F,female,median,38.35
2012-09-30,F,female,total,2257130.0
2012-12-31,F,female,0-14,443100.0
2012-12-31,F,female,0-4,153040.0
2012-12-31,F,female,10-14,145180.0
2012-12-31,F,female,15-19,152620.0
2012-12-31,F,female,15-39,737100.0
2012-12-31,F,female,20-24,155160.0
2012-12-31,F,female,25-29,141550.0
2012-12-31,F,female,30-34,141060.0
2012-12-31,F,female,35-39,146750.0
2012-12-31,F,female,40-44,167020.0
2012-12-31,F,female,40-64,750000.0
2012-12-31,F,female,45-49,162670.0
2012-12-31,F,female,5-9,144920.0
2012-12-31,F,female,50-54,159820.0
2012-12-31,F,female,55-59,137830.0
2012-12-31,F,female,60-64,122670.0
2012-12-31,F,female,65-69,101530.0
2012-12-31,F,female,65+,331700.0
2012-12-31,F,female,70-74,79410.0
2012-12-31,F,female,75-79,57750.0
2012-12-31,F,female,80-84,45910.0
2012-12-31,F,female,85-89,30030.0
2012-12-31,F,female,90+,17110.0
2012-12-31,F,female,median,38.42
2012-12-31,F,female,total,2262030.0
2013-03-31,F,female,0-14,443100.0
2013-03-31,F,female,0-4,152380.0
2013-03-31,F,female,10-14,144800.0
2013-03-31,F,female,15-19,152500.0
2013-03-31,F,female,15-39,737500.0
2013-03-31,F,female,20-24,155720.0
2013-03-31,F,female,25-29,141990.0
2013-03-31,F,female,30-34,141510.0
2013-03-31,F,female,35-39,145790.0
2013-03-31,F,female,40-44,166890.0
2013-03-31,F,female,40-64,751500.0
2013-03-31,F,female,45-49,162000.0
2013-03-31,F,female,5-9,145900.0
2013-03-31,F,female,50-54,161050.0
2013-03-31,F,female,55-59,138680.0
