year,resource,variable,units,magnitude,source,data_value,flag
2011.0,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,1929148.0,R
2011.0,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,285922.0,R
2011.0,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,132904.0,R
2011.0,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,9568100.0,R
2011.0,Hydro,Generation,Gigawatt hours,Actual,MBIE,24931.0,R
2011.0,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.57,F
2011.0,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,9991724.0,R
2011.0,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,-423625.0,R
2011.0,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,574086.0,R
2011.0,Oil,Generation,Gigawatt hours,Actual,MBIE,1.0,F
2011.0,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,1.2624306E7,R
2011.0,Renewable,Generation,Gigawatt hours,Actual,MBIE,32895.0,R
2011.0,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.76,F
2011.0,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,1.2811765E7,R
2011.0,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,-187459.0,R
2011.0,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,757458.0,R
2011.0,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.76,F
2011.0,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,1483.0,R
2011.0,Solar,Generation,Gigawatt hours,Actual,MBIE,4.0,F
2011.0,Solar,Gigawatt hours,Number,Proportion,MBIE,0.0,F
2011.0,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,1492.0,R
2011.0,Solar,Other changes,Dollars,Thousands,Environmental Accounts,-9.0,R
2011.0,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,89.0,R
2011.0,Total generation,Generation,Gigawatt hours,Actual,MBIE,43443.0,R
2011.0,Total generation,Prices,Number,Average,Electricity Authority,52.0,F
2011.0,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1000346.0,R
2011.0,Waste heat,Generation,Gigawatt hours,Actual,MBIE,59.0,F
2011.0,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,629174.0,R
2011.0,Wind,Generation,Gigawatt hours,Actual,MBIE,1639.0,F
2011.0,Wind,Gigawatt hours,Number,Proportion,MBIE,0.04,F
2011.0,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,650783.0,R
2011.0,Wind,Other changes,Dollars,Thousands,Environmental Accounts,-21610.0,R
2011.0,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,37750.0,R
2011.0,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,127882.0,R
2011.0,Wood,Generation,Gigawatt hours,Actual,MBIE,333.0,F
2011.0,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2011.0,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,147515.0,R
2011.0,Wood,Other changes,Dollars,Thousands,Environmental Accounts,-19633.0,R
2011.0,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,7673.0,R
2012.0,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,91659.0,R
2012.0,Biogas,Generation,Gigawatt hours,Actual,MBIE,219.0,F
2012.0,Biogas,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2012.0,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,82598.0,R
2012.0,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,9061.0,R
2012.0,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5500.0,R
2012.0,Coal,Generation,Gigawatt hours,Actual,MBIE,2327.0,F
2012.0,Gas,Generation,Gigawatt hours,Actual,MBIE,8316.0,R
2012.0,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,2437685.0,R
2012.0,Geothermal,Generation,Gigawatt hours,Actual,MBIE,5832.0,F
2012.0,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.14,F
2012.0,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,2215070.0,R
2012.0,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,222616.0,R
2012.0,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,146261.0,R
2012.0,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,9994753.0,R
2012.0,Hydro,Generation,Gigawatt hours,Actual,MBIE,23913.0,R
2012.0,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.56,F
2012.0,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,9568100.0,R
2012.0,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,426654.0,R
2012.0,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,599685.0,R
2012.0,Oil,Generation,Gigawatt hours,Actual,MBIE,2.0,F
2012.0,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,1.3511024E7,R
2012.0,Renewable,Generation,Gigawatt hours,Actual,MBIE,32326.0,R
2012.0,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.75,F
2012.0,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,1.2624306E7,R
2012.0,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,886717.0,R
2012.0,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,810661.0,R
2012.0,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.75,F
2012.0,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,1780.0,R
2012.0,Solar,Generation,Gigawatt hours,Actual,MBIE,4.0,F
2012.0,Solar,Gigawatt hours,Number,Proportion,MBIE,0.0,F
2012.0,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,1483.0,R
2012.0,Solar,Other changes,Dollars,Thousands,Environmental Accounts,297.0,R
2012.0,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,107.0,R
2012.0,Total generation,Generation,Gigawatt hours,Actual,MBIE,43014.0,R
2012.0,Total generation,Prices,Number,Average,Electricity Authority,75.0,F
2012.0,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1078676.0,R
2012.0,Waste heat,Generation,Gigawatt hours,Actual,MBIE,42.0,F
2012.0,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,837255.0,R
2012.0,Wind,Generation,Gigawatt hours,Actual,MBIE,2003.0,F
2012.0,Wind,Gigawatt hours,Number,Proportion,MBIE,0.05,F
2012.0,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,629174.0,R
2012.0,Wind,Other changes,Dollars,Thousands,Environmental Accounts,208081.0,R
2012.0,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,50235.0,R
2012.0,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,147892.0,R
2012.0,Wood,Generation,Gigawatt hours,Actual,MBIE,354.0,F
2012.0,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2012.0,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,127882.0,R
2012.0,Wood,Other changes,Dollars,Thousands,Environmental Accounts,20010.0,R
2012.0,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,8874.0,R
2013.0,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,89692.0,R
2013.0,Biogas,Generation,Gigawatt hours,Actual,MBIE,208.0,F
2013.0,Biogas,Gigawatt hours,Number,Proportion,MBIE,0.0,F
2013.0,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,91659.0,R
2013.0,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,-1967.0,R
2013.0,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5382.0,R
2013.0,Coal,Generation,Gigawatt hours,Actual,MBIE,3248.0,F
2013.0,Gas,Generation,Gigawatt hours,Actual,MBIE,8335.0,R
2013.0,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,2501124.0,R
2013.0,Geothermal,Generation,Gigawatt hours,Actual,MBIE,5797.0,R
2013.0,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.14,F
2013.0,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,2437685.0,R
2013.0,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,63439.0,R
2013.0,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,150067.0,R
2013.0,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,9798124.0,R
2013.0,Hydro,Generation,Gigawatt hours,Actual,MBIE,22710.0,R
2013.0,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.53,F
2013.0,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,9994753.0,R
2013.0,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,-196630.0,R
2013.0,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,587887.0,R
2013.0,Oil,Generation,Gigawatt hours,Actual,MBIE,5.0,F
2013.0,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,1.3410148E7,R
2013.0,Renewable,Generation,Gigawatt hours,Actual,MBIE,31082.0,R
2013.0,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.73,F
2013.0,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,1.3511024E7,R
2013.0,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,-100876.0,R
2013.0,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,804609.0,R
2013.0,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.73,F
2013.0,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,2153.0,R
2013.0,Solar,Generation,Gigawatt hours,Actual,MBIE,5.0,F
2013.0,Solar,Gigawatt hours,Number,Proportion,MBIE,0.0,F
2013.0,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,1780.0,R
2013.0,Solar,Other changes,Dollars,Thousands,Environmental Accounts,374.0,R
2013.0,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,129.0,F
2013.0,Total generation,Generation,Gigawatt hours,Actual,MBIE,42703.0,R
2013.0,Total generation,Prices,Number,Average,Electricity Authority,81.0,F
2013.0,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1105427.0,R
2013.0,Waste heat,Generation,Gigawatt hours,Actual,MBIE,33.0,F
2013.0,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,861885.0,R
2013.0,Wind,Generation,Gigawatt hours,Actual,MBIE,1998.0,F
2013.0,Wind,Gigawatt hours,Number,Proportion,MBIE,0.05,F
2013.0,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,837255.0,R
2013.0,Wind,Other changes,Dollars,Thousands,Environmental Accounts,24630.0,R
2013.0,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,51713.0,R
2013.0,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,157169.0,R
