countrycode,countryname,year,SH_UHC_NOP1_CG,SH_UHC_NOP1_TO,SH_UHC_NOP1_ZG,SH_UHC_NOP1_ZS,SH_UHC_NOP2_CG,SH_UHC_NOP2_TO,SH_UHC_NOP2_ZG,SH_UHC_NOP2_ZS,SH_UHC_OOPC_10_TO,SH_UHC_OOPC_10_ZS,SH_UHC_OOPC_25_TO,SH_UHC_OOPC_25_ZS,SH_UHC_SRVS_CV_XD
AZE,Azerbaijan,2005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682000.0,8.121864318847656,92000.0,1.097877025604248,NaN
BDI,Burundi,2006.0,0.0322705991566181,157000.0,1.698449969291687,2.0450708866119385,0.049677699804306,79000.0,1.6025099754333496,1.027245044708252,1153000.0,15.02808952331543,326000.0,4.249849796295166,NaN
BEL,Belgium,1997.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,494000.0,4.849841117858887,20000.0,0.1982872933149337,NaN
BEL,Belgium,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1247000.0,11.447440147399902,152000.0,1.3944989442825315,NaN
BEN,Benin,2003.0,0.0295620001852512,232000.0,1.5558899641036987,3.089016914367676,0.0611989013850688,153000.0,1.9741599559783936,2.0396740436553955,835000.0,11.10616970062256,64000.0,0.8519026041030884,NaN
BFA,Burkina Faso,1998.0,0.028405899181962,193000.0,1.4950499534606934,1.7605220079421997,0.0431700982153415,93000.0,1.392590045928955,0.8440185189247131,1205000.0,10.983980178833008,406000.0,3.6972060203552246,NaN
BFA,Burkina Faso,2003.0,0.0234516002237796,219000.0,1.2342900037765503,1.7293850183486938,0.0395178012549877,125000.0,1.2747700214385986,0.9862467050552368,1070000.0,8.455084800720215,298000.0,2.3570330142974854,NaN
BFA,Burkina Faso,2009.0,0.0154592003673315,174000.0,0.8136399984359741,1.151859998703003,0.0270362999290227,140000.0,0.8721399903297424,0.9260870814323424,533000.0,3.522134065628052,95000.0,0.6247137188911438,NaN
BGD,Bangladesh,2000.0,0.0862485989928245,7182000.0,4.539400100708008,5.458576202392578,0.137760505080223,4290000.0,4.44389009475708,3.26021409034729,1.95E7,14.84434986114502,6271000.0,4.765644073486328,NaN
BGD,Bangladesh,2005.0,0.0689603984355926,6616000.0,3.6294898986816406,4.612491130828857,0.1247631013393402,5499000.0,4.024620056152344,3.833725929260254,1.81E7,12.642290115356444,6120000.0,4.267082214355469,NaN
