Région,Portail,Type,Date,Nombre dannonces
NORMANDIE,BELLES DEMEURES,VENTE,2018-05,836.0
NORMANDIE,BELLES DEMEURES,VENTE,2018-06,807.0
NORMANDIE,PROPRIETES LE FIGARO,VENTE,2018-04,1063.0
NORMANDIE,PROPRIETES LE FIGARO,VENTE,2018-05,1106.0
NORMANDIE,PROPRIETES LE FIGARO,VENTE,2018-06,1161.0
NORMANDIE,LUX RESIDENCE,VENTE,2018-04,499.0
NORMANDIE,LUX RESIDENCE,VENTE,2018-05,482.0
NORMANDIE,LUX RESIDENCE,VENTE,2018-06,492.0
NOUVELLE ACQUITAINE,LE FIGARO IMMO,VENTE,2018-04,48352.0
NOUVELLE ACQUITAINE,LE FIGARO IMMO,VENTE,2018-05,46772.0
NOUVELLE ACQUITAINE,LE FIGARO IMMO,VENTE,2018-06,48299.0
NOUVELLE ACQUITAINE,LE BON COIN,VENTE,2018-04,106672.0
NOUVELLE ACQUITAINE,LE BON COIN,VENTE,2018-05,106866.0
NOUVELLE ACQUITAINE,LE BON COIN,VENTE,2018-06,108506.0
NOUVELLE ACQUITAINE,LOGIC IMMO,VENTE,2018-04,62575.0
NOUVELLE ACQUITAINE,LOGIC IMMO,VENTE,2018-05,61539.0
NOUVELLE ACQUITAINE,LOGIC IMMO,VENTE,2018-06,61133.0
NOUVELLE ACQUITAINE,PARU VENDU,VENTE,2018-04,51411.0
NOUVELLE ACQUITAINE,PARU VENDU,VENTE,2018-05,51400.0
NOUVELLE ACQUITAINE,PARU VENDU,VENTE,2018-06,51906.0
NOUVELLE ACQUITAINE,SE LOGER,VENTE,2018-04,91524.0
NOUVELLE ACQUITAINE,SE LOGER,VENTE,2018-05,90627.0
NOUVELLE ACQUITAINE,SE LOGER,VENTE,2018-06,90884.0
NOUVELLE ACQUITAINE,BIEN ICI,VENTE,2018-04,48005.0
NOUVELLE ACQUITAINE,BIEN ICI,VENTE,2018-05,49036.0
NOUVELLE ACQUITAINE,BIEN ICI,VENTE,2018-06,48803.0
NOUVELLE ACQUITAINE,A VENDRE A LOUER,VENTE,2018-04,91065.0
NOUVELLE ACQUITAINE,A VENDRE A LOUER,VENTE,2018-05,92109.0
NOUVELLE ACQUITAINE,A VENDRE A LOUER,VENTE,2018-06,94362.0
NOUVELLE ACQUITAINE,BELLES DEMEURES,VENTE,2018-04,3996.0
NOUVELLE ACQUITAINE,BELLES DEMEURES,VENTE,2018-05,4005.0
NOUVELLE ACQUITAINE,BELLES DEMEURES,VENTE,2018-06,4085.0
NOUVELLE ACQUITAINE,PROPRIETES LE FIGARO,VENTE,2018-04,3351.0
NOUVELLE ACQUITAINE,PROPRIETES LE FIGARO,VENTE,2018-05,3471.0
NOUVELLE ACQUITAINE,PROPRIETES LE FIGARO,VENTE,2018-06,3637.0
NOUVELLE ACQUITAINE,LUX RESIDENCE,VENTE,2018-04,2531.0
NOUVELLE ACQUITAINE,LUX RESIDENCE,VENTE,2018-05,2482.0
NOUVELLE ACQUITAINE,LUX RESIDENCE,VENTE,2018-06,2545.0
OCCITANIE,LE FIGARO IMMO,VENTE,2018-04,52253.0
OCCITANIE,LE FIGARO IMMO,VENTE,2018-05,50407.0
OCCITANIE,LE FIGARO IMMO,VENTE,2018-06,50445.0
OCCITANIE,LE BON COIN,VENTE,2018-04,117394.0
OCCITANIE,LE BON COIN,VENTE,2018-05,115935.0
OCCITANIE,LE BON COIN,VENTE,2018-06,116291.0
OCCITANIE,LOGIC IMMO,VENTE,2018-04,79315.0
OCCITANIE,LOGIC IMMO,VENTE,2018-05,77148.0
OCCITANIE,LOGIC IMMO,VENTE,2018-06,76692.0
OCCITANIE,PARU VENDU,VENTE,2018-04,59093.0
OCCITANIE,PARU VENDU,VENTE,2018-05,59261.0
OCCITANIE,PARU VENDU,VENTE,2018-06,59577.0
OCCITANIE,SE LOGER,VENTE,2018-04,105030.0
OCCITANIE,SE LOGER,VENTE,2018-05,102802.0
OCCITANIE,SE LOGER,VENTE,2018-06,102447.0
OCCITANIE,BIEN ICI,VENTE,2018-04,65204.0
OCCITANIE,BIEN ICI,VENTE,2018-05,64688.0
OCCITANIE,BIEN ICI,VENTE,2018-06,64786.0
OCCITANIE,A VENDRE A LOUER,VENTE,2018-04,98685.0
OCCITANIE,A VENDRE A LOUER,VENTE,2018-05,98526.0
OCCITANIE,A VENDRE A LOUER,VENTE,2018-06,100031.0
OCCITANIE,BELLES DEMEURES,VENTE,2018-04,3381.0
OCCITANIE,BELLES DEMEURES,VENTE,2018-05,3398.0
OCCITANIE,BELLES DEMEURES,VENTE,2018-06,3418.0
OCCITANIE,PROPRIETES LE FIGARO,VENTE,2018-04,3674.0
OCCITANIE,PROPRIETES LE FIGARO,VENTE,2018-05,3772.0
OCCITANIE,PROPRIETES LE FIGARO,VENTE,2018-06,3813.0
OCCITANIE,LUX RESIDENCE,VENTE,2018-04,2973.0
OCCITANIE,LUX RESIDENCE,VENTE,2018-05,2928.0
OCCITANIE,LUX RESIDENCE,VENTE,2018-06,2978.0
PAYS DE LA LOIRE,LE FIGARO IMMO,VENTE,2018-04,31699.0
PAYS DE LA LOIRE,LE FIGARO IMMO,VENTE,2018-05,26204.0
