annee,commune_code_insee,id_salle,nom,adresse,code_postal,commune,notation,libelle_notation,direction_artistique,personnel_administratif_technique,scene,loges,regie,site_internet,proprietaire,exploitant,jauge_debout,jauge_assis,jauge_PV,lat,long,accessibilite,hauteur_utile
2013,56053,C_56053100,Le Carré d'Arts,Avenue des Martyrs de la Résistance,56250,Elven,6,salle de spectacle,Oui,Oui,Oui,"1 loge collective avec miroir, lavabo, 2 douches et 2 WC. Des locaux au sous-sol avec WC et douche servent également de loges.",1 régie vitrée en fond de salle. Possibilité de l'installer en salle en retirant 6 sièges.,www.elven.fr,Commune,Commune,550,280,567,"47,74","-2,58478",Salle et scène accessibles aux personnes à mobilité réduite,"4,90m"
2013,56054,C_56054100,Salle polyvalente,Rue du grand large,56410,Erdeven,1,salle non équipée,Non,Non,Oui,,,www.ville-erdeven.com,Commune,Commune,471,471,nc,"47,64","-3,16326",Salle accessible aux personnes à mobilité réduite,"11,00m"
2013,56055,C_56055100,Cinéma La Rivière,11 boulevard du Général de Gaulle,56410,Etel,3,salle peu équipée,Non,Oui,Oui,,1 régie de cinéma,www.mairie-etel.com,Commune,Association Le Quai des Dunes,non,208,275,"47,66","-3,20229",Salle accessible aux personnes à mobilité réduite,"4,40m"
2013,56055,C_56055101,La Criée,Place des thoniers,56410,Etel,0,salle non équipée,Non,Non,Non,,,www.mairie-etel.com,Sagemore,Commune,nc,nc,nc,"47,66","-3,20725",Salle accessible aux personnes à mobilité réduite,"4,60m"
2013,56055,C_56055102,Salle des fêtes,13 boulevard du Général de Gaulle,56410,Etel,1,salle non équipée,Non,Non,Oui,,,www.mairie-etel.com,Commune,Commune,nc,240,390,"47,65","-3,20215",Salle accessible aux personnes à mobilité réduite,"2,40m"
2013,56056,C_56056100,Salle communale,Rue des Chênes,56490,Evriguet,1,salle non équipée,Non,Non,Non,,,,Commune,Commune,110,110,130,"48,08","-2,40944",Salle accessible aux personnes à mobilité réduite,"3,10m"
2013,56057,C_56057100,Salle polyvalente,Rue des Ecoles,56320,Le Faouët,5,salle de spectacle multifonctions,Non,Non,Oui,"2 loges, 1 à jardin et 1 à cour, avec WC et douches pour celle qui est à cour",,www.lefaouet.com,Commune,Commune,880,450,nc,"48,03","-3,48942",Salle accessible aux personnes à mobilité réduite,"4,00m"
2013,56058,C_56058100,Salle polyvalente,Route d'Assérac,56130,Férel,5,salle de spectacle multifonctions,Non,Non,Oui,"1 loge avec l'accès à la scène côté jardin avec accès extérieur, WC, lavabo et miroirs.",,www.mairie-ferel.fr,Commune,Commune,370,265,nc,"47,48","-2,34727",Salle accessible aux personnes à mobilité réduite,"3,60m"
2013,56059,C_56059100,Salle polyvalente,10 place de la Mairie,56120,Les Forges,1,salle non équipée,Non,Non,Podium,,,,Commune,Commune,280,250,290,"48,01742","-2,64648",Salle accessible aux personnes à mobilité réduite,"4,00m"
2013,56060,C_56060100,Salle polyvalente,15 rue de l'Oust,56200,Les Fougerêts,3,salle peu équipée,Non,Non,Podium,,, ,Commune,Commune,180,170,nc,"47,74","-2,21253",Salle accessible aux personnes à mobilité réduite,"3,40m"
