Code,communes 2016,part des résidences principales - 2008,nb rés. principales construites avant 2004 - 2008,nb rés. principales construites avant 1949 - 2008,nb rés. princ. construites de 1949 à 1974 - 2008,nb rés. princ. construites de 1975 à 1989 - 2008,nb rés. princ. construites de 1990 à 2003 - 2008,part rés. princ. construites avant 2004 - 2008,part rés. princ. construites avant 1949 - 2008,part rés. princ. construites de 1949 à 1974 - 2008,part rés. princ. construites de 1975 à 1989 - 2008,part rés. princ. construites de 1990 à 2003 - 2008
4240,VILLARS-COLMARS,"21,2","111,86521","36,701222","22,549197","36,642445","15,972348","95,2","31,2","19,2","31,2","13,6"
4241,VILLEMUS,"60,6","66,105263","25,822368","6,197368","14,460526","19,625",97,"37,9","9,1","21,2","28,8"
4242,VILLENEUVE,"87,5","1280,038477","137,066067","236,750479","495,02373","411,198201","95,7","10,2","17,7",37,"30,7"
4244,VOLONNE,"78,5","738,198398","256,897104","181,75724","169,572397","129,971657","99,2","34,5","24,4","22,8","17,5"
4245,VOLX,"89,6","1259,8857","334,641168","379,157724","323,172608","222,9142","99,8","26,5",30,"25,6","17,6"
5001,ABRIES,"26,6","156,068879","22,151712","61,420655","47,324112","25,1724","97,5","13,8","38,4","29,6","15,7"
5003,AIGUILLES,"31,3","159,342385","51,523885","26,716088","55,340469","25,761942",96,31,"16,1","33,3","15,5"
5004,ANCELLE,"23,8",334,57,104,86,87,"89,1","15,2","27,7","22,9","23,2"
5006,L'ARGENTIERE-LA-BESSEE,76,"963,758748","260,046055","389,871475","197,410259","116,430959","98,4","26,6","39,8","20,2","11,9"
5007,ARVIEUX,"24,4","165,12","57,6","19,2","54,72","33,6",93,"32,4","10,8","30,8","18,9"
5008,ASPREMONT,"49,5","135,306122","33,306122","33,306122","42,673469","26,020408",100,"24,6","24,6","31,5","19,2"
5009,ASPRES-LES-CORPS,"45,4","56,577778","24,814815","10,918519","10,918519","9,925926","96,6","42,4","18,6","18,6","16,9"
5010,ASPRES-SUR-BUECH,"66,5","354,817287","113,128279","97,662326","88,929227","55,097456","96,8","30,9","26,7","24,3",15
5011,AVANCON,"75,9","137,782857","47,268571","32,182857","23,131429","35,2","98,6","33,8",23,"16,5","25,2"
5012,BARATIER,"48,9","215,421569","39,076471","32,062745","75,147059","69,135294",90,"16,3","13,4","31,4","28,9"
5013,BARCILLONNETTE,"59,9","54,437176","25,202396","1,008096","11,089054","17,13763","96,4","44,6","1,8","19,6","30,4"
5014,BARRET-SUR-MEOUGE,"53,2","89,963262","33,247292","28,357985","19,557231","8,800754","97,9","36,2","30,9","21,3","9,6"
5016,LA BATIE-MONTSALEON,"48,7","89,974445","28,580118","12,702275","25,404549","23,287504","94,4",30,"13,3","26,7","24,4"
5017,LA BATIE-NEUVE,"85,5","781,773209","112,446831","108,163143","273,085162","288,078073","99,5","14,3","13,8","34,7","36,6"
5018,LA BATIE-VIEILLE,"87,1","99,294964","20,244604","8,676259","42,417266","27,956835","88,8","18,1","7,8","37,9",25
5019,LA BEAUME,"40,5","76,515071","49,685111","8,94332","13,911831","3,974809","96,3","62,5","11,3","17,5",5
5021,LE BERSAC,"71,2","65,259395","29,663361","12,854123","8,899008","13,842902",93,"42,3","18,3","12,7","19,7"
5022,BREZIERS,"77,5","67,899281","45,266187","6,172662","8,230216","8,230216","97,1","64,7","8,8","11,8","11,8"
5023,BRIANCON,"59,9","4702,864583","915,109756","1675,659858","1235,034668","877,060301","97,4",19,"34,7","25,6","18,2"
5024,BRUIS,"45,2",28,14,4,3,7,100,50,"14,3","10,7",25
