concept,motcle,champlexical
lecture (cours/atelier),lecture,
lithothérapie (cours/atelier),lithothérapie,
maquillage (cours/atelier),maquillage,
massage russe (cours/atelier),massage russe,bien-être
massues (cours/atelier),massues,
match,match,
médiation (service),médiation,bien-être
minibasket (pratique collective),minibasket,"sport collectif, ballon"
minicross (pratique collective),minicross,
modélisme (cours/atelier),modélisme,
monopoly (pratique collective),monopoly,"jeux de société, jeux de plateaux"
musique baroque (cours/atelier),musique baroque,
orchestre d’harmonie (pratique collective),orchestre d’harmonie,"musique, orchestre, instrument"
patinage de vitesse (cours/atelier),patinage de vitesse,
permanence,permanence,
pétanque (pratique collective),pétanque,
piano (cours/atelier),piano,
poney (cours/atelier),poney,
prévention (cours/atelier),prévention,
prévention routière (cours/atelier),prévention routière,
programmation logicielle (cours/atelier),programmation logicielle,
projection,projection,
PSE2 (formation),PSE2,
psychologie (service),psychologie,
qwan (cours/atelier),qwan,
randonnée (pratique collective),randonnée,
recherche d’emploi (service),recherche d’emploi,
réinsertion (service),réinsertion,
relaxation (cours/atelier),relaxation,
rencontre,rencontre,
renforcement musculaire (cours/atelier),renforcement musculaire,
ruban (cours/atelier),ruban,
samouraï (cours/atelier),samouraï,
santé (cours/atelier),santé,
sarabande (danse) (cours/atelier),sarabande (danse),
sauveteur (formation),sauveteur,
scoutisme (pratique collective),scoutisme,
sculpture (cours/atelier),sculpture,
secourisme (formation),secourisme,
seon rang (cours/atelier),seon rang,
soirée,soirée,
soirée de gala,soirée de gala,
spéléologie (cours/atelier),spéléologie,
stage multisports (pratique collective),stage multisports,
stretching (cours/atelier),stretching,
swing (danse) (cours/atelier),swing (danse),
taekkyon (cours/atelier),taekkyon,
tai chi style yang (cours/atelier),tai chi style yang,
taichi chuan (cours/atelier),taichi chuan,
tango (danse) (cours/atelier),tango (danse),
technique de défense et de protection (cours/atelier),technique de défense et de protection,
technique de respiration et d’enchaînement (cours/atelier),technique de respiration et d’enchaînement,
temps d’écoute,temps d’écoute,
temps de réflexion,temps de réflexion,
tennis (cours/atelier),tennis,
tir à l’arc (cours/atelier),tir à l’arc,
voix (cours/atelier),voix,
voyage,voyage,
wheel (cours/atelier),wheel,
yoga (cours/atelier),yoga,
