annee_mois_type_contrat_value
2014;12;MENTIONS DE DIVORCE;7
2015;1;NOMBRE DE MARIAGES;4
2015;2;MENTIONS DE PACS;131
2015;2;AUTRES MENTIONS;380
2015;3;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;7
2015;3;MENTIONS DE DIVORCE;7
2015;4;MENTIONS DE DIVORCE;12
2015;6;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;20
2015;6;NOMBRE DE MARIAGES;30
2015;7;MENTIONS DE PACS;185
2015;8;AUTRES MENTIONS;378
2015;8;CONTRAT DE MARIAGE;9
2015;10;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;4
2015;10;AUTRES MENTIONS;448
2015;11;AUTRES MENTIONS;364
2015;11;CONTRAT DE MARIAGE;2
2015;12;MENTIONS DE DIVORCE;12
2016;1;AUTRES MENTIONS;346
2016;4;NOMBRE DE MARIAGES;16
2016;4;CONTRAT DE MARIAGE;2
2016;5;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;11
2016;5;CONTRAT DE MARIAGE;1
2016;6;MENTIONS DE PACS;251
2016;6;CONTRAT DE MARIAGE;4
2016;7;CONTRAT DE MARIAGE;6
2016;8;MENTIONS DE DIVORCE;5
2016;9;NOMBRE DE MARIAGES;24
2016;9;AUTRES MENTIONS;569
2016;10;MENTIONS DE PACS;196
2016;10;CONTRAT DE MARIAGE;5
2016;11;NOMBRE DE MARIAGES;14
2016;11;CONTRAT DE MARIAGE;3
2016;12;MENTIONS DE DIVORCE;9
2016;12;AUTRES MENTIONS;460
2016;12;CONTRAT DE MARIAGE;3
2017;2;NOMBRE DE MARIAGES;9
2017;3;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;8
2017;3;MENTIONS DE DIVORCE;16
2017;3;NOMBRE DE MARIAGES;12
2017;4;NOMBRE DE MARIAGES;14
2017;5;MENTIONS DE DIVORCE;9
2017;7;NOMBRE DE MARIAGES;38
2017;8;AUTRES MENTIONS;599
2017;8;CONTRAT DE MARIAGE;4
2017;10;MENTIONS DE DIVORCE;12
2017;10;AUTRES MENTIONS;434
2017;12;NOMBRE DE MARIAGES;11
2017;12;CONTRAT DE MARIAGE;2
2018;1;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;4
2018;1;MENTIONS DE PACS;218
2018;2;MENTIONS DE DIVORCE;18
2018;2;AUTRES MENTIONS;406
2018;4;MENTIONS DE DIVORCE;11
2018;5;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;7
2018;7;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;5
2018;8;CONTRAT DE MARIAGE;6
2018;9;MENTIONS DE PACS;277
2018;9;NOMBRE DE MARIAGES;34
2018;10;AUTRES MENTIONS;452
2018;10;CONTRAT DE MARIAGE;2
2018;11;MENTIONS DE DIVORCE;15
2018;12;NOMBRE DE MARIAGES;8
2018;12;AUTRES MENTIONS;515
2019;1;MENTIONS DE PACS;138
2019;2;AUTRES MENTIONS;349
2019;4;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;10
2019;4;MENTIONS DE DIVORCE;6
2019;4;AUTRES MENTIONS;424
2019;5;MENTIONS DE DIVORCE;21
2019;6;MENTIONS DE PACS;238
2019;7;AUTRES MENTIONS;567
2019;8;CONTRAT DE MARIAGE;13
2019;9;AUTRES MENTIONS;568
2019;9;CONTRAT DE MARIAGE;9
2019;10;MENTIONS DE DIVORCE;16
2019;10;AUTRES MENTIONS;540
2019;10;CONTRAT DE MARIAGE;3
2019;11;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;6
2019;12;MENTIONS DE PACS;236
