Alias du bureau,Code du bureau,Nom de la circonscription,Nom du canton,Nom du lieu de vote,Nom de la commune (UGLE),Nombre d'électeurs,Nom du tour de scrutin,Emargements à 10:00,Emargements à 12:00,Emargements à 14:00,Emargements à 16:00,Emargements à 18:00,Emargements à 19:00,Nombre d'enveloppes et bulletins,Nombre de bulletins blancs,Nombre de bulletins nuls,Nombre de suffrages exprimés,Nombre d'enveloppes,Nombre de bulletins sans enveloppe,Nombre d'inscrits,Nombre d'émargements,Nombre de procurations,Nombre de centaines possibles,Voix pour M. BRANCHE  Romain et Mme. PELLOUX-GERVAIS Isabelle,Voix pour Mme. ROMERA Sophie et M. TROCME Benjamin,Voix pour Mme. DESPLANQUES Axelle et M. TISSOT Grégory,Voix pour Mme. CARRIERE Louve et M. COEUR Alain,Voix pour M. DUPONT-FERRIER Stéphane et Mme. SPINI ALIM Dominique,Voix pour Mme. POSTEL Sylviane et M. VIRETTE Jean-Louis,Voix pour M. CUCAROLLO Jérôme et Mme. KAZAZIAN-BALESTAS Eléonore,Voix pour Mme. PEREZ Kathy et M. PERIER François-Marie,Voix pour M. LAVAL Sylvain et Mme. SEGHIER Sabrina,Voix pour M. BILLOUET Simon et Mme. COUVENT Pauline,Voix pour Mme. HAMEDI Sandra et M. THIRIET Adam,Voix pour Mme. BACHA Néjia et M. EDWIGE Romain,Voix pour Mme. GAUVIN Valérie et M. OROSCO Damien,Voix pour Mme. DUPRE Christel et M. VIRONE Joseph,Voix pour Mme. GERMAIN Amandine et M. TCHETCHE Pierre Didier,Voix pour M. CHAPPET Clément et Mme. MANSOURI Hanane,Voix pour M. BIJU-DUVAL Bertrand et Mme. MOKONDJIMOBE Leila Angela
ALPHONSE DAUDET 2ème bureau,63,38-03,Grenoble-4,ALPHONSE DAUDET,Grenoble,738,Grenoble Elections départementales 2021 Tour 1,87.0,87.0,115.0,134.0,168.0,173.0,196,1,1,194,196.0,0.0,738,196,20.0,2,,,,,,,,,,,,,,26.0,110.0,26.0,32.0
BERTHE DE BOISSIEUX 1er bureau,64,38-01,Grenoble-4,BOISSIEUX,Grenoble,1075,Grenoble Elections départementales 2021 Tour 1,155.0,155.0,189.0,226.0,288.0,316.0,363,6,3,354,363.0,0.0,1075,363,6.0,4,,,,,,,,,,,,,,45.0,188.0,51.0,70.0
BERTHE DE BOISSIEUX 2ème bureau,65,38-01,Grenoble-4,BOISSIEUX,Grenoble,1122,Grenoble Elections départementales 2021 Tour 1,155.0,155.0,205.0,269.0,358.0,412.0,452,7,2,443,452.0,0.0,1122,452,30.0,5,,,,,,,,,,,,,,27.0,269.0,66.0,81.0
BERTHE DE BOISSIEUX 3ème bureau,66,38-01,Grenoble-4,BOISSIEUX,Grenoble,963,Grenoble Elections départementales 2021 Tour 1,137.0,149.0,184.0,223.0,303.0,343.0,379,5,5,369,379.0,0.0,963,379,16.0,4,,,,,,,,,,,,,,24.0,213.0,63.0,69.0
BERTHE DE BOISSIEUX 4ème bureau,67,38-01,Grenoble-4,BOISSIEUX,Grenoble,1015,Grenoble Elections départementales 2021 Tour 1,128.0,128.0,174.0,214.0,291.0,329.0,380,3,2,375,380.0,0.0,1015,380,22.0,4,,,,,,,,,,,,,,35.0,218.0,54.0,68.0
MARCEAU 1er bureau,68,38-01,Grenoble-4,MARCEAU,Grenoble,1091,Grenoble Elections départementales 2021 Tour 1,157.0,157.0,208.0,248.0,357.0,391.0,403,5,8,390,403.0,0.0,1091,403,16.0,5,,,,,,,,,,,,,,57.0,210.0,59.0,64.0
MARCEAU 2ème bureau,69,38-01,Grenoble-4,MARCEAU,Grenoble,1183,Grenoble Elections départementales 2021 Tour 1,168.0,168.0,229.0,293.0,383.0,428.0,480,14,1,465,480.0,0.0,1183,480,10.0,5,,,,,,,,,,,,,,43.0,264.0,68.0,90.0
ELISEE CHATIN 1er bureau,70,38-01,Grenoble-4,ELISEE CHATIN,Grenoble,745,Grenoble Elections départementales 2021 Tour 1,88.0,88.0,110.0,140.0,176.0,185.0,195,3,1,191,195.0,0.0,745,195,6.0,2,,,,,,,,,,,,,,31.0,84.0,43.0,33.0
ELISEE CHATIN 2ème bureau,71,38-01,Grenoble-4,ELISEE CHATIN,Grenoble,843,Grenoble Elections départementales 2021 Tour 1,127.0,127.0,147.0,179.0,213.0,234.0,250,6,1,243,250.0,0.0,843,250,5.0,3,,,,,,,,,,,,,,43.0,119.0,34.0,47.0
ELISEE CHATIN 3ème bureau,72,38-01,Grenoble-4,ELISEE CHATIN,Grenoble,820,Grenoble Elections départementales 2021 Tour 1,125.0,125.0,157.0,187.0,223.0,235.0,257,3,1,253,257.0,0.0,820,257,6.0,3,,,,,,,,,,,,,,35.0,138.0,46.0,34.0
