dispositif,volet,nombre_aides,nombre_entreprises,montant_total,reg,libelle_region,code_section,libelle_section
Fonds de solidarité,1,138838.0,28831.0,3.2733882E8,11.0,Île-de-France,S,Autres activités de services
Fonds de solidarité,1,7702.0,1792.0,1.1039296E7,4.0,La Réunion,A,Agriculture, sylviculture et pêche
Fonds de solidarité,1,6202.0,1653.0,1.1585195E7,4.0,La Réunion,C,Industrie manufacturière
Fonds de solidarité,1,14.0,4.0,20213.0,4.0,La Réunion,D,Production et distribution d électricité, de gaz, de vapeur et d air conditionné
Fonds de solidarité,1,93.0,35.0,146273.0,4.0,La Réunion,E,Production et distribution d eau ; assainissement, gestion des déchets et dépollution
Fonds de solidarité,1,9037.0,3236.0,1.3834317E7,4.0,La Réunion,F,Construction
Fonds de solidarité,1,20771.0,5202.0,3.706553E7,4.0,La Réunion,G,Commerce
Fonds de solidarité,1,3064.0,784.0,6552015.0,4.0,La Réunion,H,Transports et entreposage
Fonds de solidarité,1,17173.0,2569.0,5.1132415E7,4.0,La Réunion,I,Hébergement et restauration
Fonds de solidarité,1,1885.0,398.0,5990503.0,4.0,La Réunion,J,Information et communication
Fonds de solidarité,1,580.0,162.0,1061651.0,4.0,La Réunion,K,Activités financières et d assurance
Fonds de solidarité,1,2348.0,634.0,3720542.0,4.0,La Réunion,L,Activités immobilières
Fonds de solidarité,1,7000.0,1846.0,1.4801939E7,4.0,La Réunion,M,Activités spécialisées, scientifiques et techniques
Fonds de solidarité,1,4964.0,1030.0,2.0853332E7,4.0,La Réunion,N,Activités de services administratifs et de soutien
Fonds de solidarité,1,5547.0,1249.0,7786148.0,4.0,La Réunion,P,Enseignement
Fonds de solidarité,1,5748.0,2470.0,8118452.0,4.0,La Réunion,Q,Santé humaine et action sociale
Fonds de solidarité,1,6685.0,921.0,1.6902069E7,4.0,La Réunion,R,Arts, spectacles et activités récréatives
Fonds de solidarité,1,6799.0,1981.0,9117849.0,4.0,La Réunion,S,Autres activités de services
Fonds de solidarité,1,3844.0,777.0,5330761.0,2.0,Martinique,A,Agriculture, sylviculture et pêche
Fonds de solidarité,1,3581.0,832.0,7024806.0,2.0,Martinique,C,Industrie manufacturière
Fonds de solidarité,1,5.0,3.0,6700.0,2.0,Martinique,D,Production et distribution d électricité, de gaz, de vapeur et d air conditionné
Fonds de solidarité,1,26.0,14.0,37627.0,2.0,Martinique,E,Production et distribution d eau ; assainissement, gestion des déchets et dépollution
Fonds de solidarité,1,4350.0,1381.0,7084301.0,2.0,Martinique,F,Construction
Fonds de solidarité,1,10667.0,2225.0,2.4390978E7,2.0,Martinique,G,Commerce
Fonds de solidarité,1,4065.0,715.0,9450761.0,2.0,Martinique,H,Transports et entreposage
Fonds de solidarité,1,8692.0,1271.0,3.1454076E7,2.0,Martinique,I,Hébergement et restauration
Fonds de solidarité,1,1184.0,229.0,3019455.0,2.0,Martinique,J,Information et communication
Fonds de solidarité,1,430.0,96.0,956472.0,2.0,Martinique,K,Activités financières et d assurance
Fonds de solidarité,1,1319.0,304.0,2744109.0,2.0,Martinique,L,Activités immobilières
Fonds de solidarité,1,4677.0,1113.0,9948115.0,2.0,Martinique,M,Activités spécialisées, scientifiques et techniques
Fonds de solidarité,1,5389.0,945.0,1.3954914E7,2.0,Martinique,N,Activités de services administratifs et de soutien
Fonds de solidarité,1,2474.0,480.0,3892256.0,2.0,Martinique,P,Enseignement
Fonds de solidarité,1,2349.0,940.0,3337367.0,2.0,Martinique,Q,Santé humaine et action sociale
Fonds de solidarité,1,2863.0,378.0,7979130.0,2.0,Martinique,R,Arts, spectacles et activités récréatives
Fonds de solidarité,1,5109.0,1062.0,8790050.0,2.0,Martinique,S,Autres activités de services
Fonds de solidarité,1,9105.0,1090.0,1.981133E7,6.0,Mayotte,A,Agriculture, sylviculture et pêche
Fonds de solidarité,1,1461.0,202.0,3662026.0,6.0,Mayotte,C,Industrie manufacturière
Fonds de solidarité,1,75.0,10.0,181062.0,6.0,Mayotte,E,Production et distribution d eau ; assainissement, gestion des déchets et dépollution
Fonds de solidarité,1,4886.0,681.0,1.1863996E7,6.0,Mayotte,F,Construction
Fonds de solidarité,1,22122.0,2789.0,5.1726761E7,6.0,Mayotte,G,Commerce
Fonds de solidarité,1,4537.0,521.0,1.1467831E7,6.0,Mayotte,H,Transports et entreposage
Fonds de solidarité,1,2425.0,320.0,6878278.0,6.0,Mayotte,I,Hébergement et restauration
Fonds de solidarité,1,253.0,42.0,544244.0,6.0,Mayotte,J,Information et communication
Fonds de solidarité,1,67.0,11.0,158514.0,6.0,Mayotte,K,Activités financières et d assurance
Fonds de solidarité,1,30.0,6.0,70524.0,6.0,Mayotte,L,Activités immobilières
Fonds de solidarité,1,754.0,129.0,1620116.0,6.0,Mayotte,M,Activités spécialisées, scientifiques et techniques
Fonds de solidarité,1,932.0,122.0,2722254.0,6.0,Mayotte,N,Activités de services administratifs et de soutien
Fonds de solidarité,1,551.0,75.0,1365385.0,6.0,Mayotte,P,Enseignement
Fonds de solidarité,1,365.0,90.0,737951.0,6.0,Mayotte,Q,Santé humaine et action sociale
Fonds de solidarité,1,419.0,61.0,1291344.0,6.0,Mayotte,R,Arts, spectacles et activités récréatives
Fonds de solidarité,1,769.0,112.0,1680146.0,6.0,Mayotte,S,Autres activités de services
Fonds de solidarité,1,5952.0,1740.0,1.2802343E7,28.0,Normandie,A,Agriculture, sylviculture et pêche
Fonds de solidarité,1,4.0,4.0,6000.0,28.0,Normandie,B,Industries extractives
Fonds de solidarité,1,11605.0,3015.0,2.4211062E7,28.0,Normandie,C,Industrie manufacturière
Fonds de solidarité,1,23.0,7.0,30098.0,28.0,Normandie,D,Production et distribution d électricité, de gaz, de vapeur et d air conditionné
Fonds de solidarité,1,465.0,156.0,656774.0,28.0,Normandie,E,Production et distribution d eau ; assainissement, gestion des déchets et dépollution
Fonds de solidarité,1,21766.0,8420.0,3.5108642E7,28.0,Normandie,F,Construction
Fonds de solidarité,1,57793.0,13457.0,1.6846941E8,28.0,Normandie,G,Commerce
Fonds de solidarité,1,11584.0,2155.0,3.0112972E7,28.0,Normandie,H,Transports et entreposage
Fonds de solidarité,1,81199.0,9340.0,4.90331904E8,28.0,Normandie,I,Hébergement et restauration
Fonds de solidarité,1,5244.0,1049.0,1.3551999E7,28.0,Normandie,J,Information et communication
Fonds de solidarité,1,2546.0,625.0,6390159.0,28.0,Normandie,K,Activités financières et d assurance
Fonds de solidarité,1,8425.0,1982.0,1.9001676E7,28.0,Normandie,L,Activités immobilières
Fonds de solidarité,1,27501.0,5921.0,8.8551975E7,28.0,Normandie,M,Activités spécialisées, scientifiques et techniques
Fonds de solidarité,1,12802.0,2609.0,4.2259832E7,28.0,Normandie,N,Activités de services administratifs et de soutien
Fonds de solidarité,1,15021.0,2707.0,2.6310348E7,28.0,Normandie,P,Enseignement
Fonds de solidarité,1,13262.0,5419.0,1.7334589E7,28.0,Normandie,Q,Santé humaine et action sociale
Fonds de solidarité,1,28266.0,3714.0,9.3583956E7,28.0,Normandie,R,Arts, spectacles et activités récréatives
Fonds de solidarité,1,38008.0,8747.0,7.3516705E7,28.0,Normandie,S,Autres activités de services
Fonds de solidarité,1,35607.0,9208.0,1.41112123E8,75.0,Nouvelle-Aquitaine,A,Agriculture, sylviculture et pêche
Fonds de solidarité,1,126.0,31.0,187761.0,75.0,Nouvelle-Aquitaine,B,Industries extractives
Fonds de solidarité,1,35213.0,8828.0,7.0882319E7,75.0,Nouvelle-Aquitaine,C,Industrie manufacturière
Fonds de solidarité,1,139.0,33.0,378327.0,75.0,Nouvelle-Aquitaine,D,Production et distribution d électricité, de gaz, de vapeur et d air conditionné
Fonds de solidarité,1,1614.0,442.0,2453469.0,75.0,Nouvelle-Aquitaine,E,Production et distribution d eau ; assainissement, gestion des déchets et dépollution
