mission,programme,libelle_programme,action,libelle_action,t_categorie,valeur
Enseignement scolaire,141,Enseignement scolaire public du second degré,9,Formation continue des adultes et validation des acquis de l'expérience,T6,2823090
Gestion des finances publiques et des ressources humaines,156,Gestion fiscale et financière de l'État et du secteur public local,2,Fiscalité des PME,T2,1971427025
"Sport, jeunesse et vie associative",163,Jeunesse et vie associative,2,Actions en faveur de la jeunesse et de l'éducation populaire,T6,71911528
Recherche et enseignement supérieur,192,Recherche et enseignement supérieur en matière économique et industrielle,1,Organismes de formation supérieure et de recherche,T6,9633500
Relations avec les collectivités territoriales,119,Concours financiers aux communes et groupements de communes,2,Dotation générale de décentralisation,T6,130232555
"Sport, jeunesse et vie associative",219,Sport,4,Promotion des métiers du sport,T3,19944004
Ville et logement,177,Prévention de l'exclusion et insertion des personnes vulnérables,11,Prévention de l'exclusion,T3,-825979
Direction de l'action du Gouvernement,129,Coordination du travail gouvernemental,15,Mission interministérielle de lutte contre la drogue et la toxicomanie,T6,13971888
Économie,134,Développement des entreprises et de l'emploi,18,Sécurité du consommateur,T5,0
Aide publique au développement,209,Solidarité à l'égard des pays en développement,1,Animation du réseau et coordination de l'aide au développement,T3,0
Conseil et contrôle de l'État,126,"Conseil économique, social et environnemental",2,Fonctionnement de l'institution,T5,0
Culture,175,Patrimoines,1,Patrimoine monumental,T3,83400207
Recherche et enseignement supérieur,190,"Recherche dans les domaines de l’énergie, du développement et de l'aménagement durables",14,Recherche et développement dans le domaine de l'aéronautique civile,T7,144007916
Enseignement scolaire,139,Enseignement privé du premier et du second degrés,1,Enseignement pré-élémentaire,T3,0
"Écologie, développement et aménagement durables",203,Infrastructures et services de transports,10,Infrastructures de transports collectifs et ferroviaires,T6,4225426512
Santé,204,"Prévention, sécurité sanitaire et offre de soins",15,"Prévention des risques liés à l'environnement, au travail et à l'alimentation",T6,2662004
"Solidarité, insertion et égalité des chances",124,"Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative",6,"Soutien des politiques sanitaires, sociales, du sport de la jeunesse et de la vie associative",T6,3520113
Direction de l'action du Gouvernement,129,Coordination du travail gouvernemental,11,Stratégie et prospective,T5,17200
Recherche et enseignement supérieur,231,Vie étudiante,1,Aides directes,T3,17237888
Politique des territoires,162,Interventions territoriales de l'État,2,Eau - Agriculture en Bretagne,T3,1014265
Sécurité,176,Police nationale,5,Missions de police judiciaire et concours à la justice,T5,10583999
"Solidarité, insertion et égalité des chances",124,"Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative",8,Gestion des politiques du sport,T3,593
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,6,"Recherche universitaire en sciences de la vie, biotechnologies et santé",T3,648933538
Recherche et enseignement supérieur,191,Recherche duale (civile et militaire),3,Recherche duale dans le domaine aérospatial,T3,155550243
Direction de l'action du Gouvernement,333,Moyens mutualisés des administrations déconcentrées,2,Loyers et charges immobilières des administrations déconcentrées,T3,620846690
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",2,Fonction juridique,T3,2314436
Enseignement scolaire,214,Soutien de la politique de l'éducation nationale,3,Communication,T3,6097362
Sécurité,176,Police nationale,3,Sécurité routière,T5,1927798
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",1,"Stratégie, expertise et études en matière de développement durable",T2,-2464792
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",2,Fonction juridique,T2,56
Culture,131,Création,2,"Soutien à la création, à la production et à la diffusion des arts plastiques",T3,19172569
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",8,"Personnels oeuvrant pour les politiques du programme ""Infrastructures et services de transports""",T3,841
Gestion des finances publiques et des ressources humaines,218,Conduite et pilotage des politiques économique et financière,1,"Etat-major, médiation et politiques transversales",T7,120492
Action extérieure de l'État,105,Action de la France en Europe et dans le monde,2,Action européenne,T6,41697548
Administration générale et territoriale de l'État,307,Administration territoriale,5,"Animation du réseau, soutien au service des préfectures et gestion des Hauts-Commissariats et représentations de l'Etat à l'Outre-mer",T2,56200389
Provisions,552,Dépenses accidentelles et imprévisibles,1,Dépenses accidentelles et imprévisibles,T6,0
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,15,Pilotage et support du programme,T2,239885725
Action extérieure de l'État,151,Français à l'étranger et affaires consulaires,1,Offre d'un service public de qualité aux Français à l'étranger,T3,15110945
"Écologie, développement et aménagement durables",181,Prévention des risques,11,"Gestion de l'après-mine et travaux de mise en sécurité, indemnisations et expropriations sur les sites",T3,34439633
Économie,134,Développement des entreprises et de l'emploi,3,Actions en faveur des entreprises industrielles,T5,-387
Enseignement scolaire,230,Vie de l'élève,5,Accueil et service aux élèves,T3,155064
"Solidarité, insertion et égalité des chances",124,"Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative",5,Pilotage de la sécurité sociale,T7,-6222
Outre-mer,138,Emploi outre-mer,1,Soutien aux entreprises,T6,1060048951
Justice,107,Administration pénitentiaire,2,Accueil et accompagnement des personnes placées sous main de justice,T5,210973337
Culture,175,Patrimoines,2,Architecture,T5,-1340429
Défense,146,Équipement des forces,11,Préparation et conduite des opérations d'armement,T2,1861693959
"Écologie, développement et aménagement durables",207,Sécurité et circulation routières,3,Éducation routière,T3,11771721
Gestion des finances publiques et des ressources humaines,218,Conduite et pilotage des politiques économique et financière,3,"Promotion des politiques économique, financière et de l'emploi",T2,8672492
Recherche et enseignement supérieur,231,Vie étudiante,3,"Santé des étudiants et activités associatives, culturelles et sportives",T6,10535863
Action extérieure de l'État,332,Présidence française du G20 et du G8,3,Activités diplomatiques préparatoires aux sommets du G20 et du G8,T3,1215421
Défense,178,Préparation et emploi des forces,6,Surcoûts liés aux opérations extérieures,T2,331450682
Enseignement scolaire,214,Soutien de la politique de l'éducation nationale,8,"Logistique, système d'information, immobilier",T4,0
Économie,220,Statistiques et études économiques,6,Action régionale,T2,54480935
Engagements financiers de l'État,117,Charge de la dette et trésorerie de l'État (crédits évaluatifs),3,Trésorerie de l'Etat,T4,0
"Solidarité, insertion et égalité des chances",304,Lutte contre la pauvreté : revenu de solidarité active et expérimentations sociales,1,Revenu de solidarité active,T6,511111890
Justice,310,Conduite et pilotage de la politique de la justice,9,Action informatique ministérielle,T3,72945390
Enseignement scolaire,140,Enseignement scolaire public du premier degré,3,Besoins éducatifs particuliers,T5,0
Conseil et contrôle de l'État,164,Cour des comptes et autres juridictions financières,1,Contrôle externe et indépendant des comptes publics,T2,39198351
Culture,224,Transmission des savoirs et démocratisation de la culture,3,Soutien aux établissements d'enseignement spécialisé,T6,26453259
Défense,178,Préparation et emploi des forces,3,Préparation des forces navales,T5,168854634
Administration générale et territoriale de l'État,232,"Vie politique, cultuelle et associative",1,Financement des partis,T2,0
Administration générale et territoriale de l'État,307,Administration territoriale,5,"Animation du réseau, soutien au service des préfectures et gestion des Hauts-Commissariats et représentations de l'Etat à l'Outre-mer",T7,1500
Pouvoirs publics,501,Présidence de la République,1,Présidence de la République,T1,110052726
"Écologie, développement et aménagement durables",113,"Urbanisme, paysages, eau et biodiversité",1,"Urbanisme, aménagement et sites - planification",T5,852639
Justice,166,Justice judiciaire,6,Soutien,T5,96523996
Justice,166,Justice judiciaire,7,Formation,T2,50326751
Outre-mer,138,Emploi outre-mer,2,Aide à l'insertion et à la qualification professionnelle,T2,103399545
"Solidarité, insertion et égalité des chances",137,Égalité entre les hommes et les femmes,1,Accès des femmes aux responsabilités et à la prise de décision,T6,252335
Ville et logement,135,Développement et amélioration de l'offre de logement,7,A SUPPRIMER Garantie des risques locatifs,T6,0
Aide publique au développement,110,Aide économique et financière au développement,1,Aide économique et financière multilatérale,T6,110591477
Conseil et contrôle de l'État,164,Cour des comptes et autres juridictions financières,4,Soutien aux activités des juridictions financières,T6,43232
Défense,178,Préparation et emploi des forces,6,Surcoûts liés aux opérations extérieures,T6,48317938
Direction de l'action du Gouvernement,308,Protection des droits et libertés,2,Commission nationale de l'informatique et des libertés,T6,58585
Économie,220,Statistiques et études économiques,5,Soutien,T5,1868295
Enseignement scolaire,143,Enseignement technique agricole,4,Évolution des compétences et dynamique territoriale,T3,49780
Enseignement scolaire,143,Enseignement technique agricole,5,"Moyens communs à l'enseignement technique agricole, public et privé",T5,0
Justice,310,Conduite et pilotage de la politique de la justice,2,Activité normative,T2,22615203
Gestion des finances publiques et des ressources humaines,156,Gestion fiscale et financière de l'État et du secteur public local,3,Fiscalité des particuliers et fiscalité directe locale,T3,80441918
Travail et emploi,111,Amélioration de la qualité de l'emploi et des relations du travail,3,Dialogue social et démocratie sociale,T3,6513755
Culture,175,Patrimoines,6,Patrimoine cinématographique,T6,0
"Écologie, développement et aménagement durables",181,Prévention des risques,10,Prévention des risques naturels et hydrauliques,T3,34418088
Gestion des finances publiques et des ressources humaines,218,Conduite et pilotage des politiques économique et financière,1,"Etat-major, médiation et politiques transversales",T3,172951251
Gestion des finances publiques et des ressources humaines,221,Stratégie des finances publiques et modernisation de l'État,5,Information financière de l'Etat,T3,121044156
Recherche et enseignement supérieur,187,Recherche dans le domaine de la gestion des milieux et des ressources,5,"Recherches scientifiques et technologiques pour la sécurité alimentaire, sanitaire, environnementale et sur les risques naturels",T3,169609796
Remboursements et dégrèvements,201,Remboursements et dégrèvements d'impôts locaux (crédits évaluatifs),1,Taxe professionnelle et contribution économique territoriale,T7,620908653
Remboursements et dégrèvements,201,Remboursements et dégrèvements d'impôts locaux (crédits évaluatifs),1,Taxe professionnelle et contribution économique territoriale,T6,6122455566
Santé,204,"Prévention, sécurité sanitaire et offre de soins",18,Projets régionaux de santé,T3,182235443
"Agriculture, pêche, alimentation, forêt et affaires rurales",154,"Économie et développement durable de l'agriculture, de la pêche et des territoires",14,Gestion équilibrée et durable des territoires,T5,337444
"Écologie, développement et aménagement durables",203,Infrastructures et services de transports,10,Infrastructures de transports collectifs et ferroviaires,T5,3940922
"Écologie, développement et aménagement durables",203,Infrastructures et services de transports,14,"Soutien, régulation et contrôle dans les domaines des transports fluviaux, maritimes et aériens",T3,-185043
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",6,Action européenne et internationale,T3,339119
Enseignement scolaire,141,Enseignement scolaire public du second degré,11,Remplacement,T2,1363391003
"Médias, livre et industries culturelles",180,Presse,4,Industries culturelles,T6,0
"Solidarité, insertion et égalité des chances",137,Égalité entre les hommes et les femmes,5,Soutien du programme égalité entre les hommes et les femmes,T3,830278
"Solidarité, insertion et égalité des chances",157,Handicap et dépendance,2,Incitation à l'activité professionnelle,T3,1495000
Justice,166,Justice judiciaire,2,Conduite de la politique pénale et jugement des affaires pénales,T5,0
Justice,182,Protection judiciaire de la jeunesse,3,Soutien,T3,20822110
Politique des territoires,162,Interventions territoriales de l'État,2,Eau - Agriculture en Bretagne,T6,10284120
Recherche et enseignement supérieur,190,"Recherche dans les domaines de l’énergie, du développement et de l'aménagement durables",14,Recherche et développement dans le domaine de l'aéronautique civile,T5,0
Travail et emploi,155,"Conception, gestion et évaluation des politiques de l'emploi et du travail",6,"Études, statistiques, évaluation et recherche",T2,22158047
Ville et logement,147,Politique de la ville et Grand Paris,2,Revitalisation économique et emploi,T3,23694840
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,1,Formation initiale et continue du baccalauréat à la licence,T6,126541
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,14,Immobilier,T1,0
Santé,204,"Prévention, sécurité sanitaire et offre de soins",19,Modernisation de l'offre de soins,T6,117810474
Conseil et contrôle de l'État,164,Cour des comptes et autres juridictions financières,2,Contrôle externe et indépendant de la régularité et de l'efficacité de la gestion publique,T2,99647031
Économie,223,Tourisme,2,Économie du tourisme et développement de l'activité touristique,T3,2978603
Enseignement scolaire,141,Enseignement scolaire public du second degré,7,Aide à l'insertion professionnelle,T2,36355380
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",3,Politique et programmation de l'immobilier et des moyens de fonctionnement,T6,523495
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",9,"Personnels oeuvrant pour les politiques du programme ""Sécurité et circulation routières""",T2,136347761
Enseignement scolaire,230,Vie de l'élève,2,Santé scolaire,T3,2479460
Outre-mer,123,Conditions de vie outre-mer,2,Aménagement  du territoire,T5,2032180
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,13,Diffusion des savoirs et musées,T6,1617951
Direction de l'action du Gouvernement,308,Protection des droits et libertés,5,Contrôleur général des lieux de privation de liberté,T5,-1914
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",14,Personnels oeuvrant dans le domaine de la recherche et de l'action scientifique et technique,T2,124299273
Économie,134,Développement des entreprises et de l'emploi,3,Actions en faveur des entreprises industrielles,T3,34344098
Gestion des finances publiques et des ressources humaines,302,Facilitation et sécurisation des échanges,3,Préservation de la sécurité et de la sûreté de l'espace national et européen,T5,22737364
Justice,101,Accès au droit et à la justice,2,Développement de l'accès au droit et du réseau judiciaire de proximité,T5,0
Direction de l'action du Gouvernement,129,Coordination du travail gouvernemental,15,Mission interministérielle de lutte contre la drogue et la toxicomanie,T3,19484066
"Écologie, développement et aménagement durables",207,Sécurité et circulation routières,1,"Observation, prospective, réglementation et soutien au programme",T6,621305
Recherche et enseignement supérieur,142,Enseignement supérieur et recherche agricoles,1,Enseignement supérieur,T3,42614078
Administration générale et territoriale de l'État,307,Administration territoriale,2,"Garantie de l'identité et de la nationalité, délivrance de titres",T7,0
"Agriculture, pêche, alimentation, forêt et affaires rurales",206,Sécurité et qualité sanitaires de l'alimentation,1,Prévention et gestion des risques inhérents à la production végétale,T3,5585597
Défense,178,Préparation et emploi des forces,3,Préparation des forces navales,T1,0
Santé,204,"Prévention, sécurité sanitaire et offre de soins",16,"Réponse aux alertes et gestion des urgences, des situations exceptionnelles et des crises sanitaires",T6,7181723
Sécurité civile,161,Intervention des services opérationnels,4,Neutralisation des engins explosifs,T6,0
"Solidarité, insertion et égalité des chances",106,Actions en faveur des familles vulnérables,3,Protection des enfants et des familles,T6,215828739
Justice,182,Protection judiciaire de la jeunesse,5,Aide à la décision des magistrats : mineurs délinquants et mineurs en danger,T3,68938776
Sécurité civile,161,Intervention des services opérationnels,2,Interventions spécialisées sur les autres catastrophes naturelles et technologiques,T3,9386593
Culture,175,Patrimoines,3,Patrimoine des musées de France,T2,0
Enseignement scolaire,141,Enseignement scolaire public du second degré,10,Formation des personnels enseignants et d'orientation,T6,525271
Recherche et enseignement supérieur,186,Recherche culturelle et culture scientifique,1,Recherche culturelle,T3,4222338
Économie,134,Développement des entreprises et de l'emploi,7,Développement international et compétitivité des territoires,T6,25334289
Action extérieure de l'État,185,Diplomatie culturelle et d'influence,3,Enjeux globaux,T3,412321
Administration générale et territoriale de l'État,307,Administration territoriale,4,Pilotage territorial des politiques gouvernementales,T5,3657432
Aide publique au développement,301,Développement solidaire et migrations,2,Aides à la réinstallation des migrants dans leur pays d'origine,T3,25918
Enseignement scolaire,141,Enseignement scolaire public du second degré,5,Enseignement post-baccalauréat en lycée,T2,1057214252
"Agriculture, pêche, alimentation, forêt et affaires rurales",206,Sécurité et qualité sanitaires de l'alimentation,4,Acquisition et mobilisation des moyens scientifiques et techniques pour maîtriser les risques sanitaires,T3,68551303
"Anciens combattants, mémoire et liens avec la nation",169,Reconnaissance et réparation en faveur du monde combattant,2,Gestion  des droits liés aux pensions militaires d'invalidité,T6,168159445
Relations avec les collectivités territoriales,119,Concours financiers aux communes et groupements de communes,1,Soutien aux projets des communes et groupements de communes,T6,631429852
Travail et emploi,111,Amélioration de la qualité de l'emploi et des relations du travail,3,Dialogue social et démocratie sociale,T6,72099444
"Agriculture, pêche, alimentation, forêt et affaires rurales",149,Forêt,3,Amélioration de la gestion des forêts,T5,0
Justice,182,Protection judiciaire de la jeunesse,2,Mise en oeuvre des mesures judiciaires : mineurs en danger et jeunes majeurs,T2,0
Régimes sociaux et de retraite,195,"Régimes de retraite des mines, de la SEITA et divers",10,Caisse de retraite des fonctionnaires de Mayotte (CRFM),T6,13675054
"Solidarité, insertion et égalité des chances",124,"Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative",3,Gestion des politiques sociales,T5,0
Justice,166,Justice judiciaire,8,Support à l'accès au droit et à la justice,T4,0
Économie,134,Développement des entreprises et de l'emploi,4,"Développement des télécommunications, des postes et de la société de l'information",T6,176323764
Action extérieure de l'État,105,Action de la France en Europe et dans le monde,5,Coopération de sécurité et de défense,T5,0
Administration générale et territoriale de l'État,307,Administration territoriale,4,Pilotage territorial des politiques gouvernementales,T6,-920
Culture,175,Patrimoines,3,Patrimoine des musées de France,T6,51011119
Défense,178,Préparation et emploi des forces,3,Préparation des forces navales,T3,1681286757
Enseignement scolaire,140,Enseignement scolaire public du premier degré,2,Enseignement élémentaire,T6,15886324
Enseignement scolaire,214,Soutien de la politique de l'éducation nationale,4,Expertise juridique,T2,14913827
Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,6,Conseil juridique et traitement du contentieux,T7,0
"Écologie, développement et aménagement durables",174,"Énergie, climat et après-mines",5,Lutte contre le changement climatique,T6,16717111
"Écologie, développement et aménagement durables",203,Infrastructures et services de transports,14,"Soutien, régulation et contrôle dans les domaines des transports fluviaux, maritimes et aériens",T6,40009481
Enseignement scolaire,141,Enseignement scolaire public du second degré,2,Enseignement général et technologique en lycée,T6,18994670
"Immigration, asile et intégration",303,Immigration et asile,1,Circulation des étrangers et politique des visas,T5,0
"Solidarité, insertion et égalité des chances",124,"Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative",3,Gestion des politiques sociales,T3,11115
Ville et logement,135,Développement et amélioration de l'offre de logement,2,Soutien à l'accession à la propriété,T3,-34909972
Recherche et enseignement supérieur,231,Vie étudiante,1,Aides directes,T7,-519
"Solidarité, insertion et égalité des chances",106,Actions en faveur des familles vulnérables,1,Accompagnement des familles dans leur rôle de parents,T3,478691
Travail et emploi,155,"Conception, gestion et évaluation des politiques de l'emploi et du travail",6,"Études, statistiques, évaluation et recherche",T3,11674960
Justice,166,Justice judiciaire,2,Conduite de la politique pénale et jugement des affaires pénales,T3,316227520
Économie,305,Stratégie économique et fiscale,2,Développement international de l'économie française,T5,632825
Enseignement scolaire,214,Soutien de la politique de l'éducation nationale,2,Évaluation et contrôle,T5,-34982
Enseignement scolaire,230,Vie de l'élève,4,Action sociale,T2,154945865
Défense,178,Préparation et emploi des forces,5,Logistique et soutien interarmées,T1,0
Défense,212,Soutien de la politique de la défense,2,Fonction de contrôle,T3,513776
Enseignement scolaire,140,Enseignement scolaire public du premier degré,4,Formation des personnels enseignants,T6,798184
Direction de l'action du Gouvernement,308,Protection des droits et libertés,8,Défenseur des enfants,T2,1633413
Direction de l'action du Gouvernement,333,Moyens mutualisés des administrations déconcentrées,1,Fonctionnement courant des directions départementales interministérielles,T7,-2076
"Immigration, asile et intégration",104,Intégration et accès à la nationalité française,12,Actions d'intégration des étrangers en situation régulière,T6,35811106
"Solidarité, insertion et égalité des chances",124,"Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative",6,"Soutien des politiques sanitaires, sociales, du sport de la jeunesse et de la vie associative",T5,3007892
"Solidarité, insertion et égalité des chances",304,Lutte contre la pauvreté : revenu de solidarité active et expérimentations sociales,2,Expérimentation sociale et autres expériences en matière sociale et d'économie sociale,T3,827375
"Agriculture, pêche, alimentation, forêt et affaires rurales",206,Sécurité et qualité sanitaires de l'alimentation,6,Mise en oeuvre de la politique de sécurité et de qualité sanitaires de l'alimentation,T6,204307
"Anciens combattants, mémoire et liens avec la nation",167,Liens entre la nation et son armée,2,Politique de mémoire,T5,-641
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",8,"Personnels oeuvrant pour les politiques du programme ""Infrastructures et services de transports""",T2,789613812
Économie,134,Développement des entreprises et de l'emploi,15,Mise en oeuvre du droit de la concurrence (Autorité de la concurrence),T2,14976576
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,10,"Recherche universitaire en sciences de la terre, de l'univers et de l'environnement",T2,48540305
Travail et emploi,155,"Conception, gestion et évaluation des politiques de l'emploi et du travail",3,Gestion des effectifs des services déconcentrés du programme « accompagnement des mutations économiques et développement de l’emploi »,T3,10676
Recherche et enseignement supérieur,190,"Recherche dans les domaines de l’énergie, du développement et de l'aménagement durables",13,Recherche partenariale dans le développement et l'aménagement durable,T7,4717951
Justice,182,Protection judiciaire de la jeunesse,1,Mise en oeuvre des décisions judiciaires : mineurs délinquants,T4,22
Santé,204,"Prévention, sécurité sanitaire et offre de soins",19,Modernisation de l'offre de soins,T3,7700240
"Écologie, développement et aménagement durables",159,Information géographique et cartographique,1,Production de l'information géographique,T5,0
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",1,"Stratégie, expertise et études en matière de développement durable",T6,9471776
Administration générale et territoriale de l'État,307,Administration territoriale,2,"Garantie de l'identité et de la nationalité, délivrance de titres",T2,580552064
Direction de l'action du Gouvernement,308,Protection des droits et libertés,7,Sécurité et protection des libertés,T6,138
Enseignement scolaire,139,Enseignement privé du premier et du second degrés,3,Enseignement en collège,T3,0
Enseignement scolaire,141,Enseignement scolaire public du second degré,2,Enseignement général et technologique en lycée,T5,162194
Action extérieure de l'État,151,Français à l'étranger et affaires consulaires,3,Instruction des demandes de visa,T3,754109
Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,6,Conseil juridique et traitement du contentieux,T6,27996202
Culture,224,Transmission des savoirs et démocratisation de la culture,4,Actions en faveur de l'accès à la culture,T6,57362930
Justice,310,Conduite et pilotage de la politique de la justice,9,Action informatique ministérielle,T2,13678126
Travail et emploi,155,"Conception, gestion et évaluation des politiques de l'emploi et du travail",5,Soutien,T3,220839706
Travail et emploi,155,"Conception, gestion et évaluation des politiques de l'emploi et du travail",6,"Études, statistiques, évaluation et recherche",T6,0
Politique des territoires,162,Interventions territoriales de l'État,6,Plan gouvernemental sur le Marais Poitevin - Poitou Charentes,T3,31309
Économie,134,Développement des entreprises et de l'emploi,13,Régulation des communications électroniques et des postes (ARCEP),T2,15446362
Économie,134,Développement des entreprises et de l'emploi,18,Sécurité du consommateur,T3,1321887
Enseignement scolaire,214,Soutien de la politique de l'éducation nationale,1,Pilotage et mise en oeuvre des politiques éducatives,T2,389235900
Sécurité,176,Police nationale,3,Sécurité routière,T2,502654248
Sécurité civile,161,Intervention des services opérationnels,5,Pilotage de la politique de sécurité civile,T3,26865
"Écologie, développement et aménagement durables",181,Prévention des risques,11,"Gestion de l'après-mine et travaux de mise en sécurité, indemnisations et expropriations sur les sites",T6,16453479
Économie,134,Développement des entreprises et de l'emploi,8,"Expertise, conseil et inspection",T2,18116995
Justice,166,Justice judiciaire,7,Formation,T3,28819448
"Agriculture, pêche, alimentation, forêt et affaires rurales",149,Forêt,1,Développement économique de la filière forêt – bois,T3,12414745
Défense,146,Équipement des forces,6,Dissuasion,T3,321095872
Défense,178,Préparation et emploi des forces,3,Préparation des forces navales,T4,33274
"Écologie, développement et aménagement durables",207,Sécurité et circulation routières,2,Démarches interministérielles et communication,T5,116530
Gestion des finances publiques et des ressources humaines,218,Conduite et pilotage des politiques économique et financière,6,Présidence française du G8/G20,T6,0
"Agriculture, pêche, alimentation, forêt et affaires rurales",215,Conduite et pilotage des politiques de l'agriculture,3,"Moyens des directions régionales de l'alimentation, de l'agriculture et de la forêt; directions départementales de l'agriculture et de la forêt; directions départementales de l'équipement et de l'agriculture et directions de l'agriculture et de la forêt",T1,0
Aide publique au développement,209,Solidarité à l'égard des pays en développement,3,Politiques et stratégies sectorielles bilatérales dans les pays de la ZSP et les PMA,T3,0
"Anciens combattants, mémoire et liens avec la nation",169,Reconnaissance et réparation en faveur du monde combattant,4,Entretien des lieux de mémoire,T6,0
Gestion des finances publiques et des ressources humaines,156,Gestion fiscale et financière de l'État et du secteur public local,4,Fiscalité des marchandises et des moyens de transport,T2,0
Justice,166,Justice judiciaire,2,Conduite de la politique pénale et jugement des affaires pénales,T4,0
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,14,Immobilier,T7,325102977
"Solidarité, insertion et égalité des chances",137,Égalité entre les hommes et les femmes,4,Articulation des temps de vie,T3,13569
"Écologie, développement et aménagement durables",205,Sécurité et affaires maritimes,4,Action interministérielle de la mer,T6,518870
Gestion des finances publiques et des ressources humaines,302,Facilitation et sécurisation des échanges,5,"Fiscalité douanière, énergétique et environnementale",T6,294707437
Politique des territoires,112,Impulsion et coordination de la politique d'aménagement du territoire,1,Attractivité économique et compétitivité des territoires,T3,-2498583
Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,4,Pilotage des ressources humaines,T3,37220652
"Agriculture, pêche, alimentation, forêt et affaires rurales",149,Forêt,3,Amélioration de la gestion des forêts,T3,13835555
Culture,224,Transmission des savoirs et démocratisation de la culture,7,Fonctions de soutien du ministère,T3,96341491
Sécurité,176,Police nationale,5,Missions de police judiciaire et concours à la justice,T6,3188617
"Écologie, développement et aménagement durables",205,Sécurité et affaires maritimes,1,Sécurité et sûreté maritimes,T5,5721241
Ville et logement,177,Prévention de l'exclusion et insertion des personnes vulnérables,3,Conduite et animation de la politique de lutte contre l'exclusion,T6,0
"Anciens combattants, mémoire et liens avec la nation",158,Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale,2,Indemnisation des victimes d'actes de barbarie durant la seconde guerre mondiale,T6,51410000
Conseil et contrôle de l'État,126,"Conseil économique, social et environnemental",2,Fonctionnement de l'institution,T3,6705000
Politique des territoires,112,Impulsion et coordination de la politique d'aménagement du territoire,4,Instruments de pilotage et d'étude,T5,76918
"Immigration, asile et intégration",303,Immigration et asile,3,Lutte contre l'immigration irrégulière,T5,1264011
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,1,Formation initiale et continue du baccalauréat à la licence,T7,0
Recherche et enseignement supérieur,190,"Recherche dans les domaines de l’énergie, du développement et de l'aménagement durables",13,Recherche partenariale dans le développement et l'aménagement durable,T3,31762412
"Solidarité, insertion et égalité des chances",304,Lutte contre la pauvreté : revenu de solidarité active et expérimentations sociales,2,Expérimentation sociale et autres expériences en matière sociale et d'économie sociale,T6,7678808
Gestion des finances publiques et des ressources humaines,148,Fonction publique,1,Formation des fonctionnaires,T3,81133665
"Agriculture, pêche, alimentation, forêt et affaires rurales",206,Sécurité et qualité sanitaires de l'alimentation,3,Prévention et gestion des risques sanitaires liés aux denrées alimentaires,T5,15241
"Agriculture, pêche, alimentation, forêt et affaires rurales",215,Conduite et pilotage des politiques de l'agriculture,3,"Moyens des directions régionales de l'alimentation, de l'agriculture et de la forêt; directions départementales de l'agriculture et de la forêt; directions départementales de l'équipement et de l'agriculture et directions de l'agriculture et de la forêt",T3,22685227
Direction de l'action du Gouvernement,129,Coordination du travail gouvernemental,2,Coordination de la sécurité et de la défense,T5,17562035
Gestion des finances publiques et des ressources humaines,156,Gestion fiscale et financière de l'État et du secteur public local,9,Soutien,T3,1136931747
Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,5,Affaires financières et immobilières,T5,1271396
