X,Y,OBJECTID,TYPE_PLACE,COMMUNE,IDENTIFIANT,ADRESSE,TYPE_POSITION,NB_PLACES,MEMO,DATE_CREATION,DATE_MAJ
799710.682999998,6873964.6173,10142,PMR,Châlons-en-Champagne,,Passage Delfraisse Henri,Rue,1,,2019/11/22 08:00:00+00,2019/11/22 08:00:47+00
799716.357199997,6873966.8526,10143,PMR,Châlons-en-Champagne,,Passage Delfraise Henri,Rue,1,,2019/11/22 08:00:55+00,2019/11/22 08:01:09+00
799721.859399997,6873968.744,10144,PMR,Châlons-en-Champagne,,Passage Delfraisse Henri,Rue,1,,2019/11/22 08:01:15+00,2019/11/22 08:01:38+00
799641.748599999,6874219.7663,10145,PMR,Châlons-en-Champagne,,Place aux Chevaux,Parking,1,,2019/11/22 11:28:54+00,2019/11/22 11:29:11+00
800996.3213,6871501.9563,10540,PMR,Châlons-en-Champagne,,Rue André Boulloche N°05,Parking,1,,2020/01/06 07:57:57+00,2020/01/06 07:58:25+00
801144.070200004,6873999.8887,11340,PMR,Châlons-en-Champagne,,Avenue de Metz N°71,Sur trottoir,1,,2020/03/04 13:18:21+00,2020/03/04 13:18:38+00
800870.426100001,6871845.7564,11341,PMR,Châlons-en-Champagne,,rue jacques Duclos N°22,Sur trottoir,1,,2020/03/04 13:21:20+00,2020/03/04 13:21:35+00
801061.911200002,6874378.9689,11740,PMR,Châlons-en-Champagne,,rue Marechal de Lattre de Tassigny N°13,Rue,1,,2020/03/16 09:22:32+00,2020/03/16 09:23:02+00
800211.446500003,6873013.5344,12140,PMR,Châlons-en-Champagne,,Rue du Général Abbé N°22,Rue,1,,2020/05/20 07:45:02+00,2020/05/20 07:45:22+00
799616.452799998,6873773.6774,12141,PMR,Châlons-en-Champagne,,Rue de la Marne n°33,Sur trottoir,1,,2020/05/20 07:46:54+00,2020/05/20 07:47:32+00
799620.097000003,6873775.0656,12142,PMR,Châlons-en-Champagne,,Rue de la Marne n°33,Sur trottoir,1,,2020/05/20 07:47:34+00,2020/05/20 07:47:48+00
800226.5603,6873344.8008,12540,PMR,Châlons-en-Champagne,,Rue Hypolite Faure N°1,Rue,1,,2020/06/26 06:52:35+00,2020/06/26 06:53:01+00
798018.575199999,6872576.5058,12940,PMR,Châlons-en-Champagne,,rue de Normandie N°65,Sur trottoir,1,,2020/07/30 11:41:00+00,2020/07/30 11:41:17+00
798025.168300003,6872497.0417,12943,PMR,Châlons-en-Champagne,,rue de Normandie N°51,Sur trottoir,1,,2020/07/30 11:42:25+00,2020/07/30 11:42:42+00
801660.6536,6871692.2947,13340,PMR,Châlons-en-Champagne,,Rue Lecont de l'Isle,Parking,1,,2020/09/17 09:36:57+00,2020/09/17 09:37:16+00
800608.063299999,6873504.4459,14140,PMR,Châlons-en-Champagne,,rue du Faubourg Saint Jean N°4bis,Rue,1,,2020/11/10 15:35:57+00,2020/11/10 15:36:19+00
798628.667400002,6875232.3613,15340,PMR,Châlons-en-Champagne,,Rue Joseph Marie Jacquard n°26,Rue,1,,2021/01/05 13:46:15+00,2021/01/05 16:07:11+00
798629.7773,6875232.7274,15341,PMR,Châlons-en-Champagne,,Rue Joseph Marie Jacquard n°26,Rue,1,,2021/01/05 13:46:49+00,2021/01/05 16:07:13+00
800382.965599999,6873797.8649,15343,PMR,Châlons-en-Champagne,,rue jean jacques rousseau n°25,Rue,1,,2021/01/05 14:25:07+00,2021/01/18 14:16:24+00
800659.6325,6875045.1992,15344,PMR,Châlons-en-Champagne,,chemin du mont bernard n°24,Rue,1,,2021/01/05 14:26:01+00,2021/01/05 16:07:26+00
800829.335699998,6873888.9068,16541,PMR,Châlons-en-Champagne,,Boulevard emile Zola n°83,Sur trottoir,1,,2021/01/21 16:28:03+00,2021/01/21 16:28:25+00
798810.850199997,6873130.1217,17340,PMR,Châlons-en-Champagne,,Avenue Jeanne d'Arc n°03,Sur trottoir,1,,2021/02/02 13:30:53+00,2021/02/02 13:31:16+00
798665.462099999,6872800.2468,18140,PMR,Châlons-en-Champagne,,avenue Jeanne d'Arc n°47,Sur trottoir,1,,2021/03/18 13:25:48+00,2021/03/18 13:26:12+00
799580.297499999,6873769.8181,18540,PMR,Châlons-en-Champagne,,Rue des 7 moulins,Rue,1,,2021/06/23 06:44:42+00,2021/06/23 06:45:03+00
799451.399899997,6873719.7049,18541,PMR,Châlons-en-Champagne,,81 rue de la Marne,Rue,2,,2021/06/23 06:47:08+00,2021/06/23 06:47:26+00
800641.685999997,6872296.971,19340,PMR,Châlons-en-Champagne,,rue du 8 mai 1945 n°33,Rue,1,,2021/08/05 06:51:12+00,2021/08/05 06:51:36+00
797612.946199998,6873329.3875,19740,PMR,Châlons-en-Champagne,,AVENUE PIERRE SEMARD,Sur trottoir,1,,2021/08/31 15:37:02+00,2021/08/31 15:37:27+00
