annee_categorie_civile_motif_depart_sexe_effectif_age_montant_pension_duree_services_retenus_duree_bonifications_retenues_duree_totassur_effectif_totassur
2014;C;VAS;F;3904;243688.02;4904261.64;484362.0;20584.22;657139.57;3829
2014;C;VFF;F;715;43449.03;996363.08;83495.33;6973.83;126156.28;714
2016;B;VAA;M;2751;158374.04;5604100.04;391691.67;36389.53;464787.61;2729
2016;C;VAS;F;3531;222065.58;4512544.06;436092.62;19990.78;603348.46;3490
2017;C;VAA;F;567;33557.31;799349.13;79643.72;3806.91;95179.99;567
2013;A;VAA;F;3484;203589.54;7961672.28;507657.07;25274.28;570572.33;3484
2013;B;VAS;F;3716;230104.57;6206337.35;519876.36;20477.03;632425.82;3687
2013;C;VAA;M;2807;162141.45;3975783.47;398013.61;9969.48;454225.68;2781
2016;A;VFF;M;43;2537.72;103406.52;5462.19;148.86;6473.06;43
2016;C;VAC;F;1872;113147.47;2619930.96;265878.42;10905.47;331010.62;1872
2017;A;VFF;M;57;3357.36;146614.64;7485.49;269.64;8810.74;57
2017;C;VAC;M;1067;64483.76;1500878.29;146306.96;656.8;185882.5;1067
2018;C;INV;F;816;46915.16;990957.58;90511.53;4227.66;117425.55;816
2018;C;VAA;F;589;34820.15;818341.24;81826.56;4360.28;98141.46;589
2019;A;VFF;F;1749;106282.42;4855388.25;223696.34;22062.35;298673.23;1749
2020;C;VFF;M;69;4099.82;97553.76;8290.46;147.81;10772.11;69
2013;B;VAC;F;1050;63197.93;1781759.39;159142.67;5982.19;185656.87;1050
2014;B;INV;F;375;21508.31;555550.6;46509.35;2090.95;56263.29;375
2015;A;VAS;F;6651;420072.58;16875452.11;921323.89;39403.45;1120100.2;6631
2015;B;VAC;F;1285;77580.56;2175035.56;193384.1;7536.72;227179.73;1285
2015;B;VAS;F;3066;192557.57;5247670.61;427841.62;16727.53;527490.36;3043
2016;A;VAA;F;3550;210312.28;8459281.93;523210.76;25029.03;589615.24;3550
2017;C;VFF;M;66;3871.81;88364.88;7507.93;35.44;10112.27;66
2018;B;VAA;M;2444;142954.61;5063990.04;356561.03;27768.41;417127.24;2429
2018;B;VAS;F;3949;249619.15;6908615.04;554963.58;23525.44;688859.71;3935
2020;C;INV;F;705;41231.82;898623.58;80501.72;4054.25;103220.71;705
2013;B;VAA;M;2401;135083.92;4622437.82;328277.29;32353.77;393111.1;2364
2014;A;VAA;F;3492;205325.0;8125880.38;511491.78;24792.28;577369.17;3492
2014;B;VFF;M;40;2344.31;61366.15;4811.99;48.0;6263.57;40
2015;C;VAS;M;1501;94156.24;1972509.87;185441.36;3281.21;249722.51;1414
2016;B;VAC;F;1559;94336.27;2703364.35;236082.63;9305.38;276047.12;1559
2016;B;VAS;M;2138;134270.85;3868293.04;311113.92;2537.08;364574.22;2085
2016;C;VAA;M;2535;150098.92;3911407.51;368288.0;11694.25;427882.76;2521
2017;A;VAA;F;4244;252463.97;10454101.16;628296.09;31191.56;709087.32;4244
2017;A;VAA;M;3424;203877.52;9095740.94;520110.06;16258.14;570878.81;3424
2018;A;VAC;F;1032;62716.64;2530151.78;157239.36;6477.18;182413.38;1032
2018;B;INV;M;260;14892.69;435705.81;33421.44;1141.04;38591.72;260
2018;B;VAC;M;1139;69109.21;2024796.54;171496.45;514.08;197983.29;1139
2019;C;VAS;M;1808;114259.97;2502002.66;233096.38;4202.6;309072.14;1753
2014;B;VFF;F;550;33202.11;1000918.18;68193.03;6251.97;95577.25;550
2017;A;VAC;M;2067;125397.95;5272944.14;314954.84;3509.57;357077.18;2067
2017;C;INV;M;603;34467.84;801291.3;75516.52;929.53;87440.19;603
2018;A;VAA;M;2791;167293.78;7555983.4;425272.46;14231.2;468382.28;2789
2018;A;VFF;F;2017;122726.65;5537667.56;257162.26;24616.61;345154.4;2017
2018;C;INV;M;486;28053.04;656091.85;60363.22;799.63;71669.7;486
2014;B;VAC;F;1352;81532.86;2300948.06;203776.5;7845.95;239055.12;1352
2015;B;INV;M;272;15410.63;447100.67;35825.74;1232.17;40610.13;272
2016;A;INV;F;778;44171.2;1451797.77;90702.78;4243.7;107522.68;778
2016;C;VFF;M;75;4415.24;96488.22;8399.98;40.43;11628.91;75
2017;C;VAA;M;2786;165320.55;4460874.34;408155.21;13411.08;471973.42;2774
2018;A;INV;F;925;52769.44;1782552.59;106979.38;5690.62;125664.34;925
2018;A;VFF;M;54;3210.0;118599.46;6392.59;241.32;8189.84;54
2018;B;VFF;F;571;35118.06;1103690.55;74027.88;7104.0;103290.23;571
2020;A;VFF;F;1735;105498.4;4818616.16;221474.2;22516.81;296209.93;1735
2014;A;VFF;F;2205;131216.38;5619321.49;268651.19;24938.1;362716.51;2205
2016;A;VAA;M;2946;174939.26;7636255.02;446031.01;13304.48;490711.53;2944
2019;B;VAS;M;2712;171745.56;5087882.06;400274.44;3842.24;472546.34;2667
2019;B;VFF;M;52;3100.41;82213.15;6343.57;103.09;8221.41;52
2019;C;INV;F;811;46918.19;1004491.17;91823.33;4412.16;118668.99;811
2019;C;VAS;F;4679;295751.72;6091748.33;576045.54;28717.69;810842.18;4650
2020;B;VFF;M;36;2172.1;61096.17;4724.91;80.51;5723.8;36
2020;C;INV;M;476;27737.59;656894.57;59301.25;744.77;69891.34;476
2020;C;VAS;F;4753;300738.96;6247507.16;589119.54;29497.66;826441.94;4728
2013;C;VFF;M;79;4638.08;102149.4;8758.85;13.38;12074.21;79
2014;B;VAS;F;3574;223002.29;6170861.66;504756.94;19697.42;613204.42;3547
2015;A;VFF;F;2099;126631.6;5539777.24;261987.98;23632.64;354420.36;2099
2015;C;INV;F;860;48660.45;980762.07;93517.68;4430.92;124916.0;860
2015;C;VFF;F;652;39689.07;921326.49;76530.58;6488.19;115661.39;652
2017;A;INV;F;892;51144.85;1698433.03;104909.4;5227.18;122112.63;892
2017;C;INV;F;813;46705.33;982424.98;91406.22;4260.45;116190.32;813
2019;A;INV;M;546;32037.51;1195903.82;69589.38;1350.86;76191.56;546
2020;B;INV;F;311;18100.39;498029.85;38800.42;1914.18;46311.17;311
2020;C;VAS;M;1709;108051.85;2392256.65;223175.34;3652.76;291430.47;1656
